Orthogroup	MCV_ML1_SDDV_OM037668.1	Chlor_IIV22_HF920633.1
OG0000000	MCV_ML1_SDDV_OM037668.1_00035	Chlor_IIV22_HF920633.1_00044
OG0000001	MCV_ML1_SDDV_OM037668.1_00057	Chlor_IIV22_HF920633.1_00073
OG0000002	MCV_ML1_SDDV_OM037668.1_00056	Chlor_IIV22_HF920633.1_00069
OG0000003	MCV_ML1_SDDV_OM037668.1_00050	Chlor_IIV22_HF920633.1_00127
OG0000004	MCV_ML1_SDDV_OM037668.1_00076	Chlor_IIV22_HF920633.1_00079
OG0000005	MCV_ML1_SDDV_OM037668.1_00084	Chlor_IIV22_HF920633.1_00091
OG0000006	MCV_ML1_SDDV_OM037668.1_00038	Chlor_IIV22_HF920633.1_00043
OG0000007	MCV_ML1_SDDV_OM037668.1_00021	Chlor_IIV22_HF920633.1_00025
OG0000008	MCV_ML1_SDDV_OM037668.1_00077	Chlor_IIV22_HF920633.1_00122
OG0000009	MCV_ML1_SDDV_OM037668.1_00080	Chlor_IIV22_HF920633.1_00085
OG0000011	MCV_ML1_SDDV_OM037668.1_00090	Chlor_IIV22_HF920633.1_00163
OG0000012	MCV_ML1_SDDV_OM037668.1_00127	Chlor_IIV22_HF920633.1_00175
OG0000013	MCV_ML1_SDDV_OM037668.1_00073	Chlor_IIV22_HF920633.1_00003
OG0000014	MCV_ML1_SDDV_OM037668.1_00089	Chlor_IIV22_HF920633.1_00094
OG0000015	MCV_ML1_SDDV_OM037668.1_00123	Chlor_IIV22_HF920633.1_00080
OG0000016	MCV_ML1_SDDV_OM037668.1_00041	Chlor_IIV22_HF920633.1_00001
OG0000017	MCV_ML1_SDDV_OM037668.1_00098	Chlor_IIV22_HF920633.1_00067
OG0000018	MCV_ML1_SDDV_OM037668.1_00078	Chlor_IIV22_HF920633.1_00138
OG0000019	MCV_ML1_SDDV_OM037668.1_00009	Chlor_IIV22_HF920633.1_00118
OG0000020	MCV_ML1_SDDV_OM037668.1_00004	Chlor_IIV22_HF920633.1_00058
OG0000021	MCV_ML1_SDDV_OM037668.1_00124	Chlor_IIV22_HF920633.1_00158
OG0000022	MCV_ML1_SDDV_OM037668.1_00013	Chlor_IIV22_HF920633.1_00097
OG0000023	MCV_ML1_SDDV_OM037668.1_00113	Chlor_IIV22_HF920633.1_00017
OG0000024	MCV_ML1_SDDV_OM037668.1_00064	Chlor_IIV22_HF920633.1_00062
OG0000025	MCV_ML1_SDDV_OM037668.1_00024	Chlor_IIV22_HF920633.1_00047
OG0000139	MCV_ML1_SDDV_OM037668.1_00068	Chlor_IIV22_HF920633.1_00156
