Orthogroup	MF599468.1	ON075463.1
OG0000000	MF599468.1_00057, MF599468.1_00056	ON075463.1_00029
OG0000001	MF599468.1_00163	ON075463.1_00008
OG0000002	MF599468.1_00152	ON075463.1_00007
OG0000003	MF599468.1_00011	ON075463.1_00014
OG0000004	MF599468.1_00092	ON075463.1_00109
OG0000005	MF599468.1_00154	ON075463.1_00092
OG0000006	MF599468.1_00010	ON075463.1_00073
OG0000007	MF599468.1_00174	ON075463.1_00087
OG0000008	MF599468.1_00030	ON075463.1_00028
OG0000009	MF599468.1_00075	ON075463.1_00111
OG0000011	MF599468.1_00149	ON075463.1_00061
OG0000012	MF599468.1_00112	ON075463.1_00021
OG0000013	MF599468.1_00033	ON075463.1_00055
OG0000014	MF599468.1_00122	ON075463.1_00118
OG0000015	MF599468.1_00009	ON075463.1_00119
OG0000016	MF599468.1_00046	ON075463.1_00084
OG0000017	MF599468.1_00035	ON075463.1_00032
OG0000018	MF599468.1_00117	ON075463.1_00104
OG0000019	MF599468.1_00106	ON075463.1_00083
OG0000020	MF599468.1_00090	ON075463.1_00030
OG0000021	MF599468.1_00116	ON075463.1_00005
OG0000022	MF599468.1_00071	ON075463.1_00034
OG0000023	MF599468.1_00171	ON075463.1_00043
OG0000026	MF599468.1_00039	ON075463.1_00107
OG0000047	MF599468.1_00013	ON075463.1_00056
OG0000069	MF599468.1_00131	ON075463.1_00095
