HOG	OG	Gene Tree Parent Clade	23043610003	23043610005	AB104413	AF371960	AP017456	AY894343	BD143114	GQ273492	KC244182	KT781098	KT804738	MG570131	MG570132	MK098185	MK098186	MK098187	MK689685	MK689686	MN432490	MN562489	MT128666	MT128667	MT521409	MT798582	MT926123	MT986830	MW139932	MW273353	MW273354	MW883593	MW883594	MW883595	MW883596	MW883597	MW883598	MW883599	MW883600	MW883601	MW883602	MW883603	MW883606	NC_003494	OK042108	OK042109	OL774653	OL774654	OL774655	OM037668	ON075463	ON212400	ON740976	ON743042	OP009387	OP896201	OQ475017	OQ513807	OR356116	OR536350	OR670976	PP151097	PP974677	PQ335173_PQ335174
N10.HOG0000000	OG0000000	n0			MK689686.1_00014 hypothetical protein		MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	GQ273492.1_00015 hypothetical protein	MK689686.1_00014 hypothetical protein	AF371960.1_00015 hypothetical protein	MK689686.1_00014 hypothetical protein	MG570131.1_00016 hypothetical protein	MG570132.1_00016 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein		MK689686.1_00014 hypothetical protein	AF371960.1_00015 hypothetical protein	SDDV_ORF050 RING E3 ubiquitin ligase, OM037668.1_00050 hypothetical protein	AF371960.1_00015 hypothetical protein	AF371960.1_00015 hypothetical protein	OM037668.1_00050 hypothetical protein	MK689686.1_00014 hypothetical protein	AF371960.1_00015 hypothetical protein	AF371960.1_00015 hypothetical protein	MK689686.1_00014 hypothetical protein			AF371960.1_00015 hypothetical protein		AF371960.1_00015 hypothetical protein	AF371960.1_00015 hypothetical protein	AF371960.1_00015 hypothetical protein	MK689686.1_00014 hypothetical protein					AF371960.1_00015 hypothetical protein	AF371960.1_00015 hypothetical protein		MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	OM037668.1_00050 hypothetical protein	MK689686.1_00014 hypothetical protein	AF371960.1_00015 hypothetical protein	MK689686.1_00014 hypothetical protein	MK689686.1_00014 hypothetical protein	AF371960.1_00015 hypothetical protein		OQ475017.1_00015 OQ475017.1 - hypothetical protein translation	AF371960.1_00015 hypothetical protein			AF371960.1_00015 hypothetical protein	AF371960.1_00015 hypothetical protein	AF371960.1_00015 hypothetical protein	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000001	OG0000001	n0			MK689686.1_00002 hypothetical protein		MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	GQ273492.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MG570131.1_00002 hypothetical protein	MG570132.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein		MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	OM037668.1_00031 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	OM037668.1_00031 hypothetical protein	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein			AF371960.1_00002 hypothetical protein		AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein					AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein		MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	OM037668.1_00031 hypothetical protein	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	MK689686.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein		OQ475017.1_00002 OQ475017.1 - hypothetical protein translation	AF371960.1_00002 hypothetical protein			AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	AF371960.1_00002 hypothetical protein	PQ335173_PQ335174_00024 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000002	OG0000002	n0			MK689686.1_00005 hypothetical protein		MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	GQ273492.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	NLI interacting factor-like phosphatase_refgen NLI interacting factor-like phosphatase	MG570132.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein		MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	OM037668.1_00013 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	OM037668.1_00013 hypothetical protein	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein			AF371960.1_00005 hypothetical protein		AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein					AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein		MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	OM037668.1_00013 hypothetical protein	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	MK689686.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein		OQ475017.1_00005 OQ475017.1 - hypothetical protein translation	AF371960.1_00005 hypothetical protein			AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	AF371960.1_00005 hypothetical protein	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000003	OG0000003	n0			MK689686.1_00007 Major capsid protein		MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	GQ273492.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MG570131.1_00008 Major capsid protein	MG570132.1_00008 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein		MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	OM037668.1_00057 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	OM037668.1_00057 Major capsid protein	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein			AF371960.1_00007 Major capsid protein		AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein					AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein		MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	OM037668.1_00057 Major capsid protein	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	MK689686.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein		OQ475017.1_00007 OQ475017.1 - Major capsid protein translation	AF371960.1_00007 Major capsid protein			AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	AF371960.1_00007 Major capsid protein	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation
N10.HOG0000004	OG0000004	n0			MK689686.1_00008 hypothetical protein		MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	GQ273492.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MG570131.1_00009 hypothetical protein	MG570132.1_00009 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein		MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	OM037668.1_00056 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	OM037668.1_00056 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein			AF371960.1_00008 hypothetical protein		AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein					AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein		MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	OM037668.1_00056 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	MK689686.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein		OQ475017.1_00008 OQ475017.1 - hypothetical protein translation	AF371960.1_00008 hypothetical protein			AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	AF371960.1_00008 hypothetical protein	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000005	OG0000005	n0			MK689686.1_00013 hypothetical protein		MK689686.1_00013 hypothetical protein	MK689686.1_00013 hypothetical protein	MK689686.1_00013 hypothetical protein	GQ273492.1_00014 hypothetical protein	MK689686.1_00013 hypothetical protein	AF371960.1_00014 hypothetical protein	MK689686.1_00013 hypothetical protein	MG570131.1_00015 hypothetical protein	MG570132.1_00015 hypothetical protein	MK689686.1_00013 hypothetical protein	MK689686.1_00013 hypothetical protein	MK689686.1_00013 hypothetical protein		MK689686.1_00013 hypothetical protein	AF371960.1_00014 hypothetical protein	OM037668.1_00005 hypothetical protein	AF371960.1_00014 hypothetical protein	AF371960.1_00014 hypothetical protein	OM037668.1_00005 hypothetical protein	MK689686.1_00013 hypothetical protein	AF371960.1_00014 hypothetical protein	AF371960.1_00014 hypothetical protein	MK689686.1_00013 hypothetical protein			AF371960.1_00014 hypothetical protein		AF371960.1_00014 hypothetical protein	AF371960.1_00014 hypothetical protein	AF371960.1_00014 hypothetical protein	MK689686.1_00013 hypothetical protein					AF371960.1_00014 hypothetical protein	AF371960.1_00014 hypothetical protein		MK689686.1_00013 hypothetical protein	MK689686.1_00013 hypothetical protein	MK689686.1_00013 hypothetical protein	MK689686.1_00013 hypothetical protein	MK689686.1_00013 hypothetical protein	OM037668.1_00005 hypothetical protein	MK689686.1_00013 hypothetical protein	AF371960.1_00014 hypothetical protein	MK689686.1_00013 hypothetical protein	MK689686.1_00013 hypothetical protein	AF371960.1_00014 hypothetical protein		OQ475017.1_00014 OQ475017.1 - hypothetical protein translation	AF371960.1_00014 hypothetical protein			AF371960.1_00014 hypothetical protein	AF371960.1_00014 hypothetical protein	AF371960.1_00014 hypothetical protein	PQ335173_PQ335174_00011 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000006	OG0000006	n0			MK689686.1_00017 hypothetical protein		MK689686.1_00017 hypothetical protein	MK689686.1_00017 hypothetical protein	MK689686.1_00017 hypothetical protein	GQ273492.1_00018 hypothetical protein	MK689686.1_00017 hypothetical protein	AF371960.1_00018 hypothetical protein	MK689686.1_00017 hypothetical protein	MG570131.1_00019 hypothetical protein	MG570132.1_00019 hypothetical protein	MK689686.1_00017 hypothetical protein	MK689686.1_00017 hypothetical protein	MK689686.1_00017 hypothetical protein		MK689686.1_00017 hypothetical protein	AF371960.1_00018 hypothetical protein	OM037668.1_00047 hypothetical protein	AF371960.1_00018 hypothetical protein	AF371960.1_00018 hypothetical protein	OM037668.1_00047 hypothetical protein	MK689686.1_00017 hypothetical protein	AF371960.1_00018 hypothetical protein	AF371960.1_00018 hypothetical protein	MK689686.1_00017 hypothetical protein			AF371960.1_00018 hypothetical protein		AF371960.1_00018 hypothetical protein	AF371960.1_00018 hypothetical protein	AF371960.1_00018 hypothetical protein	MK689686.1_00017 hypothetical protein					AF371960.1_00018 hypothetical protein	AF371960.1_00018 hypothetical protein		MK689686.1_00017 hypothetical protein	MK689686.1_00017 hypothetical protein	MK689686.1_00017 hypothetical protein	MK689686.1_00017 hypothetical protein	MK689686.1_00017 hypothetical protein	OM037668.1_00047 hypothetical protein	MK689686.1_00017 hypothetical protein	AF371960.1_00018 hypothetical protein	MK689686.1_00017 hypothetical protein	MK689686.1_00017 hypothetical protein	AF371960.1_00018 hypothetical protein		OQ475017.1_00018 OQ475017.1 - hypothetical protein translation	AF371960.1_00018 hypothetical protein			AF371960.1_00018 hypothetical protein	AF371960.1_00018 hypothetical protein	AF371960.1_00018 hypothetical protein	PQ335173_PQ335174_00007 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000007	OG0000007	n0			MK689686.1_00018 hypothetical protein		MK689686.1_00018 hypothetical protein	MK689686.1_00018 hypothetical protein	MK689686.1_00018 hypothetical protein	GQ273492.1_00019 hypothetical protein	MK689686.1_00018 hypothetical protein	AF371960.1_00019 hypothetical protein	MK689686.1_00018 hypothetical protein	MG570131.1_00020 hypothetical protein	MG570132.1_00020 hypothetical protein	MK689686.1_00018 hypothetical protein	MK689686.1_00018 hypothetical protein	MK689686.1_00018 hypothetical protein		MK689686.1_00018 hypothetical protein	AF371960.1_00019 hypothetical protein	OM037668.1_00046 hypothetical protein	AF371960.1_00019 hypothetical protein	AF371960.1_00019 hypothetical protein	OM037668.1_00046 hypothetical protein	MK689686.1_00018 hypothetical protein	AF371960.1_00019 hypothetical protein	AF371960.1_00019 hypothetical protein	MK689686.1_00018 hypothetical protein			AF371960.1_00019 hypothetical protein		AF371960.1_00019 hypothetical protein	AF371960.1_00019 hypothetical protein	AF371960.1_00019 hypothetical protein	MK689686.1_00018 hypothetical protein					AF371960.1_00019 hypothetical protein	AF371960.1_00019 hypothetical protein		MK689686.1_00018 hypothetical protein	MK689686.1_00018 hypothetical protein	MK689686.1_00018 hypothetical protein	MK689686.1_00018 hypothetical protein	MK689686.1_00018 hypothetical protein	OM037668.1_00046 hypothetical protein	MK689686.1_00018 hypothetical protein	AF371960.1_00019 hypothetical protein	MK689686.1_00018 hypothetical protein	MK689686.1_00018 hypothetical protein	AF371960.1_00019 hypothetical protein		OQ475017.1_00019 OQ475017.1 - hypothetical protein translation	AF371960.1_00019 hypothetical protein			AF371960.1_00019 hypothetical protein	AF371960.1_00019 hypothetical protein	AF371960.1_00019 hypothetical protein	PQ335173_PQ335174_00006 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000008	OG0000008	n0			MK689686.1_00019 hypothetical protein		MK689686.1_00019 hypothetical protein	MK689686.1_00019 hypothetical protein	MK689686.1_00019 hypothetical protein	GQ273492.1_00020 hypothetical protein	MK689686.1_00019 hypothetical protein	AF371960.1_00020 hypothetical protein	MK689686.1_00019 hypothetical protein	MG570131.1_00021 hypothetical protein	MG570132.1_00021 hypothetical protein	MK689686.1_00019 hypothetical protein	MK689686.1_00019 hypothetical protein	MK689686.1_00019 hypothetical protein		MK689686.1_00019 hypothetical protein	AF371960.1_00020 hypothetical protein	OM037668.1_00045 hypothetical protein	AF371960.1_00020 hypothetical protein	AF371960.1_00020 hypothetical protein	OM037668.1_00045 hypothetical protein	MK689686.1_00019 hypothetical protein	AF371960.1_00020 hypothetical protein	AF371960.1_00020 hypothetical protein	MK689686.1_00019 hypothetical protein			AF371960.1_00020 hypothetical protein		AF371960.1_00020 hypothetical protein	AF371960.1_00020 hypothetical protein	AF371960.1_00020 hypothetical protein	MK689686.1_00019 hypothetical protein					AF371960.1_00020 hypothetical protein	AF371960.1_00020 hypothetical protein		MK689686.1_00019 hypothetical protein	MK689686.1_00019 hypothetical protein	MK689686.1_00019 hypothetical protein	MK689686.1_00019 hypothetical protein	MK689686.1_00019 hypothetical protein	OM037668.1_00045 hypothetical protein	MK689686.1_00019 hypothetical protein	AF371960.1_00020 hypothetical protein	MK689686.1_00019 hypothetical protein	MK689686.1_00019 hypothetical protein	AF371960.1_00020 hypothetical protein		OQ475017.1_00020 OQ475017.1 - hypothetical protein translation	AF371960.1_00020 hypothetical protein			AF371960.1_00020 hypothetical protein	AF371960.1_00020 hypothetical protein	AF371960.1_00020 hypothetical protein	PQ335173_PQ335174_00005 PQ335173_PQ335174 - hypothetical protein translation
N10.HOG0000009	OG0000009	n0			MK689686.1_00021 hypothetical protein		MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	GQ273492.1_00022 hypothetical protein	MK689686.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MG570131.1_00023 hypothetical protein	MG570132.1_00023 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein		MK689686.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	OM037668.1_00041 hypothetical protein	AF371960.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	OM037668.1_00041 hypothetical protein	MK689686.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein			AF371960.1_00021 hypothetical protein		AF371960.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein					AF371960.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein		MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	OM037668.1_00041 hypothetical protein	MK689686.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	MK689686.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein		OQ475017.1_00022 OQ475017.1 - hypothetical protein translation	AF371960.1_00021 hypothetical protein			AF371960.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	AF371960.1_00021 hypothetical protein	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation
