Orthogroup	MCV_ML1_SDDV_MN562489.1	Rana_SGIV_AY521625.1
OG0000000	MCV_ML1_SDDV_MN562489.1_00102	Rana_SGIV_AY521625.1_00091
OG0000001	MCV_ML1_SDDV_MN562489.1_00080	Rana_SGIV_AY521625.1_00064
OG0000002	MCV_ML1_SDDV_MN562489.1_00081	Rana_SGIV_AY521625.1_00077
OG0000003	MCV_ML1_SDDV_MN562489.1_00087	Rana_SGIV_AY521625.1_00130
OG0000004	MCV_ML1_SDDV_MN562489.1_00060	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
OG0000005	MCV_ML1_SDDV_MN562489.1_00052	Rana_SGIV_AY521625.1_00016
OG0000006	MCV_ML1_SDDV_MN562489.1_00099	Rana_SGIV_AY521625.1_00085
OG0000007	MCV_ML1_SDDV_MN562489.1_00116	Rana_SGIV_AY521625.1_00051
OG0000008	MCV_ML1_SDDV_MN562489.1_00059	Rana_SGIV_AY521625.1_00142
OG0000009	MCV_ML1_SDDV_MN562489.1_00056	Rana_SGIV_AY521625.1_00100
OG0000011	MCV_ML1_SDDV_MN562489.1_00046	Rana_SGIV_AY521625.1_00086
OG0000012	MCV_ML1_SDDV_MN562489.1_00008	Rana_SGIV_AY521625.1_00065
OG0000013	MCV_ML1_SDDV_MN562489.1_00063	Rana_SGIV_AY521625.1_00047
OG0000014	MCV_ML1_SDDV_MN562489.1_00047	Rana_SGIV_AY521625.1_00073
OG0000015	MCV_ML1_SDDV_MN562489.1_00012	Rana_SGIV_AY521625.1_00074
OG0000016	MCV_ML1_SDDV_MN562489.1_00096	Rana_SGIV_AY521625.1_00110
OG0000017	MCV_ML1_SDDV_MN562489.1_00038	Rana_SGIV_AY521625.1_00048
OG0000018	MCV_ML1_SDDV_MN562489.1_00058	Rana_SGIV_AY521625.1_00115
OG0000019	MCV_ML1_SDDV_MN562489.1_00128	Rana_SGIV_AY521625.1_00053
OG0000020	MCV_ML1_SDDV_MN562489.1_00133	Rana_SGIV_AY521625.1_00035
OG0000021	MCV_ML1_SDDV_MN562489.1_00011	Rana_SGIV_AY521625.1_00059
OG0000022	MCV_ML1_SDDV_MN562489.1_00124	Rana_SGIV_AY521625.1_00054
OG0000023	MCV_ML1_SDDV_MN562489.1_00023	Rana_SGIV_AY521625.1_00062
OG0000024	MCV_ML1_SDDV_MN562489.1_00073	Rana_SGIV_AY521625.1_00042
OG0000026	MCV_ML1_SDDV_MN562489.1_00062	Rana_SGIV_AY521625.1_00060
OG0000027	MCV_ML1_SDDV_MN562489.1_00049	Rana_SGIV_AY521625.1_00022
OG0000032	MCV_ML1_SDDV_MN562489.1_00107	Rana_SGIV_AY521625.1_00004
OG0000143	MCV_ML1_SDDV_MN562489.1_00070, MCV_ML1_SDDV_MN562489.1_00009	Rana_SGIV_AY521625.1_00046
OG0000150	MCV_ML1_SDDV_MN562489.1_00136	Rana_SGIV_AY521625.1_00002
