Orthogroup	MT926123.1	MN803438.1
OG0000000	MT926123.1_00032	MN803438.1_00124
OG0000001	MT926123.1_00008	MN803438.1_00101, MN803438.1_00056
OG0000002	MT926123.1_00007	MN803438.1_00023
OG0000003	MT926123.1_00015	MN803438.1_00113
OG0000004	MT926123.1_00112	MN803438.1_00104
OG0000005	MT926123.1_00096	MN803438.1_00071
OG0000006	MT926123.1_00079	MN803438.1_00142
OG0000007	MT926123.1_00093	MN803438.1_00027
OG0000008	MT926123.1_00031	MN803438.1_00106
OG0000009	MT926123.1_00113	MN803438.1_00109
OG0000011	MT926123.1_00065	MN803438.1_00049
OG0000012	MT926123.1_00022	MN803438.1_00128
OG0000013	MT926123.1_00058	MN803438.1_00007
OG0000014	MT926123.1_00120	MN803438.1_00070
OG0000015	MT926123.1_00121	MN803438.1_00046
OG0000016	MT926123.1_00090	MN803438.1_00122
OG0000017	MT926123.1_00035	MN803438.1_00035
OG0000018	MT926123.1_00107	MN803438.1_00051
OG0000019	MT926123.1_00089	MN803438.1_00097
OG0000020	MT926123.1_00033	MN803438.1_00068
OG0000021	MT926123.1_00005	MN803438.1_00089
OG0000022	MT926123.1_00037	MN803438.1_00013
OG0000023	MT926123.1_00046	MN803438.1_00077
OG0000024	MT926123.1_00028	MN803438.1_00024
OG0000026	MT926123.1_00110	MN803438.1_00126
OG0000027	MT926123.1_00091	MN803438.1_00037
OG0000028	MT926123.1_00049	MN803438.1_00054
OG0000031	MT926123.1_00006	MN803438.1_00145
OG0000129	MT926123.1_00075	MN803438.1_00082
