Orthogroup	AF303741.1	KF938901.1
OG0000000	AF303741.1_00079, AF303741.1_00152	KF938901.1_00126
OG0000001	AF303741.1_00200, AF303741.1_00047	KF938901.1_00080
OG0000002	AF303741.1_00125	KF938901.1_00044
OG0000003	AF303741.1_00035	KF938901.1_00005
OG0000004	AF303741.1_00080	KF938901.1_00043
OG0000005	AF303741.1_00129	KF938901.1_00125
OG0000006	AF303741.1_00132	KF938901.1_00072
OG0000007	AF303741.1_00149	KF938901.1_00053
OG0000008	AF303741.1_00165	KF938901.1_00067
OG0000009	AF303741.1_00176	KF938901.1_00114
OG0000011	AF303741.1_00006	KF938901.1_00092
OG0000012	AF303741.1_00011	KF938901.1_00054
OG0000013	AF303741.1_00023	KF938901.1_00060
OG0000014	AF303741.1_00026	KF938901.1_00074
OG0000015	AF303741.1_00046	KF938901.1_00095
OG0000016	AF303741.1_00062	KF938901.1_00046
OG0000017	AF303741.1_00063	KF938901.1_00123
OG0000018	AF303741.1_00081	KF938901.1_00025
OG0000019	AF303741.1_00137	KF938901.1_00012
OG0000020	AF303741.1_00156	KF938901.1_00047
OG0000021	AF303741.1_00158	KF938901.1_00124
OG0000022	AF303741.1_00189	KF938901.1_00023
OG0000023	AF303741.1_00154	KF938901.1_00031
OG0000024	AF303741.1_00168	KF938901.1_00094
OG0000025	AF303741.1_00051	KF938901.1_00093
OG0000113	AF303741.1_00169	KF938901.1_00104
OG0000119	AF303741.1_00109, AF303741.1_00094, AF303741.1_00173, AF303741.1_00095, AF303741.1_00007, AF303741.1_00066	KF938901.1_00085, KF938901.1_00140
OG0000123	AF303741.1_00195	KF938901.1_00049, KF938901.1_00020, KF938901.1_00115, KF938901.1_00091
OG0000126	AF303741.1_00088	KF938901.1_00030, KF938901.1_00084, KF938901.1_00158, KF938901.1_00119, KF938901.1_00001, KF938901.1_00151, KF938901.1_00127, KF938901.1_00135
OG0000134	AF303741.1_00126	KF938901.1_00086
OG0000135	AF303741.1_00157	KF938901.1_00007
OG0000137	AF303741.1_00031	KF938901.1_00048
OG0000138	AF303741.1_00100, AF303741.1_00162	KF938901.1_00065
OG0000139	AF303741.1_00101	KF938901.1_00108
OG0000148	AF303741.1_00072	KF938901.1_00069
OG0000153	AF303741.1_00145, AF303741.1_00090	KF938901.1_00112
OG0000155	AF303741.1_00183	KF938901.1_00106
OG0000156	AF303741.1_00192	KF938901.1_00118
OG0000166	AF303741.1_00056	KF938901.1_00102
OG0000167	AF303741.1_00068, AF303741.1_00067	KF938901.1_00075
OG0000168	AF303741.1_00076	KF938901.1_00117
OG0000169	AF303741.1_00087	KF938901.1_00103
OG0000170	AF303741.1_00091	KF938901.1_00128
OG0000171	AF303741.1_00096	KF938901.1_00121
OG0000172	AF303741.1_00105	KF938901.1_00101
OG0000174	AF303741.1_00179	KF938901.1_00150
OG0000175	AF303741.1_00181	KF938901.1_00105, KF938901.1_00006
OG0000185	AF303741.1_00003	KF938901.1_00116
OG0000186	AF303741.1_00004	KF938901.1_00133
OG0000187	AF303741.1_00015	KF938901.1_00141
OG0000188	AF303741.1_00017	KF938901.1_00014
OG0000189	AF303741.1_00085	KF938901.1_00100
OG0000190	AF303741.1_00086	KF938901.1_00099
OG0000191	AF303741.1_00104	KF938901.1_00073
OG0000192	AF303741.1_00112	KF938901.1_00152
OG0000193	AF303741.1_00122	KF938901.1_00063
OG0000194	AF303741.1_00136	KF938901.1_00134
OG0000195	AF303741.1_00146	KF938901.1_00139
OG0000196	AF303741.1_00148	KF938901.1_00070
OG0000197	AF303741.1_00150	KF938901.1_00146
OG0000198	AF303741.1_00151	KF938901.1_00077
OG0000199	AF303741.1_00161	KF938901.1_00079
OG0000201	AF303741.1_00177	KF938901.1_00010
OG0000202	AF303741.1_00184	KF938901.1_00008
OG0000203	AF303741.1_00193	KF938901.1_00113
OG0000204	AF303741.1_00197	KF938901.1_00148
OG0000216	AF303741.1_00018	KF938901.1_00130
OG0000218	AF303741.1_00042	KF938901.1_00057
OG0000219	AF303741.1_00044	KF938901.1_00082
OG0000220	AF303741.1_00064	KF938901.1_00109
OG0000221	AF303741.1_00074	KF938901.1_00029
OG0000222	AF303741.1_00107	KF938901.1_00098
OG0000223	AF303741.1_00120	KF938901.1_00136
OG0000224	AF303741.1_00124	KF938901.1_00045
OG0000225	AF303741.1_00135	KF938901.1_00090
OG0000226	AF303741.1_00159	KF938901.1_00155
OG0000227	AF303741.1_00160	KF938901.1_00035
OG0000228	AF303741.1_00175	KF938901.1_00062
OG0000229	AF303741.1_00203	KF938901.1_00107
OG0000230	AF303741.1_00204	KF938901.1_00154
OG0000281	AF303741.1_00028	KF938901.1_00038
OG0000282	AF303741.1_00053	KF938901.1_00015
OG0000284	AF303741.1_00093	KF938901.1_00016
OG0000285	AF303741.1_00115	KF938901.1_00018
OG0000286	AF303741.1_00116	KF938901.1_00040
OG0000287	AF303741.1_00201	KF938901.1_00122
