Orthogroup	MCV_ML1_SDDV_MN562489.1	Irido_IIV6_AF303741.1
OG0000000	MCV_ML1_SDDV_MN562489.1_00102	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152
OG0000001	MCV_ML1_SDDV_MN562489.1_00080	Irido_IIV6_AF303741.1_00125
OG0000002	MCV_ML1_SDDV_MN562489.1_00081	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047
OG0000003	MCV_ML1_SDDV_MN562489.1_00087	Irido_IIV6_AF303741.1_00035
OG0000004	MCV_ML1_SDDV_MN562489.1_00060	Irido_IIV6_AF303741.1_00080
OG0000005	MCV_ML1_SDDV_MN562489.1_00052	Irido_IIV6_AF303741.1_00149
OG0000006	MCV_ML1_SDDV_MN562489.1_00099	Irido_IIV6_AF303741.1_00165
OG0000007	MCV_ML1_SDDV_MN562489.1_00116	Irido_IIV6_AF303741.1_00132
OG0000008	MCV_ML1_SDDV_MN562489.1_00059	Irido_IIV6_AF303741.1_00176
OG0000009	MCV_ML1_SDDV_MN562489.1_00056	Irido_IIV6_AF303741.1_00129
OG0000011	MCV_ML1_SDDV_MN562489.1_00046	Irido_IIV6_AF303741.1_00137
OG0000012	MCV_ML1_SDDV_MN562489.1_00008	Irido_IIV6_AF303741.1_00189
OG0000013	MCV_ML1_SDDV_MN562489.1_00063	Irido_IIV6_AF303741.1_00081
OG0000014	MCV_ML1_SDDV_MN562489.1_00047	Irido_IIV6_AF303741.1_00062
OG0000015	MCV_ML1_SDDV_MN562489.1_00012	Irido_IIV6_AF303741.1_00156
OG0000016	MCV_ML1_SDDV_MN562489.1_00096	Irido_IIV6_AF303741.1_00011
OG0000017	MCV_ML1_SDDV_MN562489.1_00038	Irido_IIV6_AF303741.1_00023
OG0000018	MCV_ML1_SDDV_MN562489.1_00058	Irido_IIV6_AF303741.1_00026
OG0000019	MCV_ML1_SDDV_MN562489.1_00128	Irido_IIV6_AF303741.1_00006
OG0000020	MCV_ML1_SDDV_MN562489.1_00133	Irido_IIV6_AF303741.1_00046
OG0000021	MCV_ML1_SDDV_MN562489.1_00011	Irido_IIV6_AF303741.1_00063
OG0000022	MCV_ML1_SDDV_MN562489.1_00124	Irido_IIV6_AF303741.1_00158
OG0000023	MCV_ML1_SDDV_MN562489.1_00023	Irido_IIV6_AF303741.1_00154
OG0000024	MCV_ML1_SDDV_MN562489.1_00073	Irido_IIV6_AF303741.1_00168
OG0000025	MCV_ML1_SDDV_MN562489.1_00113	Irido_IIV6_AF303741.1_00051
OG0000139	MCV_ML1_SDDV_MN562489.1_00069	Irido_IIV6_AF303741.1_00101
OG0000178	MCV_ML1_SDDV_MN562489.1_00114	Irido_IIV6_AF303741.1_00117
OG0000179	MCV_ML1_SDDV_MN562489.1_00115	Irido_IIV6_AF303741.1_00009
