Orthogroup	L63545.1	KC244182.1
OG0000000	L63545.1_00007	KC244182.1_00029
OG0000001	L63545.1_00035	KC244182.1_00008
OG0000002	L63545.1_00079	KC244182.1_00007
OG0000003	L63545.1_00076	KC244182.1_00014
OG0000004	L63545.1_00001	KC244182.1_00112
OG0000005	L63545.1_00056	KC244182.1_00095
OG0000006	L63545.1_00093	KC244182.1_00076
OG0000007	L63545.1_00090	KC244182.1_00090
OG0000008	L63545.1_00108	KC244182.1_00028
OG0000009	L63545.1_00024	KC244182.1_00114
OG0000011	L63545.1_00069	KC244182.1_00063
OG0000012	L63545.1_00071	KC244182.1_00022
OG0000013	L63545.1_00004	KC244182.1_00056
OG0000014	L63545.1_00030	KC244182.1_00121
OG0000015	L63545.1_00110	KC244182.1_00122
OG0000016	L63545.1_00073	KC244182.1_00087
OG0000017	L63545.1_00072	KC244182.1_00032
OG0000018	L63545.1_00068	KC244182.1_00107
OG0000019	L63545.1_00009	KC244182.1_00086
OG0000020	L63545.1_00098	KC244182.1_00030
OG0000021	L63545.1_00043	KC244182.1_00005
OG0000022	L63545.1_00013	KC244182.1_00034
OG0000023	L63545.1_00054	KC244182.1_00043
OG0000024	L63545.1_00015	KC244182.1_00025
OG0000026	L63545.1_00002	KC244182.1_00110
OG0000027	L63545.1_00058	KC244182.1_00088
OG0000028	L63545.1_00003	KC244182.1_00046
