Orthogroup	MN803438.1	ON740976.1
OG0000000	MN803438.1_00124	ON740976.1_00030
OG0000001	MN803438.1_00023	ON740976.1_00007
OG0000003	MN803438.1_00101, MN803438.1_00056	ON740976.1_00008
OG0000004	MN803438.1_00113	ON740976.1_00014
OG0000005	MN803438.1_00106	ON740976.1_00029
OG0000006	MN803438.1_00142	ON740976.1_00075
OG0000007	MN803438.1_00027	ON740976.1_00089
OG0000008	MN803438.1_00104	ON740976.1_00111
OG0000009	MN803438.1_00109	ON740976.1_00113
OG0000010	MN803438.1_00089	ON740976.1_00005
OG0000011	MN803438.1_00128	ON740976.1_00021
OG0000012	MN803438.1_00068	ON740976.1_00031
OG0000013	MN803438.1_00035	ON740976.1_00033
OG0000014	MN803438.1_00013	ON740976.1_00035
OG0000015	MN803438.1_00007	ON740976.1_00057
OG0000016	MN803438.1_00049	ON740976.1_00063
OG0000017	MN803438.1_00097	ON740976.1_00085
OG0000018	MN803438.1_00122	ON740976.1_00086
OG0000019	MN803438.1_00051	ON740976.1_00106
OG0000020	MN803438.1_00070	ON740976.1_00121
OG0000021	MN803438.1_00046	ON740976.1_00122
OG0000022	MN803438.1_00077	ON740976.1_00044
OG0000023	MN803438.1_00071	ON740976.1_00094
OG0000024	MN803438.1_00126	ON740976.1_00109
OG0000026	MN803438.1_00037	ON740976.1_00087
OG0000027	MN803438.1_00054	ON740976.1_00047
OG0000028	MN803438.1_00145	ON740976.1_00006
