Orthogroup	NC_027778.1	BD143114.1
OG0000000	NC_027778.1_00083	BD143114.1_00045
OG0000001	NC_027778.1_00061	BD143114.1_00068
OG0000002	NC_027778.1_00123, NC_027778.1_00122, NC_027778.1_00131, NC_027778.1_00114, NC_027778.1_00120	BD143114.1_00123
OG0000003	NC_027778.1_00062	BD143114.1_00067
OG0000004	NC_027778.1_00068	BD143114.1_00060
OG0000005	NC_027778.1_00080	BD143114.1_00046
OG0000006	NC_027778.1_00098	BD143114.1_00001
OG0000007	NC_027778.1_00032	BD143114.1_00109
OG0000008	NC_027778.1_00040	BD143114.1_00087
OG0000009	NC_027778.1_00039	BD143114.1_00085
OG0000010	NC_027778.1_00106	BD143114.1_00070
OG0000011	NC_027778.1_00077	BD143114.1_00053
OG0000012	NC_027778.1_00133	BD143114.1_00044
OG0000013	NC_027778.1_00132	BD143114.1_00042
OG0000014	NC_027778.1_00129	BD143114.1_00040
OG0000015	NC_027778.1_00018	BD143114.1_00019
OG0000016	NC_027778.1_00111	BD143114.1_00013
OG0000017	NC_027778.1_00026	BD143114.1_00114
OG0000018	NC_027778.1_00027	BD143114.1_00113
OG0000019	NC_027778.1_00043	BD143114.1_00092
OG0000020	NC_027778.1_00038	BD143114.1_00077
OG0000021	NC_027778.1_00116	BD143114.1_00076
OG0000022	NC_027778.1_00003	BD143114.1_00031
OG0000023	NC_027778.1_00036	BD143114.1_00104
OG0000024	NC_027778.1_00042	BD143114.1_00089
OG0000025	NC_027778.1_00094, NC_027778.1_00095	BD143114.1_00012
OG0000026	NC_027778.1_00029	BD143114.1_00112
OG0000027	NC_027778.1_00006	BD143114.1_00028
OG0000028	NC_027778.1_00108	BD143114.1_00069
OG0000029	NC_027778.1_00021	BD143114.1_00015
OG0000030	NC_027778.1_00088	BD143114.1_00073
OG0000031	NC_027778.1_00100	BD143114.1_00119
OG0000032	NC_027778.1_00030	BD143114.1_00110, BD143114.1_00111
OG0000033	NC_027778.1_00090	BD143114.1_00074, BD143114.1_00075
OG0000034	NC_027778.1_00067	BD143114.1_00062
OG0000035	NC_027778.1_00115	BD143114.1_00061
OG0000036	NC_027778.1_00072	BD143114.1_00056
OG0000037	NC_027778.1_00073	BD143114.1_00055
OG0000038	NC_027778.1_00078	BD143114.1_00052
OG0000039	NC_027778.1_00070	BD143114.1_00051
OG0000040	NC_027778.1_00117	BD143114.1_00043
OG0000041	NC_027778.1_00134	BD143114.1_00039
OG0000042	NC_027778.1_00010	BD143114.1_00027
OG0000043	NC_027778.1_00011	BD143114.1_00026
OG0000044	NC_027778.1_00016	BD143114.1_00021
OG0000045	NC_027778.1_00017	BD143114.1_00020
OG0000046	NC_027778.1_00019	BD143114.1_00018
OG0000047	NC_027778.1_00031	BD143114.1_00017
OG0000048	NC_027778.1_00020	BD143114.1_00016
OG0000049	NC_027778.1_00099	BD143114.1_00122
OG0000050	NC_027778.1_00101	BD143114.1_00118
OG0000051	NC_027778.1_00126	BD143114.1_00117
OG0000052	NC_027778.1_00035	BD143114.1_00105
OG0000053	NC_027778.1_00086	BD143114.1_00103
OG0000054	NC_027778.1_00085	BD143114.1_00100
OG0000055	NC_027778.1_00041	BD143114.1_00088
OG0000056	NC_027778.1_00037	BD143114.1_00083
OG0000057	NC_027778.1_00121	BD143114.1_00081
OG0000058	NC_027778.1_00087	BD143114.1_00072
OG0000059	NC_027778.1_00064	BD143114.1_00065
OG0000060	NC_027778.1_00071	BD143114.1_00057
OG0000061	NC_027778.1_00033	BD143114.1_00108
OG0000062	NC_027778.1_00054	BD143114.1_00049
OG0000096	NC_027778.1_00025	BD143114.1_00079
OG0000113	NC_027778.1_00076	BD143114.1_00054
OG0000114	NC_027778.1_00065	BD143114.1_00064
OG0000115	NC_027778.1_00015	BD143114.1_00022
OG0000117	NC_027778.1_00034	BD143114.1_00107
