Orthogroup	HF920633.1	NC_027778.1
OG0000000	HF920633.1_00044	NC_027778.1_00083
OG0000001	HF920633.1_00069	NC_027778.1_00062
OG0000002	HF920633.1_00073	NC_027778.1_00061
OG0000003	HF920633.1_00127	NC_027778.1_00068
OG0000004	HF920633.1_00079	NC_027778.1_00040
OG0000005	HF920633.1_00085	NC_027778.1_00036
OG0000006	HF920633.1_00025	NC_027778.1_00098
OG0000007	HF920633.1_00091	NC_027778.1_00032
OG0000008	HF920633.1_00043	NC_027778.1_00080
OG0000009	HF920633.1_00122	NC_027778.1_00039
OG0000011	HF920633.1_00118	NC_027778.1_00111
OG0000012	HF920633.1_00001	NC_027778.1_00077
OG0000013	HF920633.1_00067	NC_027778.1_00018
OG0000014	HF920633.1_00138	NC_027778.1_00038
OG0000015	HF920633.1_00058	NC_027778.1_00116
OG0000016	HF920633.1_00094	NC_027778.1_00027
OG0000017	HF920633.1_00158	NC_027778.1_00132
OG0000018	HF920633.1_00003	NC_027778.1_00043
OG0000019	HF920633.1_00163	NC_027778.1_00026
OG0000020	HF920633.1_00080	NC_027778.1_00133
OG0000021	HF920633.1_00097	NC_027778.1_00106
OG0000022	HF920633.1_00175	NC_027778.1_00129
OG0000023	HF920633.1_00017	NC_027778.1_00003
OG0000024	HF920633.1_00062	NC_027778.1_00054
OG0000025	HF920633.1_00047	NC_027778.1_00094, NC_027778.1_00095
OG0000139	HF920633.1_00156	NC_027778.1_00049
