Orthogroup	Lymph_LDV1_L63545.1	Irido_IIV31_HF920637.1
OG0000000	Lymph_LDV1_L63545.1_00007	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164
OG0000001	Lymph_LDV1_L63545.1_00079	Irido_IIV31_HF920637.1_00143
OG0000002	Lymph_LDV1_L63545.1_00035	Irido_IIV31_HF920637.1_00059
OG0000003	Lymph_LDV1_L63545.1_00076	Irido_IIV31_HF920637.1_00159
OG0000004	Lymph_LDV1_L63545.1_00001	Irido_IIV31_HF920637.1_00025
OG0000005	Lymph_LDV1_L63545.1_00090	Irido_IIV31_HF920637.1_00172
OG0000006	Lymph_LDV1_L63545.1_00108	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175
OG0000007	Lymph_LDV1_L63545.1_00093	Irido_IIV31_HF920637.1_00121
OG0000008	Lymph_LDV1_L63545.1_00024	Irido_IIV31_HF920637.1_00153
OG0000009	Lymph_LDV1_L63545.1_00056	Irido_IIV31_HF920637.1_00221
OG0000011	Lymph_LDV1_L63545.1_00009	Irido_IIV31_HF920637.1_00197
OG0000012	Lymph_LDV1_L63545.1_00013	Irido_IIV31_HF920637.1_00213
OG0000013	Lymph_LDV1_L63545.1_00068	Irido_IIV31_HF920637.1_00111
OG0000014	Lymph_LDV1_L63545.1_00073	Irido_IIV31_HF920637.1_00079
OG0000015	Lymph_LDV1_L63545.1_00098	Irido_IIV31_HF920637.1_00031
OG0000016	Lymph_LDV1_L63545.1_00071	Irido_IIV31_HF920637.1_00001
OG0000017	Lymph_LDV1_L63545.1_00004	Irido_IIV31_HF920637.1_00017
OG0000018	Lymph_LDV1_L63545.1_00030	Irido_IIV31_HF920637.1_00108
OG0000019	Lymph_LDV1_L63545.1_00069	Irido_IIV31_HF920637.1_00217
OG0000020	Lymph_LDV1_L63545.1_00110	Irido_IIV31_HF920637.1_00152
OG0000021	Lymph_LDV1_L63545.1_00072	Irido_IIV31_HF920637.1_00073
OG0000022	Lymph_LDV1_L63545.1_00043	Irido_IIV31_HF920637.1_00041
OG0000023	Lymph_LDV1_L63545.1_00054	Irido_IIV31_HF920637.1_00033
OG0000024	Lymph_LDV1_L63545.1_00015	Irido_IIV31_HF920637.1_00061
OG0000113	Lymph_LDV1_L63545.1_00042	Irido_IIV31_HF920637.1_00138
OG0000113	Lymph_LDV1_L63545.1_00005, Lymph_LDV1_L63545.1_00088, Lymph_LDV1_L63545.1_00051, Lymph_LDV1_L63545.1_00047, Lymph_LDV1_L63545.1_00050	Irido_IIV31_HF920637.1_00148, Irido_IIV31_HF920637.1_00077
OG0000133	Lymph_LDV1_L63545.1_00016	Irido_IIV31_HF920637.1_00014
OG0000134	Lymph_LDV1_L63545.1_00092	Irido_IIV31_HF920637.1_00219
OG0000137	Lymph_LDV1_L63545.1_00100	Irido_IIV31_HF920637.1_00105
OG0000138	Lymph_LDV1_L63545.1_00023	Irido_IIV31_HF920637.1_00181
OG0000154	Lymph_LDV1_L63545.1_00012	Irido_IIV31_HF920637.1_00168
OG0000160	Lymph_LDV1_L63545.1_00055	Irido_IIV31_HF920637.1_00072
OG0000198	Lymph_LDV1_L63545.1_00105	Irido_IIV31_HF920637.1_00024
