Orthogroup	Daphi_LS484712.1	Rana_SGIV_AY521625.1
OG0000000	Daphi_LS484712.1_00114	Rana_SGIV_AY521625.1_00091
OG0000001	Daphi_LS484712.1_00142	Rana_SGIV_AY521625.1_00064
OG0000002	Daphi_LS484712.1_00095	Rana_SGIV_AY521625.1_00077
OG0000003	Daphi_LS484712.1_00187	Rana_SGIV_AY521625.1_00130
OG0000005	Daphi_LS484712.1_00050, Daphi_LS484712.1_00234	Rana_SGIV_AY521625.1_00016
OG0000006	Daphi_LS484712.1_00248	Rana_SGIV_AY521625.1_00085
OG0000007	Daphi_LS484712.1_00040	Rana_SGIV_AY521625.1_00051
OG0000008	Daphi_LS484712.1_00130	Rana_SGIV_AY521625.1_00142
OG0000009	Daphi_LS484712.1_00256	Rana_SGIV_AY521625.1_00100
OG0000011	Daphi_LS484712.1_00192	Rana_SGIV_AY521625.1_00086
OG0000012	Daphi_LS484712.1_00194	Rana_SGIV_AY521625.1_00065
OG0000013	Daphi_LS484712.1_00053	Rana_SGIV_AY521625.1_00047
OG0000014	Daphi_LS484712.1_00048	Rana_SGIV_AY521625.1_00073
OG0000015	Daphi_LS484712.1_00188	Rana_SGIV_AY521625.1_00074
OG0000016	Daphi_LS484712.1_00200	Rana_SGIV_AY521625.1_00110
OG0000017	Daphi_LS484712.1_00143	Rana_SGIV_AY521625.1_00048
OG0000018	Daphi_LS484712.1_00202	Rana_SGIV_AY521625.1_00115
OG0000019	Daphi_LS484712.1_00203	Rana_SGIV_AY521625.1_00053
OG0000020	Daphi_LS484712.1_00135	Rana_SGIV_AY521625.1_00035
OG0000021	Daphi_LS484712.1_00240	Rana_SGIV_AY521625.1_00059
OG0000022	Daphi_LS484712.1_00096	Rana_SGIV_AY521625.1_00054
OG0000023	Daphi_LS484712.1_00117	Rana_SGIV_AY521625.1_00062
OG0000024	Daphi_LS484712.1_00149	Rana_SGIV_AY521625.1_00042
OG0000133	Daphi_LS484712.1_00197	Rana_SGIV_AY521625.1_00102
OG0000134	Daphi_LS484712.1_00057	Rana_SGIV_AY521625.1_00098
OG0000137	Daphi_LS484712.1_00251	Rana_SGIV_AY521625.1_00056
OG0000148	Daphi_LS484712.1_00133	Rana_SGIV_AY521625.1_00133
