Orthogroup	AF303741.1	MG570132.1
OG0000000	AF303741.1_00079, AF303741.1_00152	MG570132.1_00031
OG0000001	AF303741.1_00200, AF303741.1_00047	MG570132.1_00009
OG0000002	AF303741.1_00125	MG570132.1_00008, MG570132.1_00007
OG0000003	AF303741.1_00035	MG570132.1_00016
OG0000004	AF303741.1_00080	MG570132.1_00108
OG0000005	AF303741.1_00129	MG570132.1_00092
OG0000006	AF303741.1_00132	MG570132.1_00073
OG0000007	AF303741.1_00149	MG570132.1_00087
OG0000008	AF303741.1_00165	MG570132.1_00030
OG0000009	AF303741.1_00176	MG570132.1_00110
OG0000011	AF303741.1_00006	MG570132.1_00063
OG0000012	AF303741.1_00011	MG570132.1_00023
OG0000013	AF303741.1_00023	MG570132.1_00057
OG0000014	AF303741.1_00026	MG570132.1_00118
OG0000015	AF303741.1_00046	MG570132.1_00119
OG0000016	AF303741.1_00062	MG570132.1_00084
OG0000017	AF303741.1_00063	MG570132.1_00034
OG0000018	AF303741.1_00081	MG570132.1_00103
OG0000019	AF303741.1_00137	MG570132.1_00083
OG0000020	AF303741.1_00156	MG570132.1_00032
OG0000021	AF303741.1_00158	MG570132.1_00005
OG0000022	AF303741.1_00189	MG570132.1_00036
OG0000023	AF303741.1_00154	MG570132.1_00045
OG0000024	AF303741.1_00168	MG570132.1_00028
OG0000025	AF303741.1_00051	MG570132.1_00064
