Orthogroup	AF303741	KX643370
OG0000000	AF303741.1_00079 DNA_polymerase_1, AF303741.1_00152 DNA_polymerase_2	Lymph_LDV3_KX643370_00131 hypothetical protein
OG0000001	AF303741.1_00035 hypothetical protein	Lymph_LDV3_KX643370_00120 hypothetical protein
OG0000002	AF303741.1_00047 hypothetical protein	Lymph_LDV3_KX643370_00098 hypothetical protein, Lymph_LDV3_KX643370_00103 hypothetical protein
OG0000003	AF303741.1_00165 hypothetical protein	Lymph_LDV3_KX643370_00137 hypothetical protein
OG0000004	AF303741.1_00176 hypothetical protein	Lymph_LDV3_KX643370_00107 hypothetical protein
OG0000005	AF303741.1_00006 hypothetical protein	Lymph_LDV3_KX643370_00094 hypothetical protein
OG0000006	AF303741.1_00011 hypothetical protein	Lymph_LDV3_KX643370_00117 hypothetical protein
OG0000007	AF303741.1_00023 hypothetical protein	Lymph_LDV3_KX643370_00044 hypothetical protein
OG0000008	AF303741.1_00026 hypothetical protein	Lymph_LDV3_KX643370_00056 hypothetical protein
OG0000009	AF303741.1_00046 hypothetical protein	Lymph_LDV3_KX643370_00091 hypothetical protein
OG0000010	AF303741.1_00063 hypothetical protein	Lymph_LDV3_KX643370_00040 hypothetical protein
OG0000011	AF303741.1_00081 hypothetical protein	Lymph_LDV3_KX643370_00095 hypothetical protein
OG0000012	AF303741.1_00125 Major capsid protein	Lymph_LDV3_KX643370_00051 Major capsid protein
OG0000013	AF303741.1_00137 hypothetical protein	Lymph_LDV3_KX643370_00075 hypothetical protein
OG0000014	AF303741.1_00149 hypothetical protein	Lymph_LDV3_KX643370_00061 hypothetical protein
OG0000015	AF303741.1_00156 hypothetical protein	Lymph_LDV3_KX643370_00057 hypothetical protein
OG0000016	AF303741.1_00158 hypothetical protein	Lymph_LDV3_KX643370_00077 hypothetical protein
OG0000017	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	Lymph_LDV3_KX643370_00049 hypothetical protein
OG0000018	AF303741.1_00062 hypothetical protein	Lymph_LDV3_KX643370_00126 hypothetical protein
OG0000019	AF303741.1_00080 hypothetical protein	Lymph_LDV3_KX643370_00135 hypothetical protein
OG0000020	AF303741.1_00129 hypothetical protein	Lymph_LDV3_KX643370_00055 hypothetical protein
OG0000021	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	Lymph_LDV3_KX643370_00052 Ribonucleoside-diphosphate reductase small chain
OG0000022	AF303741.1_00154 FAD-linked sulfhydryl oxidase	Lymph_LDV3_KX643370_00089 hypothetical protein
OG0000023	AF303741.1_00132 hypothetical protein	Lymph_LDV3_KX643370_00004 hypothetical protein
OG0000114	AF303741.1_00106 hypothetical protein	Lymph_LDV3_KX643370_00108 hypothetical protein, Lymph_LDV3_KX643370_00132 hypothetical protein, Lymph_LDV3_KX643370_00076 hypothetical protein
OG0000114	AF303741.1_00170 hypothetical protein	Lymph_LDV3_KX643370_00133 hypothetical protein, Lymph_LDV3_KX643370_00079 hypothetical protein, Lymph_LDV3_KX643370_00125 hypothetical protein, Lymph_LDV3_KX643370_00048 hypothetical protein
OG0000130	AF303741.1_00126 hypothetical protein	Lymph_LDV3_KX643370_00121 hypothetical protein
OG0000133	AF303741.1_00031 hypothetical protein	Lymph_LDV3_KX643370_00139 Ribonucleoside-diphosphate reductase large subunit
OG0000134	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein	Lymph_LDV3_KX643370_00145 hypothetical protein
OG0000135	AF303741.1_00101 Thymidylate synthase	Lymph_LDV3_KX643370_00042 Thymidylate synthase
OG0000139	AF303741.1_00157 hypothetical protein	Lymph_LDV3_KX643370_00043 hypothetical protein
OG0000146	AF303741.1_00183 hypothetical protein	Lymph_LDV3_KX643370_00140 hypothetical protein
