Orthogroup	MT521409.1	OM037668.1
OG0000000	MT521409.1_00103	OM037668.1_00035
OG0000001	MT521409.1_00081	OM037668.1_00057
OG0000002	MT521409.1_00002	OM037668.1_00133
OG0000002	MT521409.1_00010	OM037668.1_00125
OG0000002	MT521409.1_00132	OM037668.1_00006
OG0000003	MT521409.1_00082	OM037668.1_00056
OG0000004	MT521409.1_00088	OM037668.1_00050
OG0000005	MT521409.1_00100	OM037668.1_00038
OG0000006	MT521409.1_00117	OM037668.1_00021
OG0000007	MT521409.1_00053	OM037668.1_00084
OG0000008	MT521409.1_00061	OM037668.1_00076
OG0000009	MT521409.1_00060	OM037668.1_00077
OG0000010	MT521409.1_00125	OM037668.1_00013
OG0000011	MT521409.1_00097	OM037668.1_00041
OG0000012	MT521409.1_00012	OM037668.1_00123
OG0000013	MT521409.1_00011	OM037668.1_00124
OG0000014	MT521409.1_00008	OM037668.1_00127
OG0000015	MT521409.1_00039	OM037668.1_00098
OG0000016	MT521409.1_00129	OM037668.1_00009
OG0000017	MT521409.1_00047	OM037668.1_00090
OG0000018	MT521409.1_00048	OM037668.1_00089
OG0000019	MT521409.1_00064	OM037668.1_00073
OG0000020	MT521409.1_00059	OM037668.1_00078
OG0000021	MT521409.1_00134	OM037668.1_00004
OG0000022	MT521409.1_00024	OM037668.1_00113
OG0000023	MT521409.1_00057	OM037668.1_00080
OG0000024	MT521409.1_00063	OM037668.1_00074
OG0000025	MT521409.1_00114	OM037668.1_00024
OG0000026	MT521409.1_00050	OM037668.1_00087
OG0000027	MT521409.1_00027	OM037668.1_00110
OG0000028	MT521409.1_00127	OM037668.1_00011
OG0000029	MT521409.1_00042	OM037668.1_00095
OG0000030	MT521409.1_00108	OM037668.1_00030
OG0000031	MT521409.1_00119	OM037668.1_00019
OG0000032	MT521409.1_00051	OM037668.1_00086
OG0000033	MT521409.1_00110	OM037668.1_00028
OG0000034	MT521409.1_00087	OM037668.1_00051
OG0000035	MT521409.1_00133	OM037668.1_00005
OG0000036	MT521409.1_00092	OM037668.1_00046
OG0000037	MT521409.1_00093	OM037668.1_00045
OG0000038	MT521409.1_00098	OM037668.1_00040
OG0000039	MT521409.1_00090	OM037668.1_00048
OG0000040	MT521409.1_00135	OM037668.1_00003
OG0000041	MT521409.1_00013	OM037668.1_00122
OG0000042	MT521409.1_00031	OM037668.1_00106
OG0000043	MT521409.1_00032	OM037668.1_00105
OG0000044	MT521409.1_00037	OM037668.1_00100
OG0000045	MT521409.1_00038	OM037668.1_00099
OG0000046	MT521409.1_00040	OM037668.1_00097
OG0000047	MT521409.1_00052	OM037668.1_00085
OG0000048	MT521409.1_00041	OM037668.1_00096
OG0000049	MT521409.1_00118	OM037668.1_00020
OG0000050	MT521409.1_00120	OM037668.1_00018
OG0000051	MT521409.1_00005	OM037668.1_00130
OG0000052	MT521409.1_00056	OM037668.1_00081
OG0000053	MT521409.1_00106	OM037668.1_00032
OG0000054	MT521409.1_00105	OM037668.1_00033
OG0000055	MT521409.1_00062	OM037668.1_00075
OG0000056	MT521409.1_00058	OM037668.1_00079
OG0000057	MT521409.1_00001	OM037668.1_00134
OG0000058	MT521409.1_00107	OM037668.1_00031
OG0000059	MT521409.1_00084	OM037668.1_00054
OG0000060	MT521409.1_00091	OM037668.1_00047
OG0000061	MT521409.1_00054	OM037668.1_00083
OG0000062	MT521409.1_00074	OM037668.1_00064
OG0000096	MT521409.1_00046	OM037668.1_00091
OG0000113	MT521409.1_00096	OM037668.1_00042
OG0000114	MT521409.1_00085	OM037668.1_00053
OG0000115	MT521409.1_00036	OM037668.1_00101
OG0000117	MT521409.1_00055	OM037668.1_00082
OG0000128	MT521409.1_00004	OM037668.1_00131
OG0000128	MT521409.1_00072	OM037668.1_00066
OG0000128	MT521409.1_00003	OM037668.1_00132
OG0000129	MT521409.1_00076	OM037668.1_00062
OG0000136	MT521409.1_00009	OM037668.1_00126
OG0000136	MT521409.1_00071	OM037668.1_00067
OG0000143	MT521409.1_00014	OM037668.1_00121
OG0000143	MT521409.1_00007	OM037668.1_00128
OG0000144	MT521409.1_00123	OM037668.1_00015
OG0000144	MT521409.1_00067	OM037668.1_00071
OG0000146	MT521409.1_00137	OM037668.1_00001
OG0000149	MT521409.1_00070	OM037668.1_00068
OG0000156	MT521409.1_00102	OM037668.1_00036
OG0000187	MT521409.1_00116	OM037668.1_00022
OG0000188	MT521409.1_00121	OM037668.1_00017
OG0000189	MT521409.1_00115	OM037668.1_00023
OG0000190	MT521409.1_00049	OM037668.1_00088
OG0000191	MT521409.1_00075	OM037668.1_00063
OG0000224	MT521409.1_00006	OM037668.1_00129
OG0000225	MT521409.1_00022	OM037668.1_00114
OG0000226	MT521409.1_00025	OM037668.1_00112
OG0000227	MT521409.1_00026	OM037668.1_00111
OG0000228	MT521409.1_00028	OM037668.1_00109
OG0000229	MT521409.1_00029	OM037668.1_00108
OG0000230	MT521409.1_00030	OM037668.1_00107
OG0000231	MT521409.1_00033	OM037668.1_00104
OG0000232	MT521409.1_00034	OM037668.1_00103
OG0000233	MT521409.1_00035	OM037668.1_00102
OG0000234	MT521409.1_00043	OM037668.1_00094
OG0000235	MT521409.1_00044	OM037668.1_00093
OG0000236	MT521409.1_00045	OM037668.1_00092
OG0000237	MT521409.1_00066	OM037668.1_00072
OG0000238	MT521409.1_00068	OM037668.1_00070
OG0000239	MT521409.1_00069	OM037668.1_00069
OG0000240	MT521409.1_00073	OM037668.1_00065
OG0000241	MT521409.1_00077	OM037668.1_00061
OG0000242	MT521409.1_00078	OM037668.1_00060
OG0000243	MT521409.1_00079	OM037668.1_00059
OG0000244	MT521409.1_00080	OM037668.1_00058
OG0000245	MT521409.1_00083	OM037668.1_00055
OG0000246	MT521409.1_00086	OM037668.1_00052
OG0000247	MT521409.1_00089	OM037668.1_00049
OG0000248	MT521409.1_00094	OM037668.1_00044
OG0000249	MT521409.1_00099	OM037668.1_00039
OG0000250	MT521409.1_00101	OM037668.1_00037
OG0000251	MT521409.1_00104	OM037668.1_00034
OG0000252	MT521409.1_00109	OM037668.1_00029
OG0000253	MT521409.1_00111	OM037668.1_00027
OG0000254	MT521409.1_00112	OM037668.1_00026
OG0000255	MT521409.1_00113	OM037668.1_00025
OG0000256	MT521409.1_00122	OM037668.1_00016
OG0000257	MT521409.1_00124	OM037668.1_00014
OG0000258	MT521409.1_00126	OM037668.1_00012
OG0000259	MT521409.1_00128	OM037668.1_00010
OG0000260	MT521409.1_00130	OM037668.1_00008
OG0000261	MT521409.1_00131	OM037668.1_00007
OG0000262	MT521409.1_00136	OM037668.1_00002
OG0000290	MT521409.1_00015	OM037668.1_00120
OG0000291	MT521409.1_00016	OM037668.1_00119
OG0000292	MT521409.1_00017	OM037668.1_00118
OG0000293	MT521409.1_00018	OM037668.1_00117
OG0000294	MT521409.1_00019	OM037668.1_00116
OG0000295	MT521409.1_00020	OM037668.1_00115
