Orthogroup	MF599468.1	AF303741.1
OG0000000	MF599468.1_00057, MF599468.1_00056	AF303741.1_00079, AF303741.1_00152
OG0000001	MF599468.1_00163	AF303741.1_00200, AF303741.1_00047
OG0000002	MF599468.1_00152	AF303741.1_00125
OG0000003	MF599468.1_00011	AF303741.1_00035
OG0000004	MF599468.1_00092	AF303741.1_00080
OG0000005	MF599468.1_00154	AF303741.1_00129
OG0000006	MF599468.1_00010	AF303741.1_00132
OG0000007	MF599468.1_00174	AF303741.1_00149
OG0000008	MF599468.1_00030	AF303741.1_00165
OG0000009	MF599468.1_00075	AF303741.1_00176
OG0000011	MF599468.1_00149	AF303741.1_00006
OG0000012	MF599468.1_00112	AF303741.1_00011
OG0000013	MF599468.1_00033	AF303741.1_00023
OG0000014	MF599468.1_00122	AF303741.1_00026
OG0000015	MF599468.1_00009	AF303741.1_00046
OG0000016	MF599468.1_00046	AF303741.1_00062
OG0000017	MF599468.1_00035	AF303741.1_00063
OG0000018	MF599468.1_00117	AF303741.1_00081
OG0000019	MF599468.1_00106	AF303741.1_00137
OG0000020	MF599468.1_00090	AF303741.1_00156
OG0000021	MF599468.1_00116	AF303741.1_00158
OG0000022	MF599468.1_00071	AF303741.1_00189
OG0000023	MF599468.1_00171	AF303741.1_00154
OG0000113	MF599468.1_00036, MF599468.1_00045	AF303741.1_00169
OG0000113	MF599468.1_00096	AF303741.1_00170
OG0000122	MF599468.1_00055, MF599468.1_00091, MF599468.1_00103, MF599468.1_00128, MF599468.1_00023, MF599468.1_00038, MF599468.1_00070, MF599468.1_00145, MF599468.1_00101, MF599468.1_00024, MF599468.1_00104, MF599468.1_00029, MF599468.1_00099, MF599468.1_00100, MF599468.1_00114, MF599468.1_00102, MF599468.1_00054	AF303741.1_00005, AF303741.1_00065
OG0000134	MF599468.1_00002	AF303741.1_00126
OG0000135	MF599468.1_00027	AF303741.1_00157
OG0000138	MF599468.1_00051	AF303741.1_00100, AF303741.1_00162
OG0000148	MF599468.1_00161	AF303741.1_00072
OG0000155	MF599468.1_00074	AF303741.1_00183
OG0000156	MF599468.1_00142	AF303741.1_00192
OG0000166	MF599468.1_00141	AF303741.1_00056
OG0000168	MF599468.1_00004	AF303741.1_00076
OG0000169	MF599468.1_00162	AF303741.1_00087
OG0000170	MF599468.1_00067	AF303741.1_00091
OG0000171	MF599468.1_00105	AF303741.1_00096
OG0000172	MF599468.1_00081	AF303741.1_00105
OG0000173	MF599468.1_00098	AF303741.1_00117
OG0000174	MF599468.1_00155	AF303741.1_00179
OG0000185	MF599468.1_00129	AF303741.1_00003
OG0000186	MF599468.1_00022	AF303741.1_00004
OG0000187	MF599468.1_00079	AF303741.1_00015
OG0000188	MF599468.1_00037	AF303741.1_00017
OG0000189	MF599468.1_00025	AF303741.1_00085
OG0000191	MF599468.1_00052, MF599468.1_00061	AF303741.1_00104
OG0000192	MF599468.1_00043	AF303741.1_00112
OG0000194	MF599468.1_00015	AF303741.1_00136
OG0000196	MF599468.1_00172	AF303741.1_00148
OG0000197	MF599468.1_00044	AF303741.1_00150
OG0000199	MF599468.1_00065	AF303741.1_00161
OG0000200	MF599468.1_00016	AF303741.1_00174
OG0000204	MF599468.1_00125	AF303741.1_00197
OG0000283	MF599468.1_00072	AF303741.1_00077
OG0000288	MF599468.1_00107	AF303741.1_00202
