Orthogroup	MG570132.1	HF920637.1
OG0000000	MG570132.1_00031	HF920637.1_00129, HF920637.1_00164
OG0000001	MG570132.1_00007, MG570132.1_00008	HF920637.1_00143
OG0000003	MG570132.1_00009	HF920637.1_00059
OG0000004	MG570132.1_00016	HF920637.1_00159
OG0000005	MG570132.1_00030	HF920637.1_00176, HF920637.1_00175
OG0000006	MG570132.1_00073	HF920637.1_00121
OG0000007	MG570132.1_00087	HF920637.1_00172
OG0000008	MG570132.1_00108	HF920637.1_00025
OG0000009	MG570132.1_00110	HF920637.1_00153
OG0000010	MG570132.1_00005	HF920637.1_00041
OG0000011	MG570132.1_00023	HF920637.1_00001
OG0000012	MG570132.1_00032	HF920637.1_00031
OG0000013	MG570132.1_00034	HF920637.1_00073
OG0000014	MG570132.1_00036	HF920637.1_00213
OG0000015	MG570132.1_00057	HF920637.1_00017
OG0000016	MG570132.1_00063	HF920637.1_00217
OG0000017	MG570132.1_00083	HF920637.1_00197
OG0000018	MG570132.1_00084	HF920637.1_00079
OG0000019	MG570132.1_00103	HF920637.1_00111
OG0000020	MG570132.1_00118	HF920637.1_00108
OG0000021	MG570132.1_00119	HF920637.1_00152
OG0000022	MG570132.1_00045	HF920637.1_00033
OG0000023	MG570132.1_00092	HF920637.1_00221
OG0000024	MG570132.1_00106	HF920637.1_00203
OG0000025	MG570132.1_00064	HF920637.1_00156
OG0000028	MG570132.1_00006	HF920637.1_00127
