Orthogroup	MW139932.1	ON740976.1
OG0000000	MW139932.1_00033	ON740976.1_00030
OG0000001	MW139932.1_00007	ON740976.1_00007
OG0000002	MW139932.1_00078	ON740976.1_00076
OG0000003	MW139932.1_00008	ON740976.1_00008
OG0000004	MW139932.1_00015	ON740976.1_00014
OG0000005	MW139932.1_00032	ON740976.1_00029
OG0000006	MW139932.1_00077	ON740976.1_00075
OG0000007	MW139932.1_00091	ON740976.1_00089
OG0000008	MW139932.1_00113	ON740976.1_00111
OG0000009	MW139932.1_00115	ON740976.1_00113
OG0000010	MW139932.1_00005	ON740976.1_00005
OG0000011	MW139932.1_00023	ON740976.1_00021
OG0000012	MW139932.1_00034	ON740976.1_00031
OG0000013	MW139932.1_00036	ON740976.1_00033
OG0000014	MW139932.1_00038	ON740976.1_00035
OG0000015	MW139932.1_00059	ON740976.1_00057
OG0000016	MW139932.1_00065	ON740976.1_00063
OG0000017	MW139932.1_00087	ON740976.1_00085
OG0000018	MW139932.1_00088	ON740976.1_00086
OG0000019	MW139932.1_00108	ON740976.1_00106
OG0000020	MW139932.1_00123	ON740976.1_00121
OG0000021	MW139932.1_00124	ON740976.1_00122
OG0000022	MW139932.1_00047	ON740976.1_00044
OG0000023	MW139932.1_00096	ON740976.1_00094
OG0000024	MW139932.1_00111	ON740976.1_00109
OG0000025	MW139932.1_00066	ON740976.1_00064
OG0000026	MW139932.1_00089	ON740976.1_00087
OG0000027	MW139932.1_00050	ON740976.1_00047
OG0000028	MW139932.1_00006	ON740976.1_00006
OG0000029	MW139932.1_00063	ON740976.1_00061
OG0000030	MW139932.1_00001	ON740976.1_00001
OG0000032	MW139932.1_00090	ON740976.1_00088
OG0000033	MW139932.1_00125	ON740976.1_00123
OG0000034	MW139932.1_00013	ON740976.1_00012
OG0000035	MW139932.1_00014	ON740976.1_00013
OG0000036	MW139932.1_00019	ON740976.1_00018
OG0000037	MW139932.1_00020	ON740976.1_00019
OG0000038	MW139932.1_00024	ON740976.1_00022
