Orthogroup	LS484712.1	KF938901.1
OG0000000	LS484712.1_00114	KF938901.1_00126
OG0000001	LS484712.1_00142	KF938901.1_00044
OG0000003	LS484712.1_00095	KF938901.1_00080
OG0000004	LS484712.1_00187	KF938901.1_00005
OG0000005	LS484712.1_00248	KF938901.1_00067
OG0000006	LS484712.1_00040	KF938901.1_00072
OG0000007	LS484712.1_00234, LS484712.1_00050	KF938901.1_00053
OG0000009	LS484712.1_00130	KF938901.1_00114
OG0000010	LS484712.1_00096	KF938901.1_00124
OG0000011	LS484712.1_00200	KF938901.1_00054
OG0000012	LS484712.1_00188	KF938901.1_00047
OG0000013	LS484712.1_00240	KF938901.1_00123
OG0000014	LS484712.1_00194	KF938901.1_00023
OG0000015	LS484712.1_00143	KF938901.1_00060
OG0000016	LS484712.1_00203	KF938901.1_00092
OG0000017	LS484712.1_00192	KF938901.1_00012
OG0000018	LS484712.1_00048	KF938901.1_00046
OG0000019	LS484712.1_00053	KF938901.1_00025
OG0000020	LS484712.1_00202	KF938901.1_00074
OG0000021	LS484712.1_00135	KF938901.1_00095
OG0000022	LS484712.1_00117	KF938901.1_00031
OG0000125	LS484712.1_00198	KF938901.1_00115
OG0000137	LS484712.1_00057	KF938901.1_00086
OG0000138	LS484712.1_00197	KF938901.1_00007
OG0000147	LS484712.1_00149	KF938901.1_00094
OG0000148	LS484712.1_00251	KF938901.1_00048
OG0000154	LS484712.1_00133	KF938901.1_00069
OG0000155	LS484712.1_00063	KF938901.1_00065
OG0000177	LS484712.1_00184	KF938901.1_00150
OG0000178	LS484712.1_00195	KF938901.1_00103
OG0000179	LS484712.1_00211	KF938901.1_00112
OG0000181	LS484712.1_00140	KF938901.1_00117
OG0000182	LS484712.1_00116	KF938901.1_00102
OG0000185	LS484712.1_00212	KF938901.1_00128
OG0000186	LS484712.1_00112	KF938901.1_00121
OG0000202	LS484712.1_00120	KF938901.1_00008
OG0000204	LS484712.1_00163	KF938901.1_00010
OG0000205	LS484712.1_00113	KF938901.1_00075
OG0000207	LS484712.1_00060	KF938901.1_00077
OG0000212	LS484712.1_00106	KF938901.1_00113
OG0000216	LS484712.1_00196	KF938901.1_00063
OG0000217	LS484712.1_00224	KF938901.1_00139
OG0000271	LS484712.1_00207	KF938901.1_00050
OG0000273	LS484712.1_00256	KF938901.1_00125
OG0000280	LS484712.1_00206	KF938901.1_00083
OG0000282	LS484712.1_00201	KF938901.1_00013
