Orthogroup	MN803438.1	OK042108.1
OG0000000	MN803438.1_00124	OK042108.1_00047
OG0000001	MN803438.1_00101, MN803438.1_00056	OK042108.1_00068
OG0000002	MN803438.1_00023	OK042108.1_00069
OG0000003	MN803438.1_00113	OK042108.1_00062
OG0000004	MN803438.1_00104	OK042108.1_00087
OG0000005	MN803438.1_00071	OK042108.1_00104
OG0000006	MN803438.1_00142	OK042108.1_00001
OG0000007	MN803438.1_00027	OK042108.1_00109
OG0000008	MN803438.1_00106	OK042108.1_00048
OG0000009	MN803438.1_00109	OK042108.1_00085
OG0000011	MN803438.1_00049	OK042108.1_00013
OG0000012	MN803438.1_00128	OK042108.1_00055
OG0000013	MN803438.1_00007	OK042108.1_00020
OG0000014	MN803438.1_00070	OK042108.1_00077
OG0000015	MN803438.1_00046	OK042108.1_00076
OG0000016	MN803438.1_00122	OK042108.1_00112
OG0000017	MN803438.1_00035	OK042108.1_00044
OG0000018	MN803438.1_00051	OK042108.1_00092
OG0000019	MN803438.1_00097	OK042108.1_00113
OG0000020	MN803438.1_00068	OK042108.1_00046
OG0000021	MN803438.1_00089	OK042108.1_00070
OG0000022	MN803438.1_00013	OK042108.1_00042
OG0000023	MN803438.1_00077	OK042108.1_00033
OG0000024	MN803438.1_00024	OK042108.1_00050
OG0000026	MN803438.1_00126	OK042108.1_00089
OG0000027	MN803438.1_00037	OK042108.1_00111
OG0000028	MN803438.1_00054	OK042108.1_00030
