Orthogroup	MN432490.1	KF938901.1
OG0000000	MN432490.1_00032	KF938901.1_00126
OG0000001	MN432490.1_00007	KF938901.1_00044
OG0000003	MN432490.1_00008	KF938901.1_00080
OG0000004	MN432490.1_00015	KF938901.1_00005
OG0000005	MN432490.1_00031	KF938901.1_00067
OG0000006	MN432490.1_00078	KF938901.1_00072
OG0000007	MN432490.1_00092	KF938901.1_00053
OG0000008	MN432490.1_00113	KF938901.1_00043
OG0000009	MN432490.1_00114	KF938901.1_00114
OG0000010	MN432490.1_00005	KF938901.1_00124
OG0000011	MN432490.1_00023	KF938901.1_00054
OG0000012	MN432490.1_00033	KF938901.1_00047
OG0000013	MN432490.1_00035	KF938901.1_00123
OG0000014	MN432490.1_00037	KF938901.1_00023
OG0000015	MN432490.1_00058	KF938901.1_00060
OG0000016	MN432490.1_00064	KF938901.1_00092
OG0000017	MN432490.1_00088	KF938901.1_00012
OG0000018	MN432490.1_00089	KF938901.1_00046
OG0000019	MN432490.1_00108	KF938901.1_00025
OG0000020	MN432490.1_00122	KF938901.1_00074
OG0000021	MN432490.1_00123	KF938901.1_00095
OG0000022	MN432490.1_00046	KF938901.1_00031
OG0000025	MN432490.1_00065	KF938901.1_00093
