Orthogroup	AY521625.1	OK042109.1
OG0000000	AY521625.1_00091	OK042109.1_00047
OG0000001	AY521625.1_00077	OK042109.1_00068
OG0000002	AY521625.1_00064	OK042109.1_00069
OG0000003	AY521625.1_00130	OK042109.1_00061
OG0000004	AY521625.1_00069, AY521625.1_00070	OK042109.1_00088
OG0000005	AY521625.1_00100	OK042109.1_00105
OG0000006	AY521625.1_00051	OK042109.1_00001
OG0000007	AY521625.1_00016	OK042109.1_00110
OG0000008	AY521625.1_00085	OK042109.1_00048
OG0000009	AY521625.1_00142	OK042109.1_00086
OG0000011	AY521625.1_00053	OK042109.1_00013
OG0000012	AY521625.1_00110	OK042109.1_00054
OG0000013	AY521625.1_00048	OK042109.1_00020
OG0000014	AY521625.1_00115	OK042109.1_00078
OG0000015	AY521625.1_00035	OK042109.1_00077
OG0000016	AY521625.1_00073	OK042109.1_00113
OG0000017	AY521625.1_00059	OK042109.1_00044
OG0000018	AY521625.1_00047	OK042109.1_00093
OG0000019	AY521625.1_00086	OK042109.1_00114
OG0000020	AY521625.1_00074	OK042109.1_00046
OG0000021	AY521625.1_00054	OK042109.1_00071
OG0000022	AY521625.1_00065	OK042109.1_00042
OG0000023	AY521625.1_00062	OK042109.1_00033
OG0000024	AY521625.1_00042	OK042109.1_00051
OG0000026	AY521625.1_00060	OK042109.1_00090
OG0000027	AY521625.1_00022	OK042109.1_00112
OG0000030	AY521625.1_00004	OK042109.1_00075
