Orthogroup	OP009387.1	MF599468.1
OG0000000	OP009387.1_00030	MF599468.1_00057, MF599468.1_00056
OG0000001	OP009387.1_00008	MF599468.1_00163
OG0000002	OP009387.1_00007	MF599468.1_00152
OG0000003	OP009387.1_00015	MF599468.1_00011
OG0000004	OP009387.1_00112	MF599468.1_00092
OG0000005	OP009387.1_00095	MF599468.1_00154
OG0000006	OP009387.1_00077	MF599468.1_00010
OG0000007	OP009387.1_00091	MF599468.1_00174
OG0000008	OP009387.1_00029	MF599468.1_00030
OG0000009	OP009387.1_00113	MF599468.1_00075
OG0000011	OP009387.1_00064	MF599468.1_00149
OG0000012	OP009387.1_00023	MF599468.1_00112
OG0000013	OP009387.1_00057	MF599468.1_00033
OG0000014	OP009387.1_00121	MF599468.1_00122
OG0000015	OP009387.1_00122	MF599468.1_00009
OG0000016	OP009387.1_00088	MF599468.1_00046
OG0000017	OP009387.1_00033	MF599468.1_00035
OG0000018	OP009387.1_00107	MF599468.1_00117
OG0000019	OP009387.1_00087	MF599468.1_00106
OG0000020	OP009387.1_00031	MF599468.1_00090
OG0000021	OP009387.1_00005	MF599468.1_00116
OG0000022	OP009387.1_00035	MF599468.1_00071
OG0000023	OP009387.1_00044	MF599468.1_00171
OG0000026	OP009387.1_00110	MF599468.1_00039
OG0000047	OP009387.1_00058	MF599468.1_00013
OG0000069	OP009387.1_00098	MF599468.1_00131
