Orthogroup	MK689685.1	LS484712.1
OG0000000	MK689685.1_00029	LS484712.1_00114
OG0000001	MK689685.1_00008	LS484712.1_00095
OG0000002	MK689685.1_00007	LS484712.1_00142
OG0000003	MK689685.1_00015	LS484712.1_00187
OG0000005	MK689685.1_00094	LS484712.1_00256
OG0000006	MK689685.1_00075	LS484712.1_00040
OG0000007	MK689685.1_00089	LS484712.1_00234, LS484712.1_00050
OG0000008	MK689685.1_00028	LS484712.1_00248
OG0000009	MK689685.1_00111	LS484712.1_00130
OG0000011	MK689685.1_00061	LS484712.1_00203
OG0000012	MK689685.1_00021	LS484712.1_00200
OG0000013	MK689685.1_00054	LS484712.1_00143
OG0000014	MK689685.1_00118	LS484712.1_00202
OG0000015	MK689685.1_00119	LS484712.1_00135
OG0000016	MK689685.1_00086	LS484712.1_00048
OG0000017	MK689685.1_00032	LS484712.1_00240
OG0000018	MK689685.1_00105	LS484712.1_00053
OG0000019	MK689685.1_00085	LS484712.1_00192
OG0000020	MK689685.1_00030	LS484712.1_00188
OG0000021	MK689685.1_00005	LS484712.1_00096
OG0000022	MK689685.1_00034	LS484712.1_00194
OG0000023	MK689685.1_00043	LS484712.1_00117
OG0000068	MK689685.1_00065	LS484712.1_00002
