Orthogroup	Rana_FV3_NC_005946.1	MCV_ML1_SDDV_MT521409.1
OG0000000	Rana_FV3_NC_005946.1_00010	MCV_ML1_SDDV_MT521409.1_00103
OG0000001	Rana_FV3_NC_005946.1_00091	MCV_ML1_SDDV_MT521409.1_00081
OG0000002	Rana_FV3_NC_005946.1_00053	MCV_ML1_SDDV_MT521409.1_00082
OG0000003	Rana_FV3_NC_005946.1_00057	MCV_ML1_SDDV_MT521409.1_00088
OG0000004	Rana_FV3_NC_005946.1_00028	MCV_ML1_SDDV_MT521409.1_00061
OG0000005	Rana_FV3_NC_005946.1_00002	MCV_ML1_SDDV_MT521409.1_00053
OG0000006	Rana_FV3_NC_005946.1_00095	MCV_ML1_SDDV_MT521409.1_00100
OG0000007	Rana_FV3_NC_005946.1_00042	MCV_ML1_SDDV_MT521409.1_00117
OG0000008	Rana_FV3_NC_005946.1_00092	MCV_ML1_SDDV_MT521409.1_00060
OG0000009	Rana_FV3_NC_005946.1_00014	MCV_ML1_SDDV_MT521409.1_00057
OG0000011	Rana_FV3_NC_005946.1_00094	MCV_ML1_SDDV_MT521409.1_00047
OG0000012	Rana_FV3_NC_005946.1_00061	MCV_ML1_SDDV_MT521409.1_00008
OG0000013	Rana_FV3_NC_005946.1_00023	MCV_ML1_SDDV_MT521409.1_00064
OG0000014	Rana_FV3_NC_005946.1_00082	MCV_ML1_SDDV_MT521409.1_00048
OG0000015	Rana_FV3_NC_005946.1_00083	MCV_ML1_SDDV_MT521409.1_00012
OG0000016	Rana_FV3_NC_005946.1_00060	MCV_ML1_SDDV_MT521409.1_00097
OG0000017	Rana_FV3_NC_005946.1_00022	MCV_ML1_SDDV_MT521409.1_00039
OG0000018	Rana_FV3_NC_005946.1_00016	MCV_ML1_SDDV_MT521409.1_00059
OG0000019	Rana_FV3_NC_005946.1_00011	MCV_ML1_SDDV_MT521409.1_00129
OG0000020	Rana_FV3_NC_005946.1_00021	MCV_ML1_SDDV_MT521409.1_00134
OG0000021	Rana_FV3_NC_005946.1_00087	MCV_ML1_SDDV_MT521409.1_00011
OG0000022	Rana_FV3_NC_005946.1_00038	MCV_ML1_SDDV_MT521409.1_00125
OG0000023	Rana_FV3_NC_005946.1_00089	MCV_ML1_SDDV_MT521409.1_00024
OG0000024	Rana_FV3_NC_005946.1_00067	MCV_ML1_SDDV_MT521409.1_00074
OG0000026	Rana_FV3_NC_005946.1_00086	MCV_ML1_SDDV_MT521409.1_00063
OG0000027	Rana_FV3_NC_005946.1_00049	MCV_ML1_SDDV_MT521409.1_00050
OG0000028	Rana_FV3_NC_005946.1_00085	MCV_ML1_SDDV_MT521409.1_00027
OG0000150	Rana_FV3_NC_005946.1_00052	MCV_ML1_SDDV_MT521409.1_00137
OG0000209	Rana_FV3_NC_005946.1_00007	MCV_ML1_SDDV_MT521409.1_00075
