Orthogroup	KC244182.1	MF599468.1
OG0000000	KC244182.1_00029	MF599468.1_00057, MF599468.1_00056
OG0000001	KC244182.1_00008	MF599468.1_00163
OG0000002	KC244182.1_00007	MF599468.1_00152
OG0000003	KC244182.1_00014	MF599468.1_00011
OG0000004	KC244182.1_00112	MF599468.1_00092
OG0000005	KC244182.1_00095	MF599468.1_00154
OG0000006	KC244182.1_00076	MF599468.1_00010
OG0000007	KC244182.1_00090	MF599468.1_00174
OG0000008	KC244182.1_00028	MF599468.1_00030
OG0000009	KC244182.1_00114	MF599468.1_00075
OG0000011	KC244182.1_00063	MF599468.1_00149
OG0000012	KC244182.1_00022	MF599468.1_00112
OG0000013	KC244182.1_00056	MF599468.1_00033
OG0000014	KC244182.1_00121	MF599468.1_00122
OG0000015	KC244182.1_00122	MF599468.1_00009
OG0000016	KC244182.1_00087	MF599468.1_00046
OG0000017	KC244182.1_00032	MF599468.1_00035
OG0000018	KC244182.1_00107	MF599468.1_00117
OG0000019	KC244182.1_00086	MF599468.1_00106
OG0000020	KC244182.1_00030	MF599468.1_00090
OG0000021	KC244182.1_00005	MF599468.1_00116
OG0000022	KC244182.1_00034	MF599468.1_00071
OG0000023	KC244182.1_00043	MF599468.1_00171
OG0000026	KC244182.1_00110	MF599468.1_00039
OG0000047	KC244182.1_00057	MF599468.1_00013
OG0000069	KC244182.1_00098	MF599468.1_00131
