Orthogroup	MK637631	PQ335173_PQ335174
OG0000000	MK637631_00115 hypothetical protein	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation
OG0000001	MK637631_00025 hypothetical protein	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation
OG0000002	MK637631_00030 hypothetical protein	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation
OG0000003	MK637631_00114 hypothetical protein	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation
OG0000004	MK637631_00105 hypothetical protein	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation
OG0000005	MK637631_00070 hypothetical protein	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation
OG0000006	MK637631_00044 Major capsid protein	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation
OG0000007	MK637631_00017 hypothetical protein	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation
OG0000008	MK637631_00043 hypothetical protein	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation
OG0000009	MK637631_00024 DNA-directed RNA polymerase subunit 2	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	MK637631_00086 hypothetical protein	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation
OG0000011	MK637631_00066 hypothetical protein	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation
OG0000012	MK637631_00011 hypothetical protein	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation
OG0000013	MK637631_00056 hypothetical protein	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation
OG0000014	MK637631_00100 hypothetical protein	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation
OG0000015	MK637631_00106 hypothetical protein	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation
OG0000016	MK637631_00046 hypothetical protein	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation
OG0000017	MK637631_00059 Ribonucleoside-diphosphate reductase small chain	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation
OG0000019	MK637631_00094 hypothetical protein	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation
OG0000020	MK637631_00010 hypothetical protein	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation
OG0000021	MK637631_00110 hypothetical protein	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation
OG0000022	MK637631_00104 hypothetical protein	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation
OG0000023	MK637631_00068 hypothetical protein, MK637631_00067 hypothetical protein	PQ335173_PQ335174_00020 PQ335173_PQ335174 - hypothetical protein translation
OG0000024	MK637631_00074 hypothetical protein	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation
OG0000025	MK637631_00006 hypothetical protein	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation
OG0000026	MK637631_00037 hypothetical protein	PQ335173_PQ335174_00058 PQ335173_PQ335174 - hypothetical protein translation
OG0000027	MK637631_00101 hypothetical protein	PQ335173_PQ335174_00041 PQ335173_PQ335174 - hypothetical protein translation
OG0000028	MK637631_00077 hypothetical protein	PQ335173_PQ335174_00092 PQ335173_PQ335174 - hypothetical protein translation
OG0000029	MK637631_00084 hypothetical protein, MK637631_00085 hypothetical protein	PQ335173_PQ335174_00085 PQ335173_PQ335174 - hypothetical protein translation
OG0000030	MK637631_00087 hypothetical protein	PQ335173_PQ335174_00083 PQ335173_PQ335174 - hypothetical protein translation
OG0000031	MK637631_00001 hypothetical protein	PQ335173_PQ335174_00025 PQ335173_PQ335174 - hypothetical protein translation
OG0000032	MK637631_00119 hypothetical protein	PQ335173_PQ335174_00024 PQ335173_PQ335174 - hypothetical protein translation
OG0000033	ECIV_ORF26_refgen RING E3 ubiquitin ligase	PQ335173_PQ335174_00011 PQ335173_PQ335174 - hypothetical protein translation
OG0000034	MK637631_00033 hypothetical protein	PQ335173_PQ335174_00007 PQ335173_PQ335174 - hypothetical protein translation
OG0000035	MK637631_00021 hypothetical protein	PQ335173_PQ335174_00006 PQ335173_PQ335174 - hypothetical protein translation
OG0000036	MK637631_00020 hypothetical protein	PQ335173_PQ335174_00005 PQ335173_PQ335174 - hypothetical protein translation
OG0000037	MK637631_00016 hypothetical protein	PQ335173_PQ335174_00002 PQ335173_PQ335174 - hypothetical protein translation
OG0000038	MK637631_00042 hypothetical protein	PQ335173_PQ335174_00111 PQ335173_PQ335174 - hypothetical protein translation
OG0000039	MK637631_00079 hypothetical protein	PQ335173_PQ335174_00091 PQ335173_PQ335174 - hypothetical protein translation
OG0000040	MK637631_00080 hypothetical protein	PQ335173_PQ335174_00090 PQ335173_PQ335174 - hypothetical protein translation
OG0000041	MK637631_00088 hypothetical protein	PQ335173_PQ335174_00081 PQ335173_PQ335174 - hypothetical protein translation
OG0000042	MK637631_00095 hypothetical protein	PQ335173_PQ335174_00066 PQ335173_PQ335174 - hypothetical protein translation
OG0000043	MK637631_00096 hypothetical protein	PQ335173_PQ335174_00065 PQ335173_PQ335174 - hypothetical protein translation
OG0000044	MK637631_00097 hypothetical protein	PQ335173_PQ335174_00064 PQ335173_PQ335174 - hypothetical protein translation
OG0000045	MK637631_00022 hypothetical protein	PQ335173_PQ335174_00063 PQ335173_PQ335174 - hypothetical protein translation
OG0000046	MK637631_00039 hypothetical protein	PQ335173_PQ335174_00057 PQ335173_PQ335174 - hypothetical protein translation
OG0000047	MK637631_00111 hypothetical protein	PQ335173_PQ335174_00051 PQ335173_PQ335174 - hypothetical protein translation
OG0000048	MK637631_00118 hypothetical protein	PQ335173_PQ335174_00049 PQ335173_PQ335174 - hypothetical protein translation
OG0000049	MK637631_00117 hypothetical protein	PQ335173_PQ335174_00035 PQ335173_PQ335174 - hypothetical protein translation
OG0000050	MK637631_00103 hypothetical protein	PQ335173_PQ335174_00042 PQ335173_PQ335174 - hypothetical protein translation
OG0000051	MK637631_00108 hypothetical protein	PQ335173_PQ335174_00046 PQ335173_PQ335174 - hypothetical protein translation
OG0000052	MK637631_00012 hypothetical protein	PQ335173_PQ335174_00031 PQ335173_PQ335174 - hypothetical protein translation
OG0000054	MK637631_00032 hypothetical protein	PQ335173_PQ335174_00001 PQ335173_PQ335174 - hypothetical protein translation
OG0000056	MK637631_00055 hypothetical protein	PQ335173_PQ335174_00054 PQ335173_PQ335174 - hypothetical protein translation
OG0000058	MK637631_00004 hypothetical protein	PQ335173_PQ335174_00026 PQ335173_PQ335174 - hypothetical protein translation
OG0000063	MK637631_00102 hypothetical protein	PQ335173_PQ335174_00067 PQ335173_PQ335174 - hypothetical protein translation
OG0000107	MK637631_00089 hypothetical protein	PQ335173_PQ335174_00080 PQ335173_PQ335174 - hypothetical protein translation
OG0000114	MK637631_00057 hypothetical protein	PQ335173_PQ335174_00082 PQ335173_PQ335174 - hypothetical protein translation
