Orthogroup	OM037668.1	HF920633.1
OG0000000	OM037668.1_00035	HF920633.1_00044
OG0000001	OM037668.1_00057	HF920633.1_00073
OG0000003	OM037668.1_00056	HF920633.1_00069
OG0000004	OM037668.1_00050	HF920633.1_00127
OG0000005	OM037668.1_00038	HF920633.1_00043
OG0000006	OM037668.1_00021	HF920633.1_00025
OG0000007	OM037668.1_00084	HF920633.1_00091
OG0000008	OM037668.1_00076	HF920633.1_00079
OG0000009	OM037668.1_00077	HF920633.1_00122
OG0000010	OM037668.1_00013	HF920633.1_00097
OG0000011	OM037668.1_00041	HF920633.1_00001
OG0000012	OM037668.1_00123	HF920633.1_00080
OG0000013	OM037668.1_00124	HF920633.1_00158
OG0000014	OM037668.1_00127	HF920633.1_00175
OG0000015	OM037668.1_00098	HF920633.1_00067
OG0000016	OM037668.1_00009	HF920633.1_00118
OG0000017	OM037668.1_00090	HF920633.1_00163
OG0000018	OM037668.1_00089	HF920633.1_00094
OG0000019	OM037668.1_00073	HF920633.1_00003
OG0000020	OM037668.1_00078	HF920633.1_00138
OG0000021	OM037668.1_00004	HF920633.1_00058
OG0000022	OM037668.1_00113	HF920633.1_00017
OG0000025	OM037668.1_00024	HF920633.1_00047
OG0000028	OM037668.1_00011	HF920633.1_00030
OG0000149	OM037668.1_00068	HF920633.1_00156
