HOG	OG	Gene Tree Parent Clade	Chlor_AMIV_KF938901.1	Chlor_IIV22_HF920633.1	Daphi_LS484712.1	Decap_MF599468.1	Irido_IIV31_HF920637.1	Irido_IIV6_AF303741.1	Lymph_LCD4_MN803438.1	Lymph_LDV1_L63545.1	MCV_ML1_SDDV_MN562489.1	MCV_ML1_SDDV_MT521409.1	MCV_ML1_SDDV_NC_027778.1	MCV_ML1_SDDV_OM037668.1	MCV_MP1_BCFI_MN432490.1	MCV_MP1_BCFI_MT926123.1	MCV_MP1_GSPI_KT804738.1	MCV_MP1_ISKNV_AF371960.1	MCV_MP1_ISKNV_MK689685.1	MCV_MP1_LBUSV_OP009387.1	MCV_MP1_LYCI_AY779031.1	MCV_MP1_LYCI_MW139932.1	MCV_MP1_LYCI_OL774653.1	MCV_MP1_LYCI_OL774654.1	MCV_MP1_LYCI_OL774655.1	MCV_MP1_OSGI_AY894343.1	MCV_MP1_PI_MK098185.1	MCV_MP1_PI_MK098186.1	MCV_MP1_PI_MK098187.1	MCV_MP1_RBIV_AY532606.1	MCV_MP1_RBIV_KC244182.1	MCV_MP1_RSIV_BD143114.1	MCV_MP1_RSIV_MK689686.1	MCV_MP1_RSIV_MT798582.1	MCV_MP1_RSIV_OK042108.1	MCV_MP1_RSIV_OK042109.1	MCV_MP1_RSIV_ON740976.1	MCV_MP1_RSIV_ON743042.1	MCV_MP1_SKIV_MT986830.1	MCV_MP1_SKIV_ON075463.1	MCV_MP1_TRBIV_GQ273492.1	MCV_Unclassified_MG570131.1	MCV_Unclassified_MG570132.1	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1	Rana_FV3_NC_005946.1	Rana_SGIV_AY521625.1
N42.HOG0000000	OG0000000	n0	Chlor_AMIV_KF938901.1_00126	Chlor_IIV22_HF920633.1_00044																																											
N42.HOG0000001	OG0000001	n0	Chlor_AMIV_KF938901.1_00044	Chlor_IIV22_HF920633.1_00073																																											
N42.HOG0000002	OG0000002	n0	Chlor_AMIV_KF938901.1_00080	Chlor_IIV22_HF920633.1_00069																																											
N42.HOG0000003	OG0000003	n0	Chlor_AMIV_KF938901.1_00005	Chlor_IIV22_HF920633.1_00127																																											
N42.HOG0000004	OG0000004	n0	Chlor_AMIV_KF938901.1_00043	Chlor_IIV22_HF920633.1_00079																																											
N42.HOG0000005	OG0000005	n0	Chlor_AMIV_KF938901.1_00053	Chlor_IIV22_HF920633.1_00091																																											
N42.HOG0000006	OG0000006	n0	Chlor_AMIV_KF938901.1_00067	Chlor_IIV22_HF920633.1_00043																																											
N42.HOG0000007	OG0000007	n14	Chlor_AMIV_KF938901.1_00072	Chlor_IIV22_HF920633.1_00025																																											
N42.HOG0000008	OG0000008	n0	Chlor_AMIV_KF938901.1_00114	Chlor_IIV22_HF920633.1_00122																																											
N42.HOG0000009	OG0000009	n0	Chlor_AMIV_KF938901.1_00125	Chlor_IIV22_HF920633.1_00085																																											
N42.HOG0000010	OG0000011	n0	Chlor_AMIV_KF938901.1_00012	Chlor_IIV22_HF920633.1_00163																																											
N42.HOG0000011	OG0000012	n0	Chlor_AMIV_KF938901.1_00023	Chlor_IIV22_HF920633.1_00175																																											
N42.HOG0000012	OG0000013	n0	Chlor_AMIV_KF938901.1_00025	Chlor_IIV22_HF920633.1_00003																																											
