Orthogroup	MK098187	MK637631
OG0000000	MK689686.1_00006 hypothetical protein	MK637631_00067 hypothetical protein, MK637631_00068 hypothetical protein
OG0000001	MK689686.1_00014 hypothetical protein	MK637631_00030 hypothetical protein
OG0000002	MK689686.1_00002 hypothetical protein	MK637631_00119 hypothetical protein
OG0000003	MK689686.1_00005 hypothetical protein	MK637631_00070 hypothetical protein
OG0000004	MK689686.1_00007 Major capsid protein	MK637631_00044 Major capsid protein
OG0000005	MK689686.1_00008 hypothetical protein	MK637631_00025 hypothetical protein
OG0000006	MK689686.1_00013 hypothetical protein	ECIV_ORF26_refgen RING E3 ubiquitin ligase
OG0000007	MK689686.1_00017 hypothetical protein	MK637631_00033 hypothetical protein
OG0000008	MK689686.1_00018 hypothetical protein	MK637631_00021 hypothetical protein
OG0000009	MK689686.1_00019 hypothetical protein	MK637631_00020 hypothetical protein
OG0000010	MK689686.1_00021 hypothetical protein	MK637631_00017 hypothetical protein
OG0000011	MK689686.1_00022 hypothetical protein	MK637631_00016 hypothetical protein
OG0000012	MK689686.1_00025 Ribonucleoside-diphosphate reductase small chain	MK637631_00059 Ribonucleoside-diphosphate reductase small chain
OG0000013	MK689686.1_00028 hypothetical protein	MK637631_00114 hypothetical protein
OG0000014	MK689686.1_00029 hypothetical protein	MK637631_00115 hypothetical protein
OG0000015	MK689686.1_00030 hypothetical protein	MK637631_00043 hypothetical protein
OG0000016	MK689686.1_00035 hypothetical protein	MK637631_00042 hypothetical protein
OG0000017	MK689686.1_00043 hypothetical protein	MK637631_00074 hypothetical protein
OG0000018	MK689686.1_00046 hypothetical protein	MK637631_00077 hypothetical protein
OG0000019	ORF045_refgen ORF045	MK637631_00079 hypothetical protein
OG0000020	MK689686.1_00049 hypothetical protein	MK637631_00080 hypothetical protein
OG0000021	MK689686.1_00054 hypothetical protein	MK637631_00084 hypothetical protein
OG0000022	MK689686.1_00055 hypothetical protein	MK637631_00085 hypothetical protein
OG0000023	MK689686.1_00056 hypothetical protein	MK637631_00086 hypothetical protein
OG0000024	MK689686.1_00057 hypothetical protein	MK637631_00087 hypothetical protein
OG0000025	MK689686.1_00059 hypothetical protein	MK637631_00088 hypothetical protein
OG0000026	MK689686.1_00062 hypothetical protein	MK637631_00066 hypothetical protein
OG0000027	MK689686.1_00063 hypothetical protein	MK637631_00006 hypothetical protein
OG0000028	MK689686.1_00076 hypothetical protein	MK637631_00095 hypothetical protein
OG0000029	MK689686.1_00079 hypothetical protein	MK637631_00096 hypothetical protein
OG0000030	MK689686.1_00080 hypothetical protein	MK637631_00097 hypothetical protein
OG0000031	MK689686.1_00081 hypothetical protein	MK637631_00022 hypothetical protein
OG0000032	MK689686.1_00084 hypothetical protein	MK637631_00011 hypothetical protein
OG0000033	MK689686.1_00085 hypothetical protein	MK637631_00010 hypothetical protein
OG0000034	MK689686.1_00086 hypothetical protein	MK637631_00037 hypothetical protein
OG0000035	MK689686.1_00087 hypothetical protein	MK637631_00039 hypothetical protein
OG0000036	MK689686.1_00088 hypothetical protein	MK637631_00056 hypothetical protein
OG0000037	MK689686.1_00092 hypothetical protein	MK637631_00111 hypothetical protein
OG0000038	MK689686.1_00093 hypothetical protein	MK637631_00110 hypothetical protein
OG0000039	MK689686.1_00094 hypothetical protein	MK637631_00118 hypothetical protein
OG0000040	MK689686.1_00097 hypothetical protein	MK637631_00117 hypothetical protein
OG0000041	MK689686.1_00105 hypothetical protein	MK637631_00100 hypothetical protein
OG0000042	MK689686.1_00108 hypothetical protein	MK637631_00101 hypothetical protein
OG0000043	MK689686.1_00109 hypothetical protein	MK637631_00103 hypothetical protein
OG0000044	MK689686.1_00110 hypothetical protein	MK637631_00104 hypothetical protein
OG0000045	MK689686.1_00112 hypothetical protein	MK637631_00105 hypothetical protein
OG0000046	MK689686.1_00114 hypothetical protein	MK637631_00108 hypothetical protein
OG0000047	MK689686.1_00118 hypothetical protein	MK637631_00012 hypothetical protein
OG0000048	MK689686.1_00120 hypothetical protein	MK637631_00106 hypothetical protein
OG0000049	MK689686.1_00121 hypothetical protein	MK637631_00046 hypothetical protein
OG0000050	transmembrane amino acid transporter protein_refgen transmembrane amino acid transporter protein	MK637631_00001 hypothetical protein
OG0000051	MK689686.1_00012 hypothetical protein	MK637631_00029 hypothetical protein
OG0000052	MK689686.1_00023 hypothetical protein	MK637631_00032 hypothetical protein
OG0000054	MK689686.1_00034 DNA-directed RNA polymerase subunit 2	MK637631_00024 DNA-directed RNA polymerase subunit 2
OG0000055	MK689686.1_00074 hypothetical protein	MK637631_00094 hypothetical protein
OG0000056	putative RNA binding protein_refgen putative RNA binding protein	MK637631_00055 hypothetical protein
OG0000057	MK689686.1_00116 hypothetical protein	MK637631_00048 hypothetical protein
OG0000058	MK689686.1_00122 hypothetical protein	MK637631_00004 hypothetical protein
OG0000059	MK689686.1_00031 hypothetical protein	MK637631_00049 hypothetical protein
OG0000063	MK689686.1_00075 hypothetical protein	MK637631_00102 hypothetical protein
OG0000064	ORF018_refgen ORF018	MK637631_00018 hypothetical protein
OG0000107	DNA-binding protein_refgen DNA-binding protein	MK637631_00089 hypothetical protein
OG0000114	MK689686.1_00058 hypothetical protein	MK637631_00057 hypothetical protein
OG0000120	MK689686.1_00078 hypothetical protein	MK637631_00107 hypothetical protein
