Orthogroup	L63545.1	NC_005946.1
OG0000000	L63545.1_00007	NC_005946.1_00010
OG0000001	L63545.1_00035	NC_005946.1_00053
OG0000002	L63545.1_00079	NC_005946.1_00091
OG0000003	L63545.1_00076	NC_005946.1_00057
OG0000004	L63545.1_00001	NC_005946.1_00028
OG0000005	L63545.1_00056	NC_005946.1_00014
OG0000006	L63545.1_00093	NC_005946.1_00042
OG0000007	L63545.1_00090	NC_005946.1_00002
OG0000008	L63545.1_00108	NC_005946.1_00095
OG0000009	L63545.1_00024	NC_005946.1_00092
OG0000011	L63545.1_00069	NC_005946.1_00011
OG0000012	L63545.1_00071	NC_005946.1_00060
OG0000013	L63545.1_00004	NC_005946.1_00022
OG0000014	L63545.1_00030	NC_005946.1_00016
OG0000015	L63545.1_00110	NC_005946.1_00021
OG0000016	L63545.1_00073	NC_005946.1_00082
OG0000017	L63545.1_00072	NC_005946.1_00087
OG0000018	L63545.1_00068	NC_005946.1_00023
OG0000019	L63545.1_00009	NC_005946.1_00094
OG0000020	L63545.1_00098	NC_005946.1_00083
OG0000021	L63545.1_00043	NC_005946.1_00038
OG0000022	L63545.1_00013	NC_005946.1_00061
OG0000023	L63545.1_00054	NC_005946.1_00089
OG0000024	L63545.1_00015	NC_005946.1_00067
OG0000026	L63545.1_00002	NC_005946.1_00086
OG0000027	L63545.1_00058	NC_005946.1_00049
OG0000028	L63545.1_00003	NC_005946.1_00085
OG0000113	L63545.1_00088, L63545.1_00051, L63545.1_00047, L63545.1_00050	NC_005946.1_00020
OG0000134	L63545.1_00092	NC_005946.1_00001
OG0000135	L63545.1_00016	NC_005946.1_00079
OG0000137	L63545.1_00100	NC_005946.1_00039
OG0000151	L63545.1_00085	NC_005946.1_00052
OG0000158	L63545.1_00018	NC_005946.1_00044
OG0000160	L63545.1_00055	NC_005946.1_00075
OG0000176	L63545.1_00066	NC_005946.1_00026
OG0000177	L63545.1_00091	NC_005946.1_00033
OG0000178	L63545.1_00048	NC_005946.1_00029
OG0000206	L63545.1_00106	NC_005946.1_00062
OG0000232	L63545.1_00025	NC_005946.1_00051
OG0000234	L63545.1_00021	NC_005946.1_00088
OG0000235	L63545.1_00109	NC_005946.1_00096
OG0000236	L63545.1_00022	NC_005946.1_00015
OG0000237	L63545.1_00032	NC_005946.1_00073
OG0000290	L63545.1_00061	NC_005946.1_00034
