Orthogroup	MN562489.1	AY779031.1
OG0000000	MN562489.1_00102	AY779031.1_00034
OG0000001	MN562489.1_00080	AY779031.1_00007
OG0000002	MN562489.1_00002, MN562489.1_00010, MN562489.1_00131	AY779031.1_00085
OG0000003	MN562489.1_00081	AY779031.1_00008
OG0000004	MN562489.1_00087	AY779031.1_00015, AY779031.1_00016
OG0000005	MN562489.1_00099	AY779031.1_00033
OG0000006	MN562489.1_00116	AY779031.1_00083
OG0000007	MN562489.1_00052	AY779031.1_00098
OG0000008	MN562489.1_00060	AY779031.1_00121
OG0000009	MN562489.1_00059	AY779031.1_00122
OG0000010	MN562489.1_00124	AY779031.1_00005
OG0000011	MN562489.1_00096	AY779031.1_00023
OG0000012	MN562489.1_00012	AY779031.1_00035
OG0000013	MN562489.1_00011	AY779031.1_00037
OG0000014	MN562489.1_00008	AY779031.1_00039
OG0000015	MN562489.1_00038	AY779031.1_00061
OG0000016	MN562489.1_00128	AY779031.1_00068
OG0000017	MN562489.1_00046	AY779031.1_00094
OG0000018	MN562489.1_00047	AY779031.1_00095
OG0000019	MN562489.1_00063	AY779031.1_00116
OG0000020	MN562489.1_00058	AY779031.1_00129
OG0000021	MN562489.1_00133	AY779031.1_00130
OG0000022	MN562489.1_00023	AY779031.1_00049
OG0000023	MN562489.1_00056	AY779031.1_00103
OG0000024	MN562489.1_00062	AY779031.1_00119
OG0000025	MN562489.1_00113	AY779031.1_00069
OG0000026	MN562489.1_00049	AY779031.1_00096
OG0000027	MN562489.1_00026	AY779031.1_00052
OG0000028	MN562489.1_00126	AY779031.1_00006
OG0000029	MN562489.1_00041	AY779031.1_00066
OG0000030	MN562489.1_00107	AY779031.1_00001
OG0000031	MN562489.1_00118	AY779031.1_00089
OG0000032	MN562489.1_00050	AY779031.1_00097
OG0000033	MN562489.1_00109	AY779031.1_00131
OG0000034	MN562489.1_00086	AY779031.1_00013
OG0000035	MN562489.1_00132	AY779031.1_00014
OG0000036	MN562489.1_00091	AY779031.1_00019
OG0000037	MN562489.1_00092	AY779031.1_00020
OG0000038	MN562489.1_00097	AY779031.1_00024
OG0000039	MN562489.1_00089	AY779031.1_00025
OG0000040	MN562489.1_00134	AY779031.1_00036
OG0000041	MN562489.1_00013	AY779031.1_00040
OG0000042	MN562489.1_00030	AY779031.1_00053
OG0000043	MN562489.1_00031	AY779031.1_00054
OG0000044	MN562489.1_00036	AY779031.1_00059
OG0000045	MN562489.1_00037	AY779031.1_00060
OG0000046	MN562489.1_00039	AY779031.1_00062
OG0000047	MN562489.1_00051	AY779031.1_00063
OG0000048	MN562489.1_00040	AY779031.1_00065
OG0000049	MN562489.1_00117	AY779031.1_00086
OG0000050	MN562489.1_00119	AY779031.1_00090
OG0000051	MN562489.1_00005	AY779031.1_00091
OG0000052	MN562489.1_00055	AY779031.1_00102
OG0000053	MN562489.1_00105	AY779031.1_00104
OG0000054	MN562489.1_00104	AY779031.1_00107
OG0000055	MN562489.1_00061	AY779031.1_00120
OG0000056	MN562489.1_00057	AY779031.1_00125
OG0000057	MN562489.1_00001	AY779031.1_00127
OG0000058	MN562489.1_00106	AY779031.1_00002
OG0000059	MN562489.1_00083	AY779031.1_00010
OG0000061	MN562489.1_00053	AY779031.1_00099
OG0000113	MN562489.1_00095	AY779031.1_00022
OG0000114	MN562489.1_00084	AY779031.1_00011
OG0000117	MN562489.1_00054	AY779031.1_00100
