Orthogroup	Irido_IIV6_AF303741.1	Rana_SGIV_AY521625.1
OG0000000	Irido_IIV6_AF303741.1_00079, Irido_IIV6_AF303741.1_00152	Rana_SGIV_AY521625.1_00091
OG0000001	Irido_IIV6_AF303741.1_00125	Rana_SGIV_AY521625.1_00064
OG0000002	Irido_IIV6_AF303741.1_00200, Irido_IIV6_AF303741.1_00047	Rana_SGIV_AY521625.1_00077
OG0000003	Irido_IIV6_AF303741.1_00035	Rana_SGIV_AY521625.1_00130
OG0000004	Irido_IIV6_AF303741.1_00080	Rana_SGIV_AY521625.1_00069, Rana_SGIV_AY521625.1_00070
OG0000005	Irido_IIV6_AF303741.1_00149	Rana_SGIV_AY521625.1_00016
OG0000006	Irido_IIV6_AF303741.1_00165	Rana_SGIV_AY521625.1_00085
OG0000007	Irido_IIV6_AF303741.1_00132	Rana_SGIV_AY521625.1_00051
OG0000008	Irido_IIV6_AF303741.1_00176	Rana_SGIV_AY521625.1_00142
OG0000009	Irido_IIV6_AF303741.1_00129	Rana_SGIV_AY521625.1_00100
OG0000011	Irido_IIV6_AF303741.1_00137	Rana_SGIV_AY521625.1_00086
OG0000012	Irido_IIV6_AF303741.1_00189	Rana_SGIV_AY521625.1_00065
OG0000013	Irido_IIV6_AF303741.1_00081	Rana_SGIV_AY521625.1_00047
OG0000014	Irido_IIV6_AF303741.1_00062	Rana_SGIV_AY521625.1_00073
OG0000015	Irido_IIV6_AF303741.1_00156	Rana_SGIV_AY521625.1_00074
OG0000016	Irido_IIV6_AF303741.1_00011	Rana_SGIV_AY521625.1_00110
OG0000017	Irido_IIV6_AF303741.1_00023	Rana_SGIV_AY521625.1_00048
OG0000018	Irido_IIV6_AF303741.1_00026	Rana_SGIV_AY521625.1_00115
OG0000019	Irido_IIV6_AF303741.1_00006	Rana_SGIV_AY521625.1_00053
OG0000020	Irido_IIV6_AF303741.1_00046	Rana_SGIV_AY521625.1_00035
OG0000021	Irido_IIV6_AF303741.1_00063	Rana_SGIV_AY521625.1_00059
OG0000022	Irido_IIV6_AF303741.1_00158	Rana_SGIV_AY521625.1_00054
OG0000023	Irido_IIV6_AF303741.1_00154	Rana_SGIV_AY521625.1_00062
OG0000024	Irido_IIV6_AF303741.1_00168	Rana_SGIV_AY521625.1_00042
OG0000113	Irido_IIV6_AF303741.1_00170	Rana_SGIV_AY521625.1_00036
OG0000133	Irido_IIV6_AF303741.1_00157	Rana_SGIV_AY521625.1_00102
OG0000134	Irido_IIV6_AF303741.1_00126	Rana_SGIV_AY521625.1_00098
OG0000137	Irido_IIV6_AF303741.1_00031	Rana_SGIV_AY521625.1_00056
OG0000148	Irido_IIV6_AF303741.1_00072	Rana_SGIV_AY521625.1_00133
OG0000156	Irido_IIV6_AF303741.1_00192	Rana_SGIV_AY521625.1_00044
OG0000168	Irido_IIV6_AF303741.1_00105	Rana_SGIV_AY521625.1_00014
