Orthogroup	PQ335173_PQ335174	HF920637
OG0000000	PQ335173_PQ335174_00107 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1, HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	PQ335173_PQ335174_00018 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	PQ335173_PQ335174_00010 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	PQ335173_PQ335174_00105 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	PQ335173_PQ335174_00021 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000005	PQ335173_PQ335174_00019 PQ335173_PQ335174 - Major capsid protein translation	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000006	PQ335173_PQ335174_00003 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000007	PQ335173_PQ335174_00108 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000008	PQ335173_PQ335174_00109 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000009	PQ335173_PQ335174_00110 PQ335173_PQ335174 - DNA-directed RNA polymerase subunit 2 translation	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	PQ335173_PQ335174_00084 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000011	PQ335173_PQ335174_00078 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000012	PQ335173_PQ335174_00060 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000013	PQ335173_PQ335174_00056 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000014	PQ335173_PQ335174_00039 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000015	PQ335173_PQ335174_00028 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000016	PQ335173_PQ335174_00027 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000017	PQ335173_PQ335174_00112 PQ335173_PQ335174 - Ribonucleoside-diphosphate reductase small chain translation	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	PQ335173_PQ335174_00068 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000019	PQ335173_PQ335174_00059 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000020	PQ335173_PQ335174_00050 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000021	PQ335173_PQ335174_00043 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000022	PQ335173_PQ335174_00095 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000023	PQ335173_PQ335174_00044 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00153 HF920637.1 - hypothetical protein translation
OG0000024	PQ335173_PQ335174_00075 PQ335173_PQ335174 - hypothetical protein translation	HF920637.1_00156 HF920637.1 - hypothetical protein translation
