Orthogroup	NC_005946.1	MT798582.1
OG0000000	NC_005946.1_00010	MT798582.1_00076
OG0000001	NC_005946.1_00053	MT798582.1_00018
OG0000002	NC_005946.1_00091	MT798582.1_00019
OG0000003	NC_005946.1_00057	MT798582.1_00012
OG0000004	NC_005946.1_00028	MT798582.1_00037
OG0000005	NC_005946.1_00014	MT798582.1_00111
OG0000006	NC_005946.1_00042	MT798582.1_00088
OG0000007	NC_005946.1_00002	MT798582.1_00116
OG0000008	NC_005946.1_00095	MT798582.1_00077
OG0000009	NC_005946.1_00092	MT798582.1_00036
OG0000011	NC_005946.1_00011	MT798582.1_00100
OG0000012	NC_005946.1_00060	MT798582.1_00004
OG0000013	NC_005946.1_00022	MT798582.1_00049
OG0000014	NC_005946.1_00016	MT798582.1_00028
OG0000015	NC_005946.1_00021	MT798582.1_00027
OG0000016	NC_005946.1_00082	MT798582.1_00119
OG0000017	NC_005946.1_00087	MT798582.1_00073
OG0000018	NC_005946.1_00023	MT798582.1_00042
OG0000019	NC_005946.1_00094	MT798582.1_00120
OG0000020	NC_005946.1_00083	MT798582.1_00075
OG0000021	NC_005946.1_00038	MT798582.1_00021
OG0000022	NC_005946.1_00061	MT798582.1_00071
OG0000023	NC_005946.1_00089	MT798582.1_00062
OG0000024	NC_005946.1_00067	MT798582.1_00080
OG0000026	NC_005946.1_00086	MT798582.1_00039
OG0000027	NC_005946.1_00049	MT798582.1_00118
OG0000028	NC_005946.1_00085	MT798582.1_00059
