Orthogroup	MN803438.1	MT798582.1
OG0000000	MN803438.1_00124	MT798582.1_00076
OG0000001	MN803438.1_00101, MN803438.1_00056	MT798582.1_00018
OG0000002	MN803438.1_00023	MT798582.1_00019
OG0000003	MN803438.1_00113	MT798582.1_00012
OG0000004	MN803438.1_00104	MT798582.1_00037
OG0000005	MN803438.1_00071	MT798582.1_00111
OG0000006	MN803438.1_00142	MT798582.1_00088
OG0000007	MN803438.1_00027	MT798582.1_00116
OG0000008	MN803438.1_00106	MT798582.1_00077
OG0000009	MN803438.1_00109	MT798582.1_00036
OG0000011	MN803438.1_00049	MT798582.1_00100
OG0000012	MN803438.1_00128	MT798582.1_00004
OG0000013	MN803438.1_00007	MT798582.1_00049
OG0000014	MN803438.1_00070	MT798582.1_00028
OG0000015	MN803438.1_00046	MT798582.1_00027
OG0000016	MN803438.1_00122	MT798582.1_00119
OG0000017	MN803438.1_00035	MT798582.1_00073
OG0000018	MN803438.1_00051	MT798582.1_00042
OG0000019	MN803438.1_00097	MT798582.1_00120
OG0000020	MN803438.1_00068	MT798582.1_00075
OG0000021	MN803438.1_00089	MT798582.1_00021
OG0000022	MN803438.1_00013	MT798582.1_00071
OG0000023	MN803438.1_00077	MT798582.1_00062
OG0000024	MN803438.1_00024	MT798582.1_00080
OG0000026	MN803438.1_00126	MT798582.1_00039
OG0000027	MN803438.1_00037	MT798582.1_00118
OG0000028	MN803438.1_00054	MT798582.1_00059
OG0000031	MN803438.1_00145	MT798582.1_00020
