Orthogroup	MCV_Unlassified_OL310752.1	MCV_ML1_SDDV_MT521409.1
OG0000000	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108	MCV_ML1_SDDV_MT521409.1_00103
OG0000001	MCV_Unlassified_OL310752.1_00019	MCV_ML1_SDDV_MT521409.1_00081
OG0000002	MCV_Unlassified_OL310752.1_00018	MCV_ML1_SDDV_MT521409.1_00082
OG0000003	MCV_Unlassified_OL310752.1_00012	MCV_ML1_SDDV_MT521409.1_00088
OG0000004	MCV_Unlassified_OL310752.1_00060	MCV_ML1_SDDV_MT521409.1_00061
OG0000005	MCV_Unlassified_OL310752.1_00042	MCV_ML1_SDDV_MT521409.1_00053
OG0000006	MCV_Unlassified_OL310752.1_00107	MCV_ML1_SDDV_MT521409.1_00100
OG0000007	MCV_Unlassified_OL310752.1_00078	MCV_ML1_SDDV_MT521409.1_00117
OG0000008	MCV_Unlassified_OL310752.1_00116	MCV_ML1_SDDV_MT521409.1_00060
OG0000009	MCV_Unlassified_OL310752.1_00036	MCV_ML1_SDDV_MT521409.1_00057
OG0000010	MCV_Unlassified_OL310752.1_00077, MCV_Unlassified_OL310752.1_00120	MCV_ML1_SDDV_MT521409.1_00132, MCV_ML1_SDDV_MT521409.1_00010, MCV_ML1_SDDV_MT521409.1_00002
OG0000011	MCV_Unlassified_OL310752.1_00046	MCV_ML1_SDDV_MT521409.1_00047
OG0000012	MCV_Unlassified_OL310752.1_00083	MCV_ML1_SDDV_MT521409.1_00008
OG0000013	MCV_Unlassified_OL310752.1_00065	MCV_ML1_SDDV_MT521409.1_00064
OG0000014	MCV_Unlassified_OL310752.1_00045	MCV_ML1_SDDV_MT521409.1_00048
OG0000015	MCV_Unlassified_OL310752.1_00114	MCV_ML1_SDDV_MT521409.1_00012
OG0000016	MCV_Unlassified_OL310752.1_00004	MCV_ML1_SDDV_MT521409.1_00097
OG0000017	MCV_Unlassified_OL310752.1_00096	MCV_ML1_SDDV_MT521409.1_00039
OG0000018	MCV_Unlassified_OL310752.1_00071	MCV_ML1_SDDV_MT521409.1_00059
OG0000019	MCV_Unlassified_OL310752.1_00027	MCV_ML1_SDDV_MT521409.1_00129
OG0000020	MCV_Unlassified_OL310752.1_00072	MCV_ML1_SDDV_MT521409.1_00134
OG0000021	MCV_Unlassified_OL310752.1_00085	MCV_ML1_SDDV_MT521409.1_00011
OG0000022	MCV_Unlassified_OL310752.1_00021	MCV_ML1_SDDV_MT521409.1_00125
OG0000023	MCV_Unlassified_OL310752.1_00052	MCV_ML1_SDDV_MT521409.1_00024
OG0000024	MCV_Unlassified_OL310752.1_00104	MCV_ML1_SDDV_MT521409.1_00074
OG0000025	MCV_Unlassified_OL310752.1_00028	MCV_ML1_SDDV_MT521409.1_00114
OG0000026	MCV_Unlassified_OL310752.1_00062	MCV_ML1_SDDV_MT521409.1_00063
OG0000027	MCV_Unlassified_OL310752.1_00044	MCV_ML1_SDDV_MT521409.1_00050
OG0000028	MCV_Unlassified_OL310752.1_00087	MCV_ML1_SDDV_MT521409.1_00027
OG0000029	MCV_Unlassified_OL310752.1_00025	MCV_ML1_SDDV_MT521409.1_00042
OG0000030	MCV_Unlassified_OL310752.1_00020	MCV_ML1_SDDV_MT521409.1_00127
OG0000031	MCV_Unlassified_OL310752.1_00043	MCV_ML1_SDDV_MT521409.1_00051
OG0000032	MCV_Unlassified_OL310752.1_00074	MCV_ML1_SDDV_MT521409.1_00108
OG0000033	MCV_Unlassified_OL310752.1_00073	MCV_ML1_SDDV_MT521409.1_00110
OG0000034	MCV_Unlassified_OL310752.1_00124	MCV_ML1_SDDV_MT521409.1_00119
OG0000035	MCV_Unlassified_OL310752.1_00022	MCV_ML1_SDDV_MT521409.1_00040
OG0000036	MCV_Unlassified_OL310752.1_00067	MCV_ML1_SDDV_MT521409.1_00001
OG0000037	MCV_Unlassified_OL310752.1_00049	MCV_ML1_SDDV_MT521409.1_00005
OG0000038	MCV_Unlassified_OL310752.1_00082	MCV_ML1_SDDV_MT521409.1_00013
OG0000039	MCV_Unlassified_OL310752.1_00088	MCV_ML1_SDDV_MT521409.1_00031
OG0000040	MCV_Unlassified_OL310752.1_00089	MCV_ML1_SDDV_MT521409.1_00032
OG0000041	MCV_Unlassified_OL310752.1_00094	MCV_ML1_SDDV_MT521409.1_00037
OG0000042	MCV_Unlassified_OL310752.1_00095	MCV_ML1_SDDV_MT521409.1_00038
OG0000043	MCV_Unlassified_OL310752.1_00024	MCV_ML1_SDDV_MT521409.1_00041
OG0000044	MCV_Unlassified_OL310752.1_00023	MCV_ML1_SDDV_MT521409.1_00052
OG0000045	MCV_Unlassified_OL310752.1_00037	MCV_ML1_SDDV_MT521409.1_00056
OG0000046	MCV_Unlassified_OL310752.1_00119	MCV_ML1_SDDV_MT521409.1_00058
OG0000047	MCV_Unlassified_OL310752.1_00061	MCV_ML1_SDDV_MT521409.1_00062
OG0000048	MCV_Unlassified_OL310752.1_00014	MCV_ML1_SDDV_MT521409.1_00087
OG0000049	MCV_Unlassified_OL310752.1_00002	MCV_ML1_SDDV_MT521409.1_00090
OG0000050	MCV_Unlassified_OL310752.1_00007	MCV_ML1_SDDV_MT521409.1_00092
OG0000051	MCV_Unlassified_OL310752.1_00006	MCV_ML1_SDDV_MT521409.1_00093
OG0000052	MCV_Unlassified_OL310752.1_00003	MCV_ML1_SDDV_MT521409.1_00098
OG0000053	MCV_Unlassified_OL310752.1_00112	MCV_ML1_SDDV_MT521409.1_00105
OG0000054	MCV_Unlassified_OL310752.1_00035	MCV_ML1_SDDV_MT521409.1_00106
OG0000055	MCV_Unlassified_OL310752.1_00121	MCV_ML1_SDDV_MT521409.1_00118
OG0000056	MCV_Unlassified_OL310752.1_00123	MCV_ML1_SDDV_MT521409.1_00120
OG0000057	MCV_Unlassified_OL310752.1_00013	MCV_ML1_SDDV_MT521409.1_00133
OG0000058	MCV_Unlassified_OL310752.1_00115	MCV_ML1_SDDV_MT521409.1_00135
OG0000059	MCV_Unlassified_OL310752.1_00041	MCV_ML1_SDDV_MT521409.1_00054
OG0000060	MCV_Unlassified_OL310752.1_00016	MCV_ML1_SDDV_MT521409.1_00084
OG0000061	MCV_Unlassified_OL310752.1_00008	MCV_ML1_SDDV_MT521409.1_00091
OG0000062	MCV_Unlassified_OL310752.1_00075	MCV_ML1_SDDV_MT521409.1_00107
OG0000072	MCV_Unlassified_OL310752.1_00069	MCV_ML1_SDDV_MT521409.1_00046
OG0000114	MCV_Unlassified_OL310752.1_00005	MCV_ML1_SDDV_MT521409.1_00096
