Orthogroup	GQ273492.1	LS484712.1
OG0000000	GQ273492.1_00030	LS484712.1_00114
OG0000001	GQ273492.1_00008	LS484712.1_00095
OG0000002	GQ273492.1_00007	LS484712.1_00142
OG0000003	GQ273492.1_00015	LS484712.1_00187
OG0000005	GQ273492.1_00092	LS484712.1_00256
OG0000006	GQ273492.1_00073	LS484712.1_00040
OG0000007	GQ273492.1_00087	LS484712.1_00234, LS484712.1_00050
OG0000008	GQ273492.1_00029	LS484712.1_00248
OG0000009	GQ273492.1_00110	LS484712.1_00130
OG0000011	GQ273492.1_00063	LS484712.1_00203
OG0000012	GQ273492.1_00022	LS484712.1_00200
OG0000013	GQ273492.1_00056	LS484712.1_00143
OG0000014	GQ273492.1_00118	LS484712.1_00202
OG0000015	GQ273492.1_00119	LS484712.1_00135
OG0000016	GQ273492.1_00084	LS484712.1_00048
OG0000017	GQ273492.1_00033	LS484712.1_00240
OG0000018	GQ273492.1_00103	LS484712.1_00053
OG0000019	GQ273492.1_00083	LS484712.1_00192
OG0000020	GQ273492.1_00031	LS484712.1_00188
OG0000021	GQ273492.1_00005	LS484712.1_00096
OG0000022	GQ273492.1_00035	LS484712.1_00194
OG0000023	GQ273492.1_00044	LS484712.1_00117
OG0000024	GQ273492.1_00027	LS484712.1_00149
OG0000068	GQ273492.1_00066	LS484712.1_00002
