Orthogroup	KF938901.1	KT804738.1
OG0000000	KF938901.1_00126	KT804738.1_00029
OG0000001	KF938901.1_00044	KT804738.1_00007
OG0000003	KF938901.1_00080	KT804738.1_00008
OG0000004	KF938901.1_00005	KT804738.1_00015
OG0000005	KF938901.1_00067	KT804738.1_00028
OG0000006	KF938901.1_00072	KT804738.1_00072
OG0000007	KF938901.1_00053	KT804738.1_00086
OG0000008	KF938901.1_00043	KT804738.1_00109
OG0000009	KF938901.1_00114	KT804738.1_00111
OG0000010	KF938901.1_00124	KT804738.1_00005
OG0000011	KF938901.1_00054	KT804738.1_00021
OG0000012	KF938901.1_00047	KT804738.1_00030
OG0000013	KF938901.1_00123	KT804738.1_00032
OG0000014	KF938901.1_00023	KT804738.1_00034
OG0000015	KF938901.1_00060	KT804738.1_00055
OG0000016	KF938901.1_00092	KT804738.1_00060
OG0000017	KF938901.1_00012	KT804738.1_00082
OG0000018	KF938901.1_00046	KT804738.1_00083
OG0000019	KF938901.1_00025	KT804738.1_00104
OG0000020	KF938901.1_00074	KT804738.1_00119
OG0000021	KF938901.1_00095	KT804738.1_00120
OG0000022	KF938901.1_00031	KT804738.1_00043
OG0000025	KF938901.1_00093	KT804738.1_00061
