Orthogroup	LS484712.1	AF371960.1
OG0000000	LS484712.1_00114	AF371960.1_00031
OG0000001	LS484712.1_00142	AF371960.1_00007
OG0000003	LS484712.1_00095	AF371960.1_00008
OG0000004	LS484712.1_00187	AF371960.1_00015
OG0000005	LS484712.1_00248	AF371960.1_00030
OG0000006	LS484712.1_00040	AF371960.1_00078
OG0000007	LS484712.1_00234, LS484712.1_00050	AF371960.1_00092
OG0000009	LS484712.1_00130	AF371960.1_00113
OG0000010	LS484712.1_00096	AF371960.1_00005
OG0000011	LS484712.1_00200	AF371960.1_00021
OG0000012	LS484712.1_00188	AF371960.1_00032
OG0000013	LS484712.1_00240	AF371960.1_00034
OG0000014	LS484712.1_00194	AF371960.1_00036
OG0000015	LS484712.1_00143	AF371960.1_00057
OG0000016	LS484712.1_00203	AF371960.1_00064
OG0000017	LS484712.1_00192	AF371960.1_00088
OG0000018	LS484712.1_00048	AF371960.1_00089
OG0000019	LS484712.1_00053	AF371960.1_00107
OG0000020	LS484712.1_00202	AF371960.1_00121
OG0000021	LS484712.1_00135	AF371960.1_00122
OG0000022	LS484712.1_00117	AF371960.1_00045
OG0000068	LS484712.1_00002	AF371960.1_00068
