Orthogroup	MT798582.1	HF920633.1
OG0000000	MT798582.1_00076	HF920633.1_00044
OG0000001	MT798582.1_00019	HF920633.1_00073
OG0000003	MT798582.1_00018	HF920633.1_00069
OG0000004	MT798582.1_00012	HF920633.1_00127
OG0000005	MT798582.1_00077	HF920633.1_00043
OG0000006	MT798582.1_00088	HF920633.1_00025
OG0000007	MT798582.1_00116	HF920633.1_00091
OG0000008	MT798582.1_00037	HF920633.1_00079
OG0000009	MT798582.1_00036	HF920633.1_00122
OG0000010	MT798582.1_00021	HF920633.1_00097
OG0000011	MT798582.1_00004	HF920633.1_00001
OG0000012	MT798582.1_00075	HF920633.1_00080
OG0000013	MT798582.1_00073	HF920633.1_00158
OG0000014	MT798582.1_00071	HF920633.1_00175
OG0000015	MT798582.1_00049	HF920633.1_00067
OG0000016	MT798582.1_00100	HF920633.1_00118
OG0000017	MT798582.1_00120	HF920633.1_00163
OG0000018	MT798582.1_00119	HF920633.1_00094
OG0000019	MT798582.1_00042	HF920633.1_00003
OG0000020	MT798582.1_00028	HF920633.1_00138
OG0000021	MT798582.1_00027	HF920633.1_00058
OG0000022	MT798582.1_00062	HF920633.1_00017
OG0000025	MT798582.1_00099	HF920633.1_00047
OG0000028	MT798582.1_00020	HF920633.1_00030
