Orthogroup	NC_027778.1	HF920633.1
OG0000000	NC_027778.1_00083	HF920633.1_00044
OG0000001	NC_027778.1_00062	HF920633.1_00069
OG0000002	NC_027778.1_00061	HF920633.1_00073
OG0000003	NC_027778.1_00068	HF920633.1_00127
OG0000004	NC_027778.1_00040	HF920633.1_00079
OG0000005	NC_027778.1_00036	HF920633.1_00085
OG0000006	NC_027778.1_00098	HF920633.1_00025
OG0000007	NC_027778.1_00032	HF920633.1_00091
OG0000008	NC_027778.1_00080	HF920633.1_00043
OG0000009	NC_027778.1_00039	HF920633.1_00122
OG0000011	NC_027778.1_00111	HF920633.1_00118
OG0000012	NC_027778.1_00077	HF920633.1_00001
OG0000013	NC_027778.1_00018	HF920633.1_00067
OG0000014	NC_027778.1_00038	HF920633.1_00138
OG0000015	NC_027778.1_00116	HF920633.1_00058
OG0000016	NC_027778.1_00027	HF920633.1_00094
OG0000017	NC_027778.1_00132	HF920633.1_00158
OG0000018	NC_027778.1_00043	HF920633.1_00003
OG0000019	NC_027778.1_00026	HF920633.1_00163
OG0000020	NC_027778.1_00133	HF920633.1_00080
OG0000021	NC_027778.1_00106	HF920633.1_00097
OG0000022	NC_027778.1_00129	HF920633.1_00175
OG0000023	NC_027778.1_00003	HF920633.1_00017
OG0000024	NC_027778.1_00054	HF920633.1_00062
OG0000025	NC_027778.1_00094, NC_027778.1_00095	HF920633.1_00047
OG0000139	NC_027778.1_00049	HF920633.1_00156
