Orthogroup	Irido_IIV31_HF920637.1	Lymph_LDV1_L63545.1
OG0000000	Irido_IIV31_HF920637.1_00129, Irido_IIV31_HF920637.1_00164	Lymph_LDV1_L63545.1_00007
OG0000001	Irido_IIV31_HF920637.1_00143	Lymph_LDV1_L63545.1_00079
OG0000002	Irido_IIV31_HF920637.1_00059	Lymph_LDV1_L63545.1_00035
OG0000003	Irido_IIV31_HF920637.1_00159	Lymph_LDV1_L63545.1_00076
OG0000004	Irido_IIV31_HF920637.1_00025	Lymph_LDV1_L63545.1_00001
OG0000005	Irido_IIV31_HF920637.1_00172	Lymph_LDV1_L63545.1_00090
OG0000006	Irido_IIV31_HF920637.1_00176, Irido_IIV31_HF920637.1_00175	Lymph_LDV1_L63545.1_00108
OG0000007	Irido_IIV31_HF920637.1_00121	Lymph_LDV1_L63545.1_00093
OG0000008	Irido_IIV31_HF920637.1_00153	Lymph_LDV1_L63545.1_00024
OG0000009	Irido_IIV31_HF920637.1_00221	Lymph_LDV1_L63545.1_00056
OG0000011	Irido_IIV31_HF920637.1_00197	Lymph_LDV1_L63545.1_00009
OG0000012	Irido_IIV31_HF920637.1_00213	Lymph_LDV1_L63545.1_00013
OG0000013	Irido_IIV31_HF920637.1_00111	Lymph_LDV1_L63545.1_00068
OG0000014	Irido_IIV31_HF920637.1_00079	Lymph_LDV1_L63545.1_00073
OG0000015	Irido_IIV31_HF920637.1_00031	Lymph_LDV1_L63545.1_00098
OG0000016	Irido_IIV31_HF920637.1_00001	Lymph_LDV1_L63545.1_00071
OG0000017	Irido_IIV31_HF920637.1_00017	Lymph_LDV1_L63545.1_00004
OG0000018	Irido_IIV31_HF920637.1_00108	Lymph_LDV1_L63545.1_00030
OG0000019	Irido_IIV31_HF920637.1_00217	Lymph_LDV1_L63545.1_00069
OG0000020	Irido_IIV31_HF920637.1_00152	Lymph_LDV1_L63545.1_00110
OG0000021	Irido_IIV31_HF920637.1_00073	Lymph_LDV1_L63545.1_00072
OG0000022	Irido_IIV31_HF920637.1_00041	Lymph_LDV1_L63545.1_00043
OG0000023	Irido_IIV31_HF920637.1_00033	Lymph_LDV1_L63545.1_00054
OG0000024	Irido_IIV31_HF920637.1_00061	Lymph_LDV1_L63545.1_00015
OG0000113	Irido_IIV31_HF920637.1_00138	Lymph_LDV1_L63545.1_00042
OG0000113	Irido_IIV31_HF920637.1_00148, Irido_IIV31_HF920637.1_00077	Lymph_LDV1_L63545.1_00005, Lymph_LDV1_L63545.1_00088, Lymph_LDV1_L63545.1_00051, Lymph_LDV1_L63545.1_00047, Lymph_LDV1_L63545.1_00050
OG0000133	Irido_IIV31_HF920637.1_00014	Lymph_LDV1_L63545.1_00016
OG0000134	Irido_IIV31_HF920637.1_00219	Lymph_LDV1_L63545.1_00092
OG0000137	Irido_IIV31_HF920637.1_00105	Lymph_LDV1_L63545.1_00100
OG0000138	Irido_IIV31_HF920637.1_00181	Lymph_LDV1_L63545.1_00023
OG0000154	Irido_IIV31_HF920637.1_00168	Lymph_LDV1_L63545.1_00012
OG0000160	Irido_IIV31_HF920637.1_00072	Lymph_LDV1_L63545.1_00055
OG0000198	Irido_IIV31_HF920637.1_00024	Lymph_LDV1_L63545.1_00105
