Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	OL310752.1	n16	1.0	Terminal	OL310752_1_OL310752.1_00108	OL310752_1_OL310752.1_00113
OG0000000	HF920637.1	n35	1.0	Terminal	HF920637_1_HF920637.1_00129	HF920637_1_HF920637.1_00164
OG0000000	MF599468.1	n36	1.0	Terminal	MF599468_1_MF599468.1_00057	MF599468_1_MF599468.1_00056
OG0000001	N20	n37	0.09090909090909091	Non-Terminal	MG570131_1_MG570131.1_00007, MG570132_1_MG570132.1_00007, MK689685_1_MK689685.1_00007, AF371960_1_AF371960.1_00007, MT926123_1_MT926123.1_00007	MG570131_1_MG570131.1_00008, MG570132_1_MG570132.1_00008
OG0000002	N29	n11	1.0	Non-Terminal	MN562489_1_MN562489.1_00002, MT521409_1_MT521409.1_00002, NC_027778_1_NC_027778.1_00123, OM037668_1_OM037668.1_00133, NC_027778_1_NC_027778.1_00122, MN562489_1_MN562489.1_00010, NC_027778_1_NC_027778.1_00131, OM037668_1_OM037668.1_00125, MT521409_1_MT521409.1_00010	MN562489_1_MN562489.1_00131, NC_027778_1_NC_027778.1_00114, OM037668_1_OM037668.1_00006, MT521409_1_MT521409.1_00132, NC_027778_1_NC_027778.1_00120
OG0000002	N29	n12	1.0	Non-Terminal	MN562489_1_MN562489.1_00002, MT521409_1_MT521409.1_00002, NC_027778_1_NC_027778.1_00123, OM037668_1_OM037668.1_00133, NC_027778_1_NC_027778.1_00122	MN562489_1_MN562489.1_00010, NC_027778_1_NC_027778.1_00131, OM037668_1_OM037668.1_00125, MT521409_1_MT521409.1_00010
OG0000002	N29	n13	0.25	Non-Terminal	MN562489_1_MN562489.1_00002, MT521409_1_MT521409.1_00002, NC_027778_1_NC_027778.1_00123, OM037668_1_OM037668.1_00133	NC_027778_1_NC_027778.1_00122
OG0000002	N29	n20	0.25	Non-Terminal	MN562489_1_MN562489.1_00131, NC_027778_1_NC_027778.1_00114, OM037668_1_OM037668.1_00006, MT521409_1_MT521409.1_00132	NC_027778_1_NC_027778.1_00120
OG0000002	OL310752.1	n38	1.0	Terminal	OL310752_1_OL310752.1_00077	OL310752_1_OL310752.1_00120
OG0000003	MN803438.1	n34	1.0	Terminal	MN803438_1_MN803438.1_00101	MN803438_1_MN803438.1_00056
