Orthogroup	NC_005946	MF599468
OG0000000	NC_005946.1_00010 hypothetical protein	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2
OG0000001	NC_005946.1_00057 hypothetical protein	MF599468.1_00011 MF599468.1 - hypothetical protein translation
OG0000002	NC_005946.1_00053 hypothetical protein	MF599468.1_00163 MF599468.1 - hypothetical protein translation
OG0000003	NC_005946.1_00095 hypothetical protein	MF599468.1_00030 MF599468.1 - hypothetical protein translation
OG0000004	NC_005946.1_00092 hypothetical protein	MF599468.1_00075 MF599468.1 - hypothetical protein translation
OG0000005	NC_005946.1_00011 hypothetical protein	MF599468.1_00149 MF599468.1 - hypothetical protein translation
OG0000006	NC_005946.1_00060 hypothetical protein	MF599468.1_00112 MF599468.1 - hypothetical protein translation
OG0000007	NC_005946.1_00022 hypothetical protein	MF599468.1_00033 MF599468.1 - hypothetical protein translation
OG0000008	NC_005946.1_00016 hypothetical protein	MF599468.1_00122 MF599468.1 - hypothetical protein translation
OG0000009	NC_005946.1_00021 hypothetical protein	MF599468.1_00009 MF599468.1 - hypothetical protein translation
OG0000010	NC_005946.1_00087 hypothetical protein	MF599468.1_00035 MF599468.1 - hypothetical protein translation
OG0000011	NC_005946.1_00023 hypothetical protein	MF599468.1_00117 MF599468.1 - hypothetical protein translation
OG0000012	NC_005946.1_00091 Major capsid protein	MF599468.1_00152 MF599468.1 - Major capsid protein translation
OG0000013	NC_005946.1_00094 hypothetical protein	MF599468.1_00106 MF599468.1 - hypothetical protein translation
OG0000014	NC_005946.1_00002 hypothetical protein	MF599468.1_00174 MF599468.1 - hypothetical protein translation
OG0000015	NC_005946.1_00083 hypothetical protein	MF599468.1_00090 MF599468.1 - hypothetical protein translation
OG0000016	NC_005946.1_00038 hypothetical protein	MF599468.1_00116 MF599468.1 - hypothetical protein translation
OG0000017	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000018	NC_005946.1_00082 hypothetical protein	MF599468.1_00046 MF599468.1 - hypothetical protein translation
OG0000019	NC_005946.1_00028 hypothetical protein	MF599468.1_00092 MF599468.1 - hypothetical protein translation
OG0000020	NC_005946.1_00014 hypothetical protein	MF599468.1_00154 MF599468.1 - hypothetical protein translation
OG0000023	NC_005946.1_00042 hypothetical protein	MF599468.1_00010 MF599468.1 - hypothetical protein translation
OG0000114	NC_005946.1_00020 hypothetical protein	MF599468.1_00096 MF599468.1 - hypothetical protein translation
OG0000130	NC_005946.1_00001 hypothetical protein	MF599468.1_00002 MF599468.1 - hypothetical protein translation
OG0000138	NC_005946.1_00054 hypothetical protein	MF599468.1_00161 MF599468.1 - hypothetical protein translation
OG0000147	NC_005946.1_00063 Deoxyuridine	MF599468.1_00142 MF599468.1 - Deoxyuridine
OG0000150	NC_005946.1_00044 hypothetical protein	MF599468.1_00060 MF599468.1 - hypothetical protein translation
OG0000153	NC_005946.1_00075 hypothetical protein	MF599468.1_00156 MF599468.1 - hypothetical protein translation, MF599468.1_00066 MF599468.1 - hypothetical protein translation
OG0000162	NC_005946.1_00004 hypothetical protein	MF599468.1_00081 MF599468.1 - hypothetical protein translation
OG0000168	NC_005946.1_00033 hypothetical protein	MF599468.1_00089 MF599468.1 - hypothetical protein translation, MF599468.1_00108 MF599468.1 - hypothetical protein translation
OG0000195	NC_005946.1_00062 hypothetical protein	MF599468.1_00006 MF599468.1 - hypothetical protein translation
