Orthogroup	MF599468	GQ273492
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	GQ273492.1_00030 hypothetical protein
OG0000001	MF599468.1_00011 MF599468.1 - hypothetical protein translation	GQ273492.1_00015 hypothetical protein
OG0000002	MF599468.1_00163 MF599468.1 - hypothetical protein translation	GQ273492.1_00008 hypothetical protein
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	GQ273492.1_00029 hypothetical protein
OG0000004	MF599468.1_00075 MF599468.1 - hypothetical protein translation	GQ273492.1_00110 hypothetical protein
OG0000005	MF599468.1_00149 MF599468.1 - hypothetical protein translation	GQ273492.1_00063 hypothetical protein
OG0000006	MF599468.1_00112 MF599468.1 - hypothetical protein translation	GQ273492.1_00022 hypothetical protein
OG0000007	MF599468.1_00033 MF599468.1 - hypothetical protein translation	GQ273492.1_00056 hypothetical protein
OG0000008	MF599468.1_00122 MF599468.1 - hypothetical protein translation	GQ273492.1_00118 hypothetical protein
OG0000009	MF599468.1_00009 MF599468.1 - hypothetical protein translation	GQ273492.1_00119 hypothetical protein
OG0000010	MF599468.1_00035 MF599468.1 - hypothetical protein translation	deoxyribonucleoside kinase_refgen deoxyribonucleoside kinase
OG0000011	MF599468.1_00117 MF599468.1 - hypothetical protein translation	GQ273492.1_00103 hypothetical protein
OG0000012	MF599468.1_00152 MF599468.1 - Major capsid protein translation	GQ273492.1_00007 Major capsid protein
OG0000013	MF599468.1_00106 MF599468.1 - hypothetical protein translation	GQ273492.1_00083 hypothetical protein
OG0000014	MF599468.1_00174 MF599468.1 - hypothetical protein translation	GQ273492.1_00087 hypothetical protein
OG0000015	MF599468.1_00090 MF599468.1 - hypothetical protein translation	GQ273492.1_00031 hypothetical protein
OG0000016	MF599468.1_00116 MF599468.1 - hypothetical protein translation	GQ273492.1_00005 hypothetical protein
OG0000017	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	DNA-directed RNA polymerase II second largest subunit-like protein_refgen DNA-directed RNA polymerase II second largest subunit-like protein
OG0000018	MF599468.1_00046 MF599468.1 - hypothetical protein translation	GQ273492.1_00084 hypothetical protein
OG0000019	MF599468.1_00092 MF599468.1 - hypothetical protein translation	GQ273492.1_00108 hypothetical protein
OG0000020	MF599468.1_00154 MF599468.1 - hypothetical protein translation	GQ273492.1_00092 hypothetical protein
OG0000023	MF599468.1_00010 MF599468.1 - hypothetical protein translation	GQ273492.1_00073 hypothetical protein
OG0000066	MF599468.1_00131 MF599468.1 - hypothetical protein translation	GQ273492.1_00095 hypothetical protein
