Orthogroup	OL774653.1	HF920637.1
OG0000000	OL774653.1_00051	HF920637.1_00129, HF920637.1_00164
OG0000001	OL774653.1_00026	HF920637.1_00059
OG0000002	OL774653.1_00025	HF920637.1_00143
OG0000003	OL774653.1_00032	HF920637.1_00159
OG0000004	OL774653.1_00006	HF920637.1_00025
OG0000005	OL774653.1_00114	HF920637.1_00221
OG0000006	OL774653.1_00094	HF920637.1_00121
OG0000007	OL774653.1_00108	HF920637.1_00172
OG0000008	OL774653.1_00050	HF920637.1_00176, HF920637.1_00175
OG0000009	OL774653.1_00008	HF920637.1_00153
OG0000011	OL774653.1_00082	HF920637.1_00217
OG0000012	OL774653.1_00039	HF920637.1_00001
OG0000013	OL774653.1_00076	HF920637.1_00017
OG0000014	OL774653.1_00016	HF920637.1_00108
OG0000015	OL774653.1_00017	HF920637.1_00152
OG0000016	OL774653.1_00105	HF920637.1_00079
OG0000017	OL774653.1_00054	HF920637.1_00073
OG0000018	OL774653.1_00001	HF920637.1_00111
OG0000019	OL774653.1_00104	HF920637.1_00197
OG0000020	OL774653.1_00052	HF920637.1_00031
OG0000021	OL774653.1_00023	HF920637.1_00041
OG0000022	OL774653.1_00056	HF920637.1_00213
OG0000023	OL774653.1_00065	HF920637.1_00033
OG0000024	OL774653.1_00047	HF920637.1_00061
OG0000025	OL774653.1_00083	HF920637.1_00156
OG0000031	OL774653.1_00024	HF920637.1_00127
