Orthogroup	AY779031.1	AY521625.1
OG0000000	AY779031.1_00034	AY521625.1_00091
OG0000001	AY779031.1_00008	AY521625.1_00077
OG0000002	AY779031.1_00007	AY521625.1_00064
OG0000003	AY779031.1_00015, AY779031.1_00016	AY521625.1_00130
OG0000004	AY779031.1_00121	AY521625.1_00069, AY521625.1_00070
OG0000005	AY779031.1_00103	AY521625.1_00100
OG0000006	AY779031.1_00083	AY521625.1_00051
OG0000007	AY779031.1_00098	AY521625.1_00016
OG0000008	AY779031.1_00033	AY521625.1_00085
OG0000009	AY779031.1_00122	AY521625.1_00142
OG0000011	AY779031.1_00068	AY521625.1_00053
OG0000012	AY779031.1_00023	AY521625.1_00110
OG0000013	AY779031.1_00061	AY521625.1_00048
OG0000014	AY779031.1_00129	AY521625.1_00115
OG0000015	AY779031.1_00130	AY521625.1_00035
OG0000016	AY779031.1_00095	AY521625.1_00073
OG0000017	AY779031.1_00037	AY521625.1_00059
OG0000018	AY779031.1_00116	AY521625.1_00047
OG0000019	AY779031.1_00094	AY521625.1_00086
OG0000020	AY779031.1_00035	AY521625.1_00074
OG0000021	AY779031.1_00005	AY521625.1_00054
OG0000022	AY779031.1_00039	AY521625.1_00065
OG0000023	AY779031.1_00049	AY521625.1_00062
OG0000026	AY779031.1_00119	AY521625.1_00060
OG0000027	AY779031.1_00096	AY521625.1_00022
OG0000030	AY779031.1_00001	AY521625.1_00004
