Orthogroup	Decap_MF599468.1	MCV_MP1_LYCI_OL774653.1
OG0000000	Decap_MF599468.1_00057, Decap_MF599468.1_00056	MCV_MP1_LYCI_OL774653.1_00051
OG0000001	Decap_MF599468.1_00152	MCV_MP1_LYCI_OL774653.1_00025
OG0000002	Decap_MF599468.1_00163	MCV_MP1_LYCI_OL774653.1_00026
OG0000003	Decap_MF599468.1_00011	MCV_MP1_LYCI_OL774653.1_00032
OG0000004	Decap_MF599468.1_00092	MCV_MP1_LYCI_OL774653.1_00006
OG0000005	Decap_MF599468.1_00174	MCV_MP1_LYCI_OL774653.1_00108
OG0000006	Decap_MF599468.1_00030	MCV_MP1_LYCI_OL774653.1_00050
OG0000007	Decap_MF599468.1_00010	MCV_MP1_LYCI_OL774653.1_00094
OG0000008	Decap_MF599468.1_00075	MCV_MP1_LYCI_OL774653.1_00008
OG0000009	Decap_MF599468.1_00154	MCV_MP1_LYCI_OL774653.1_00114
OG0000011	Decap_MF599468.1_00106	MCV_MP1_LYCI_OL774653.1_00104
OG0000012	Decap_MF599468.1_00071	MCV_MP1_LYCI_OL774653.1_00056
OG0000013	Decap_MF599468.1_00117	MCV_MP1_LYCI_OL774653.1_00001
OG0000014	Decap_MF599468.1_00046	MCV_MP1_LYCI_OL774653.1_00105
OG0000015	Decap_MF599468.1_00090	MCV_MP1_LYCI_OL774653.1_00052
OG0000016	Decap_MF599468.1_00112	MCV_MP1_LYCI_OL774653.1_00039
OG0000017	Decap_MF599468.1_00033	MCV_MP1_LYCI_OL774653.1_00076
OG0000018	Decap_MF599468.1_00122	MCV_MP1_LYCI_OL774653.1_00016
OG0000019	Decap_MF599468.1_00149	MCV_MP1_LYCI_OL774653.1_00082
OG0000020	Decap_MF599468.1_00009	MCV_MP1_LYCI_OL774653.1_00017
OG0000021	Decap_MF599468.1_00035	MCV_MP1_LYCI_OL774653.1_00054
OG0000022	Decap_MF599468.1_00116	MCV_MP1_LYCI_OL774653.1_00023
OG0000023	Decap_MF599468.1_00171	MCV_MP1_LYCI_OL774653.1_00065
OG0000026	Decap_MF599468.1_00039	MCV_MP1_LYCI_OL774653.1_00004
OG0000035	Decap_MF599468.1_00013	MCV_MP1_LYCI_OL774653.1_00077
OG0000065	Decap_MF599468.1_00131	MCV_MP1_LYCI_OL774653.1_00117
