Orthogroup	KF938901.1	AY521625.1
OG0000000	KF938901.1_00126	AY521625.1_00091
OG0000001	KF938901.1_00044	AY521625.1_00064
OG0000003	KF938901.1_00080	AY521625.1_00077
OG0000004	KF938901.1_00005	AY521625.1_00130
OG0000005	KF938901.1_00067	AY521625.1_00085
OG0000006	KF938901.1_00072	AY521625.1_00051
OG0000007	KF938901.1_00053	AY521625.1_00016
OG0000008	KF938901.1_00043	AY521625.1_00069, AY521625.1_00070
OG0000009	KF938901.1_00114	AY521625.1_00142
OG0000010	KF938901.1_00124	AY521625.1_00054
OG0000011	KF938901.1_00054	AY521625.1_00110
OG0000012	KF938901.1_00047	AY521625.1_00074
OG0000013	KF938901.1_00123	AY521625.1_00059
OG0000014	KF938901.1_00023	AY521625.1_00065
OG0000015	KF938901.1_00060	AY521625.1_00048
OG0000016	KF938901.1_00092	AY521625.1_00053
OG0000017	KF938901.1_00012	AY521625.1_00086
OG0000018	KF938901.1_00046	AY521625.1_00073
OG0000019	KF938901.1_00025	AY521625.1_00047
OG0000020	KF938901.1_00074	AY521625.1_00115
OG0000021	KF938901.1_00095	AY521625.1_00035
OG0000022	KF938901.1_00031	AY521625.1_00062
OG0000137	KF938901.1_00086	AY521625.1_00098
OG0000138	KF938901.1_00007	AY521625.1_00102
OG0000147	KF938901.1_00094	AY521625.1_00042
OG0000148	KF938901.1_00048	AY521625.1_00056
OG0000151	KF938901.1_00027	AY521625.1_00018
OG0000154	KF938901.1_00069	AY521625.1_00133
OG0000159	KF938901.1_00017	AY521625.1_00005
OG0000161	KF938901.1_00118	AY521625.1_00044
OG0000162	KF938901.1_00009	AY521625.1_00140
