Orthogroup	Chlor_IIV22_HF920633.1	Chlor_AMIV_KF938901.1
OG0000000	Chlor_IIV22_HF920633.1_00044	Chlor_AMIV_KF938901.1_00126
OG0000001	Chlor_IIV22_HF920633.1_00073	Chlor_AMIV_KF938901.1_00044
OG0000002	Chlor_IIV22_HF920633.1_00069	Chlor_AMIV_KF938901.1_00080
OG0000003	Chlor_IIV22_HF920633.1_00127	Chlor_AMIV_KF938901.1_00005
OG0000004	Chlor_IIV22_HF920633.1_00079	Chlor_AMIV_KF938901.1_00043
OG0000005	Chlor_IIV22_HF920633.1_00091	Chlor_AMIV_KF938901.1_00053
OG0000006	Chlor_IIV22_HF920633.1_00043	Chlor_AMIV_KF938901.1_00067
OG0000007	Chlor_IIV22_HF920633.1_00025	Chlor_AMIV_KF938901.1_00072
OG0000008	Chlor_IIV22_HF920633.1_00122	Chlor_AMIV_KF938901.1_00114
OG0000009	Chlor_IIV22_HF920633.1_00085	Chlor_AMIV_KF938901.1_00125
OG0000011	Chlor_IIV22_HF920633.1_00163	Chlor_AMIV_KF938901.1_00012
OG0000012	Chlor_IIV22_HF920633.1_00175	Chlor_AMIV_KF938901.1_00023
OG0000013	Chlor_IIV22_HF920633.1_00003	Chlor_AMIV_KF938901.1_00025
OG0000014	Chlor_IIV22_HF920633.1_00094	Chlor_AMIV_KF938901.1_00046
OG0000015	Chlor_IIV22_HF920633.1_00080	Chlor_AMIV_KF938901.1_00047
OG0000016	Chlor_IIV22_HF920633.1_00001	Chlor_AMIV_KF938901.1_00054
OG0000017	Chlor_IIV22_HF920633.1_00067	Chlor_AMIV_KF938901.1_00060
OG0000018	Chlor_IIV22_HF920633.1_00138	Chlor_AMIV_KF938901.1_00074
OG0000019	Chlor_IIV22_HF920633.1_00118	Chlor_AMIV_KF938901.1_00092
OG0000020	Chlor_IIV22_HF920633.1_00058	Chlor_AMIV_KF938901.1_00095
OG0000021	Chlor_IIV22_HF920633.1_00158	Chlor_AMIV_KF938901.1_00123
OG0000022	Chlor_IIV22_HF920633.1_00097	Chlor_AMIV_KF938901.1_00124
OG0000023	Chlor_IIV22_HF920633.1_00017	Chlor_AMIV_KF938901.1_00031
OG0000024	Chlor_IIV22_HF920633.1_00062	Chlor_AMIV_KF938901.1_00094
OG0000025	Chlor_IIV22_HF920633.1_00047	Chlor_AMIV_KF938901.1_00093
OG0000113	Chlor_IIV22_HF920633.1_00145	Chlor_AMIV_KF938901.1_00104
OG0000119	Chlor_IIV22_HF920633.1_00040, Chlor_IIV22_HF920633.1_00117, Chlor_IIV22_HF920633.1_00143, Chlor_IIV22_HF920633.1_00057, Chlor_IIV22_HF920633.1_00107, Chlor_IIV22_HF920633.1_00172, Chlor_IIV22_HF920633.1_00170	Chlor_AMIV_KF938901.1_00085, Chlor_AMIV_KF938901.1_00140
OG0000123	Chlor_IIV22_HF920633.1_00007	Chlor_AMIV_KF938901.1_00049, Chlor_AMIV_KF938901.1_00115, Chlor_AMIV_KF938901.1_00091
OG0000123	Chlor_IIV22_HF920633.1_00130, Chlor_IIV22_HF920633.1_00174	Chlor_AMIV_KF938901.1_00020
OG0000126	Chlor_IIV22_HF920633.1_00059, Chlor_IIV22_HF920633.1_00119, Chlor_IIV22_HF920633.1_00081	Chlor_AMIV_KF938901.1_00030, Chlor_AMIV_KF938901.1_00084, Chlor_AMIV_KF938901.1_00158, Chlor_AMIV_KF938901.1_00119, Chlor_AMIV_KF938901.1_00001, Chlor_AMIV_KF938901.1_00151, Chlor_AMIV_KF938901.1_00127, Chlor_AMIV_KF938901.1_00135
OG0000133	Chlor_IIV22_HF920633.1_00064	Chlor_AMIV_KF938901.1_00007
OG0000134	Chlor_IIV22_HF920633.1_00135	Chlor_AMIV_KF938901.1_00086
OG0000137	Chlor_IIV22_HF920633.1_00132	Chlor_AMIV_KF938901.1_00048
OG0000138	Chlor_IIV22_HF920633.1_00053	Chlor_AMIV_KF938901.1_00065
OG0000139	Chlor_IIV22_HF920633.1_00156	Chlor_AMIV_KF938901.1_00108
OG0000148	Chlor_IIV22_HF920633.1_00026	Chlor_AMIV_KF938901.1_00069
OG0000152	Chlor_IIV22_HF920633.1_00024	Chlor_AMIV_KF938901.1_00027
OG0000153	Chlor_IIV22_HF920633.1_00096	Chlor_AMIV_KF938901.1_00153
OG0000153	Chlor_IIV22_HF920633.1_00114	Chlor_AMIV_KF938901.1_00066
OG0000154	Chlor_IIV22_HF920633.1_00036	Chlor_AMIV_KF938901.1_00106
OG0000155	Chlor_IIV22_HF920633.1_00088	Chlor_AMIV_KF938901.1_00112
OG0000156	Chlor_IIV22_HF920633.1_00106	Chlor_AMIV_KF938901.1_00118
OG0000164	Chlor_IIV22_HF920633.1_00031	Chlor_AMIV_KF938901.1_00105
OG0000164	Chlor_IIV22_HF920633.1_00161	Chlor_AMIV_KF938901.1_00006
OG0000165	Chlor_IIV22_HF920633.1_00034	Chlor_AMIV_KF938901.1_00009
OG0000166	Chlor_IIV22_HF920633.1_00171	Chlor_AMIV_KF938901.1_00017
OG0000167	Chlor_IIV22_HF920633.1_00039	Chlor_AMIV_KF938901.1_00075
OG0000168	Chlor_IIV22_HF920633.1_00144	Chlor_AMIV_KF938901.1_00101
OG0000169	Chlor_IIV22_HF920633.1_00134	Chlor_AMIV_KF938901.1_00102
OG0000170	Chlor_IIV22_HF920633.1_00082	Chlor_AMIV_KF938901.1_00103
OG0000171	Chlor_IIV22_HF920633.1_00105	Chlor_AMIV_KF938901.1_00117
OG0000172	Chlor_IIV22_HF920633.1_00177	Chlor_AMIV_KF938901.1_00121
OG0000173	Chlor_IIV22_HF920633.1_00169	Chlor_AMIV_KF938901.1_00128
OG0000174	Chlor_IIV22_HF920633.1_00046	Chlor_AMIV_KF938901.1_00150
OG0000184	Chlor_IIV22_HF920633.1_00029	Chlor_AMIV_KF938901.1_00008
OG0000185	Chlor_IIV22_HF920633.1_00035	Chlor_AMIV_KF938901.1_00010
OG0000186	Chlor_IIV22_HF920633.1_00165	Chlor_AMIV_KF938901.1_00014
OG0000187	Chlor_IIV22_HF920633.1_00131	Chlor_AMIV_KF938901.1_00063
OG0000188	Chlor_IIV22_HF920633.1_00056	Chlor_AMIV_KF938901.1_00070
OG0000189	Chlor_IIV22_HF920633.1_00032	Chlor_AMIV_KF938901.1_00073
OG0000190	Chlor_IIV22_HF920633.1_00050	Chlor_AMIV_KF938901.1_00077
OG0000191	Chlor_IIV22_HF920633.1_00098	Chlor_AMIV_KF938901.1_00079
OG0000192	Chlor_IIV22_HF920633.1_00020, Chlor_IIV22_HF920633.1_00021	Chlor_AMIV_KF938901.1_00099
OG0000193	Chlor_IIV22_HF920633.1_00103	Chlor_AMIV_KF938901.1_00100
OG0000194	Chlor_IIV22_HF920633.1_00121	Chlor_AMIV_KF938901.1_00113
OG0000195	Chlor_IIV22_HF920633.1_00128	Chlor_AMIV_KF938901.1_00116
OG0000196	Chlor_IIV22_HF920633.1_00110	Chlor_AMIV_KF938901.1_00133
OG0000197	Chlor_IIV22_HF920633.1_00120	Chlor_AMIV_KF938901.1_00134
OG0000198	Chlor_IIV22_HF920633.1_00139	Chlor_AMIV_KF938901.1_00137
OG0000199	Chlor_IIV22_HF920633.1_00146	Chlor_AMIV_KF938901.1_00139
OG0000200	Chlor_IIV22_HF920633.1_00149	Chlor_AMIV_KF938901.1_00141
OG0000201	Chlor_IIV22_HF920633.1_00123	Chlor_AMIV_KF938901.1_00146
OG0000202	Chlor_IIV22_HF920633.1_00125	Chlor_AMIV_KF938901.1_00148
OG0000203	Chlor_IIV22_HF920633.1_00022	Chlor_AMIV_KF938901.1_00152
OG0000214	Chlor_IIV22_HF920633.1_00018	Chlor_AMIV_KF938901.1_00029
OG0000215	Chlor_IIV22_HF920633.1_00013	Chlor_AMIV_KF938901.1_00035
OG0000216	Chlor_IIV22_HF920633.1_00074	Chlor_AMIV_KF938901.1_00045
OG0000217	Chlor_IIV22_HF920633.1_00063	Chlor_AMIV_KF938901.1_00057
OG0000218	Chlor_IIV22_HF920633.1_00113	Chlor_AMIV_KF938901.1_00062
OG0000219	Chlor_IIV22_HF920633.1_00160	Chlor_AMIV_KF938901.1_00082
OG0000220	Chlor_IIV22_HF920633.1_00087	Chlor_AMIV_KF938901.1_00090
OG0000221	Chlor_IIV22_HF920633.1_00023	Chlor_AMIV_KF938901.1_00098
OG0000222	Chlor_IIV22_HF920633.1_00037	Chlor_AMIV_KF938901.1_00107
OG0000223	Chlor_IIV22_HF920633.1_00061	Chlor_AMIV_KF938901.1_00109
OG0000224	Chlor_IIV22_HF920633.1_00008	Chlor_AMIV_KF938901.1_00130
OG0000225	Chlor_IIV22_HF920633.1_00102	Chlor_AMIV_KF938901.1_00136
OG0000226	Chlor_IIV22_HF920633.1_00155	Chlor_AMIV_KF938901.1_00154
OG0000227	Chlor_IIV22_HF920633.1_00041	Chlor_AMIV_KF938901.1_00155
OG0000281	Chlor_IIV22_HF920633.1_00164	Chlor_AMIV_KF938901.1_00013
OG0000284	Chlor_IIV22_HF920633.1_00070	Chlor_AMIV_KF938901.1_00018
OG0000285	Chlor_IIV22_HF920633.1_00012	Chlor_AMIV_KF938901.1_00032, Chlor_AMIV_KF938901.1_00034
OG0000286	Chlor_IIV22_HF920633.1_00016	Chlor_AMIV_KF938901.1_00038
OG0000287	Chlor_IIV22_HF920633.1_00167	Chlor_AMIV_KF938901.1_00040
OG0000288	Chlor_IIV22_HF920633.1_00060	Chlor_AMIV_KF938901.1_00050
OG0000289	Chlor_IIV22_HF920633.1_00159	Chlor_AMIV_KF938901.1_00083
OG0000310	Chlor_IIV22_HF920633.1_00095	Chlor_AMIV_KF938901.1_00002
OG0000311	Chlor_IIV22_HF920633.1_00151	Chlor_AMIV_KF938901.1_00003
OG0000312	Chlor_IIV22_HF920633.1_00049	Chlor_AMIV_KF938901.1_00004
OG0000313	Chlor_IIV22_HF920633.1_00052	Chlor_AMIV_KF938901.1_00011
OG0000314	Chlor_IIV22_HF920633.1_00005	Chlor_AMIV_KF938901.1_00026
OG0000315	Chlor_IIV22_HF920633.1_00006	Chlor_AMIV_KF938901.1_00028
OG0000316	Chlor_IIV22_HF920633.1_00015	Chlor_AMIV_KF938901.1_00037
OG0000317	Chlor_IIV22_HF920633.1_00045	Chlor_AMIV_KF938901.1_00041
OG0000318	Chlor_IIV22_HF920633.1_00078	Chlor_AMIV_KF938901.1_00042
OG0000319	Chlor_IIV22_HF920633.1_00090	Chlor_AMIV_KF938901.1_00051
OG0000320	Chlor_IIV22_HF920633.1_00066	Chlor_AMIV_KF938901.1_00059
OG0000321	Chlor_IIV22_HF920633.1_00141	Chlor_AMIV_KF938901.1_00061
OG0000322	Chlor_IIV22_HF920633.1_00048	Chlor_AMIV_KF938901.1_00068
OG0000323	Chlor_IIV22_HF920633.1_00142	Chlor_AMIV_KF938901.1_00071
OG0000324	Chlor_IIV22_HF920633.1_00051	Chlor_AMIV_KF938901.1_00078
OG0000325	Chlor_IIV22_HF920633.1_00136	Chlor_AMIV_KF938901.1_00087
OG0000326	Chlor_IIV22_HF920633.1_00162	Chlor_AMIV_KF938901.1_00088
OG0000327	Chlor_IIV22_HF920633.1_00089	Chlor_AMIV_KF938901.1_00096
OG0000328	Chlor_IIV22_HF920633.1_00042	Chlor_AMIV_KF938901.1_00110
OG0000329	Chlor_IIV22_HF920633.1_00157	Chlor_AMIV_KF938901.1_00129
OG0000330	Chlor_IIV22_HF920633.1_00111	Chlor_AMIV_KF938901.1_00132
OG0000331	Chlor_IIV22_HF920633.1_00115	Chlor_AMIV_KF938901.1_00144
OG0000332	Chlor_IIV22_HF920633.1_00033	Chlor_AMIV_KF938901.1_00149
