Orthogroup	ON075463.1	MT986830.1
OG0000000	ON075463.1_00029	MT986830.1_00033
OG0000001	ON075463.1_00007	MT986830.1_00007
OG0000002	ON075463.1_00074	MT986830.1_00081
OG0000003	ON075463.1_00008	MT986830.1_00008
OG0000004	ON075463.1_00014	MT986830.1_00015
OG0000005	ON075463.1_00028	MT986830.1_00032
OG0000006	ON075463.1_00073	MT986830.1_00080
OG0000007	ON075463.1_00087	MT986830.1_00094
OG0000008	ON075463.1_00109	MT986830.1_00116
OG0000009	ON075463.1_00111	MT986830.1_00117
OG0000010	ON075463.1_00005	MT986830.1_00005
OG0000011	ON075463.1_00021	MT986830.1_00022
OG0000012	ON075463.1_00030	MT986830.1_00034
OG0000013	ON075463.1_00032	MT986830.1_00036
OG0000014	ON075463.1_00034	MT986830.1_00038
OG0000015	ON075463.1_00055	MT986830.1_00059
OG0000016	ON075463.1_00061	MT986830.1_00065
OG0000017	ON075463.1_00083	MT986830.1_00090
OG0000018	ON075463.1_00084	MT986830.1_00091
OG0000019	ON075463.1_00104	MT986830.1_00111
OG0000020	ON075463.1_00118	MT986830.1_00125
OG0000021	ON075463.1_00119	MT986830.1_00126
OG0000022	ON075463.1_00043	MT986830.1_00046
OG0000023	ON075463.1_00092	MT986830.1_00100
OG0000024	ON075463.1_00107	MT986830.1_00114
OG0000025	ON075463.1_00062	MT986830.1_00066
OG0000026	ON075463.1_00085	MT986830.1_00092
OG0000027	ON075463.1_00046	MT986830.1_00049
OG0000028	ON075463.1_00006	MT986830.1_00006
OG0000029	ON075463.1_00059	MT986830.1_00063
OG0000030	ON075463.1_00001	MT986830.1_00001
OG0000031	ON075463.1_00078	MT986830.1_00085
OG0000032	ON075463.1_00086	MT986830.1_00093
OG0000033	ON075463.1_00120	MT986830.1_00127
OG0000034	ON075463.1_00012	MT986830.1_00013
OG0000035	ON075463.1_00013	MT986830.1_00014
OG0000036	ON075463.1_00018	MT986830.1_00019
OG0000037	ON075463.1_00019	MT986830.1_00020
OG0000038	ON075463.1_00022	MT986830.1_00023
OG0000039	ON075463.1_00023	MT986830.1_00024
OG0000040	ON075463.1_00031	MT986830.1_00035
OG0000041	ON075463.1_00035	MT986830.1_00039
OG0000042	ON075463.1_00047	MT986830.1_00051
OG0000043	ON075463.1_00048	MT986830.1_00052
OG0000044	ON075463.1_00053	MT986830.1_00057
OG0000045	ON075463.1_00054	MT986830.1_00058
OG0000046	ON075463.1_00056	MT986830.1_00060
OG0000047	ON075463.1_00057	MT986830.1_00061
OG0000048	ON075463.1_00058	MT986830.1_00062
OG0000049	ON075463.1_00075	MT986830.1_00082
OG0000050	ON075463.1_00079	MT986830.1_00086
OG0000051	ON075463.1_00080	MT986830.1_00087
OG0000052	ON075463.1_00091	MT986830.1_00099
OG0000053	ON075463.1_00093	MT986830.1_00101
OG0000054	ON075463.1_00096	MT986830.1_00104
OG0000055	ON075463.1_00108	MT986830.1_00115
OG0000056	ON075463.1_00113	MT986830.1_00119
OG0000057	ON075463.1_00115	MT986830.1_00121
OG0000058	ON075463.1_00002	MT986830.1_00002
OG0000059	ON075463.1_00010	MT986830.1_00010
OG0000060	ON075463.1_00017	MT986830.1_00018
OG0000061	ON075463.1_00088	MT986830.1_00095
OG0000062	ON075463.1_00025	MT986830.1_00029
OG0000063	ON075463.1_00070	MT986830.1_00075
OG0000064	ON075463.1_00016	MT986830.1_00017
OG0000065	ON075463.1_00037	MT986830.1_00041
OG0000066	ON075463.1_00041	MT986830.1_00044
OG0000067	ON075463.1_00045	MT986830.1_00048
OG0000068	ON075463.1_00065	MT986830.1_00069
OG0000069	ON075463.1_00095	MT986830.1_00103
OG0000070	ON075463.1_00097	MT986830.1_00105
OG0000071	ON075463.1_00112	MT986830.1_00118
OG0000072	ON075463.1_00009	MT986830.1_00009
OG0000073	ON075463.1_00011	MT986830.1_00012
OG0000074	ON075463.1_00015	MT986830.1_00016
OG0000075	ON075463.1_00033	MT986830.1_00037
OG0000076	ON075463.1_00036	MT986830.1_00040
OG0000077	ON075463.1_00039	MT986830.1_00042
OG0000078	ON075463.1_00040	MT986830.1_00043
OG0000079	ON075463.1_00044	MT986830.1_00047
OG0000080	ON075463.1_00049	MT986830.1_00053
OG0000081	ON075463.1_00050	MT986830.1_00054
OG0000082	ON075463.1_00051	MT986830.1_00055
OG0000083	ON075463.1_00060	MT986830.1_00064
OG0000084	ON075463.1_00063	MT986830.1_00067
OG0000085	ON075463.1_00066	MT986830.1_00071
OG0000086	ON075463.1_00067	MT986830.1_00072
OG0000087	ON075463.1_00071	MT986830.1_00077
OG0000088	ON075463.1_00072	MT986830.1_00078
OG0000089	ON075463.1_00081	MT986830.1_00088
OG0000090	ON075463.1_00082	MT986830.1_00089
OG0000091	ON075463.1_00094	MT986830.1_00102
OG0000092	ON075463.1_00098	MT986830.1_00106
OG0000093	ON075463.1_00102	MT986830.1_00109
OG0000094	ON075463.1_00105	MT986830.1_00112
OG0000095	ON075463.1_00106	MT986830.1_00113
OG0000097	ON075463.1_00003	MT986830.1_00003
OG0000098	ON075463.1_00004	MT986830.1_00004
OG0000100	ON075463.1_00042	MT986830.1_00045
OG0000101	ON075463.1_00068	MT986830.1_00073
OG0000102	ON075463.1_00076	MT986830.1_00083
OG0000103	ON075463.1_00099	MT986830.1_00107
OG0000104	ON075463.1_00103	MT986830.1_00110
OG0000105	ON075463.1_00114	MT986830.1_00120
OG0000106	ON075463.1_00027	MT986830.1_00031
OG0000107	ON075463.1_00100	MT986830.1_00108
OG0000108	ON075463.1_00117	MT986830.1_00124
OG0000109	ON075463.1_00069	MT986830.1_00074
OG0000110	ON075463.1_00116	MT986830.1_00122
OG0000111	ON075463.1_00090	MT986830.1_00098
OG0000112	ON075463.1_00077	MT986830.1_00084
OG0000115	ON075463.1_00052	MT986830.1_00056
OG0000116	ON075463.1_00064	MT986830.1_00068
OG0000131	ON075463.1_00089	MT986830.1_00096
