Orthogroup	MN562489.1	LS484712.1
OG0000000	MN562489.1_00102	LS484712.1_00114
OG0000001	MN562489.1_00081	LS484712.1_00095
OG0000002	MN562489.1_00080	LS484712.1_00142
OG0000003	MN562489.1_00087	LS484712.1_00187
OG0000005	MN562489.1_00056	LS484712.1_00256
OG0000006	MN562489.1_00116	LS484712.1_00040
OG0000007	MN562489.1_00052	LS484712.1_00234, LS484712.1_00050
OG0000008	MN562489.1_00099	LS484712.1_00248
OG0000009	MN562489.1_00059	LS484712.1_00130
OG0000011	MN562489.1_00128	LS484712.1_00203
OG0000012	MN562489.1_00096	LS484712.1_00200
OG0000013	MN562489.1_00038	LS484712.1_00143
OG0000014	MN562489.1_00058	LS484712.1_00202
OG0000015	MN562489.1_00133	LS484712.1_00135
OG0000016	MN562489.1_00047	LS484712.1_00048
OG0000017	MN562489.1_00011	LS484712.1_00240
OG0000018	MN562489.1_00063	LS484712.1_00053
OG0000019	MN562489.1_00046	LS484712.1_00192
OG0000020	MN562489.1_00012	LS484712.1_00188
OG0000021	MN562489.1_00124	LS484712.1_00096
OG0000022	MN562489.1_00008	LS484712.1_00194
OG0000023	MN562489.1_00023	LS484712.1_00117
OG0000024	MN562489.1_00073	LS484712.1_00149
OG0000211	MN562489.1_00120	LS484712.1_00024
