Orthogroup	AY894343.1	HF920633.1
OG0000000	AY894343.1_00029	HF920633.1_00044
OG0000001	AY894343.1_00008	HF920633.1_00069
OG0000002	AY894343.1_00007	HF920633.1_00073
OG0000003	AY894343.1_00015	HF920633.1_00127
OG0000004	AY894343.1_00113	HF920633.1_00079
OG0000005	AY894343.1_00096	HF920633.1_00085
OG0000006	AY894343.1_00076	HF920633.1_00025
OG0000007	AY894343.1_00090	HF920633.1_00091
OG0000008	AY894343.1_00028	HF920633.1_00043
OG0000009	AY894343.1_00115	HF920633.1_00122
OG0000011	AY894343.1_00063	HF920633.1_00118
OG0000012	AY894343.1_00021	HF920633.1_00001
OG0000013	AY894343.1_00056	HF920633.1_00067
OG0000014	AY894343.1_00123	HF920633.1_00138
OG0000015	AY894343.1_00124	HF920633.1_00058
OG0000016	AY894343.1_00087	HF920633.1_00094
OG0000017	AY894343.1_00032	HF920633.1_00158
OG0000018	AY894343.1_00108	HF920633.1_00003
OG0000019	AY894343.1_00086	HF920633.1_00163
OG0000020	AY894343.1_00030	HF920633.1_00080
OG0000021	AY894343.1_00005	HF920633.1_00097
OG0000022	AY894343.1_00034	HF920633.1_00175
OG0000023	AY894343.1_00043	HF920633.1_00017
OG0000024	AY894343.1_00025	HF920633.1_00062
OG0000025	AY894343.1_00064	HF920633.1_00047
