Orthogroup	MG570131.1	LS484712.1
OG0000000	MG570131.1_00031	LS484712.1_00114
OG0000001	MG570131.1_00009	LS484712.1_00095
OG0000002	MG570131.1_00008, MG570131.1_00007	LS484712.1_00142
OG0000003	MG570131.1_00016	LS484712.1_00187
OG0000005	MG570131.1_00092	LS484712.1_00256
OG0000006	MG570131.1_00073	LS484712.1_00040
OG0000007	MG570131.1_00087	LS484712.1_00234, LS484712.1_00050
OG0000008	MG570131.1_00030	LS484712.1_00248
OG0000009	MG570131.1_00110	LS484712.1_00130
OG0000011	MG570131.1_00063	LS484712.1_00203
OG0000012	MG570131.1_00023	LS484712.1_00200
OG0000013	MG570131.1_00057	LS484712.1_00143
OG0000014	MG570131.1_00118	LS484712.1_00202
OG0000015	MG570131.1_00119	LS484712.1_00135
OG0000016	MG570131.1_00084	LS484712.1_00048
OG0000017	MG570131.1_00034	LS484712.1_00240
OG0000018	MG570131.1_00103	LS484712.1_00053
OG0000019	MG570131.1_00083	LS484712.1_00192
OG0000020	MG570131.1_00032	LS484712.1_00188
OG0000021	MG570131.1_00005	LS484712.1_00096
OG0000022	MG570131.1_00036	LS484712.1_00194
OG0000023	MG570131.1_00045	LS484712.1_00117
OG0000024	MG570131.1_00027	LS484712.1_00149
OG0000068	MG570131.1_00066	LS484712.1_00002
