Orthogroup	L63545.1	OK042109.1
OG0000000	L63545.1_00007	OK042109.1_00047
OG0000001	L63545.1_00035	OK042109.1_00068
OG0000002	L63545.1_00079	OK042109.1_00069
OG0000003	L63545.1_00076	OK042109.1_00061
OG0000004	L63545.1_00001	OK042109.1_00088
OG0000005	L63545.1_00056	OK042109.1_00105
OG0000006	L63545.1_00093	OK042109.1_00001
OG0000007	L63545.1_00090	OK042109.1_00110
OG0000008	L63545.1_00108	OK042109.1_00048
OG0000009	L63545.1_00024	OK042109.1_00086
OG0000011	L63545.1_00069	OK042109.1_00013
OG0000012	L63545.1_00071	OK042109.1_00054
OG0000013	L63545.1_00004	OK042109.1_00020
OG0000014	L63545.1_00030	OK042109.1_00078
OG0000015	L63545.1_00110	OK042109.1_00077
OG0000016	L63545.1_00073	OK042109.1_00113
OG0000017	L63545.1_00072	OK042109.1_00044
OG0000018	L63545.1_00068	OK042109.1_00093
OG0000019	L63545.1_00009	OK042109.1_00114
OG0000020	L63545.1_00098	OK042109.1_00046
OG0000021	L63545.1_00043	OK042109.1_00071
OG0000022	L63545.1_00013	OK042109.1_00042
OG0000023	L63545.1_00054	OK042109.1_00033
OG0000024	L63545.1_00015	OK042109.1_00051
OG0000026	L63545.1_00002	OK042109.1_00090
OG0000027	L63545.1_00058	OK042109.1_00112
OG0000028	L63545.1_00003	OK042109.1_00030
