Orthogroup	NC_005946	MN803438
OG0000000	NC_005946.1_00010 hypothetical protein	MN803438.1_00124 hypothetical protein
OG0000001	NC_005946.1_00053 hypothetical protein	MN803438.1_00101 hypothetical protein
OG0000002	NC_005946.1_00057 hypothetical protein	MN803438.1_00113 hypothetical protein
OG0000003	NC_005946.1_00095 hypothetical protein	MN803438.1_00106 hypothetical protein
OG0000004	NC_005946.1_00092 hypothetical protein	MN803438.1_00109 hypothetical protein
OG0000005	NC_005946.1_00038 hypothetical protein	MN803438.1_00089 hypothetical protein
OG0000006	NC_005946.1_00091 Major capsid protein	MN803438.1_00023 Major capsid protein
OG0000007	NC_005946.1_00060 hypothetical protein	MN803438.1_00128 hypothetical protein
OG0000008	NC_005946.1_00083 hypothetical protein	MN803438.1_00068 hypothetical protein
OG0000009	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	MN803438.1_00013 hypothetical protein
OG0000010	NC_005946.1_00022 hypothetical protein	MN803438.1_00007 hypothetical protein
OG0000011	NC_005946.1_00011 hypothetical protein	MN803438.1_00049 hypothetical protein
OG0000012	NC_005946.1_00094 hypothetical protein	MN803438.1_00097 hypothetical protein
OG0000013	NC_005946.1_00002 hypothetical protein	MN803438.1_00027 hypothetical protein
OG0000014	NC_005946.1_00023 hypothetical protein	MN803438.1_00051 hypothetical protein
OG0000015	NC_005946.1_00016 hypothetical protein	MN803438.1_00070 hypothetical protein
OG0000016	NC_005946.1_00021 hypothetical protein	MN803438.1_00046 hypothetical protein
OG0000017	NC_005946.1_00067 hypothetical protein	MN803438.1_00024 hypothetical protein
OG0000018	NC_005946.1_00087 hypothetical protein	MN803438.1_00035 hypothetical protein
OG0000019	NC_005946.1_00042 hypothetical protein	MN803438.1_00142 hypothetical protein
OG0000020	NC_005946.1_00082 hypothetical protein	MN803438.1_00122 hypothetical protein
OG0000021	NC_005946.1_00014 hypothetical protein	MN803438.1_00071 hypothetical protein
OG0000022	NC_005946.1_00028 hypothetical protein	MN803438.1_00104 hypothetical protein
OG0000024	NC_005946.1_00089 hypothetical protein	MN803438.1_00077 hypothetical protein
OG0000026	NC_005946.1_00049 hypothetical protein	MN803438.1_00037 hypothetical protein
OG0000027	NC_005946.1_00086 hypothetical protein	MN803438.1_00126 hypothetical protein
OG0000028	NC_005946.1_00085 hypothetical protein	MN803438.1_00054 hypothetical protein
OG0000125	NC_005946.1_00020 hypothetical protein	MN803438.1_00112 hypothetical protein, MN803438.1_00021 hypothetical protein, MN803438.1_00120 hypothetical protein, MN803438.1_00012 hypothetical protein
OG0000132	NC_005946.1_00001 hypothetical protein	MN803438.1_00115 hypothetical protein
OG0000135	NC_005946.1_00039 Ribonucleoside-diphosphate reductase large subunit	MN803438.1_00105 Ribonucleoside-diphosphate reductase large subunit
OG0000149	NC_005946.1_00052 hypothetical protein	MN803438.1_00010 hypothetical protein
OG0000151	NC_005946.1_00044 hypothetical protein	MN803438.1_00003 hypothetical protein
OG0000154	NC_005946.1_00075 hypothetical protein	MN803438.1_00078 hypothetical protein
OG0000173	NC_005946.1_00026 hypothetical protein	MN803438.1_00028 hypothetical protein
OG0000174	NC_005946.1_00033 hypothetical protein	MN803438.1_00030 hypothetical protein
OG0000175	NC_005946.1_00029 hypothetical protein	MN803438.1_00092 hypothetical protein
OG0000199	NC_005946.1_00062 hypothetical protein	MN803438.1_00044 hypothetical protein
OG0000224	NC_005946.1_00051 hypothetical protein	MN803438.1_00110 hypothetical protein
OG0000226	NC_005946.1_00088 hypothetical protein	MN803438.1_00008 hypothetical protein
OG0000227	NC_005946.1_00096 hypothetical protein	MN803438.1_00026 hypothetical protein
OG0000228	NC_005946.1_00015 hypothetical protein	MN803438.1_00136 hypothetical protein
OG0000229	NC_005946.1_00073 hypothetical protein	MN803438.1_00099 hypothetical protein
