Orthogroup	Chlor_IIV22_HF920633.1	MCV_MP1_RSIV_MT798582.1
OG0000000	Chlor_IIV22_HF920633.1_00044	MCV_MP1_RSIV_MT798582.1_00076
OG0000001	Chlor_IIV22_HF920633.1_00073	MCV_MP1_RSIV_MT798582.1_00019
OG0000002	Chlor_IIV22_HF920633.1_00069	MCV_MP1_RSIV_MT798582.1_00018
OG0000003	Chlor_IIV22_HF920633.1_00127	MCV_MP1_RSIV_MT798582.1_00012
OG0000004	Chlor_IIV22_HF920633.1_00079	MCV_MP1_RSIV_MT798582.1_00037
OG0000005	Chlor_IIV22_HF920633.1_00091	MCV_MP1_RSIV_MT798582.1_00116
OG0000006	Chlor_IIV22_HF920633.1_00043	MCV_MP1_RSIV_MT798582.1_00077
OG0000007	Chlor_IIV22_HF920633.1_00025	MCV_MP1_RSIV_MT798582.1_00088
OG0000008	Chlor_IIV22_HF920633.1_00122	MCV_MP1_RSIV_MT798582.1_00036
OG0000009	Chlor_IIV22_HF920633.1_00085	MCV_MP1_RSIV_MT798582.1_00111
OG0000011	Chlor_IIV22_HF920633.1_00163	MCV_MP1_RSIV_MT798582.1_00120
OG0000012	Chlor_IIV22_HF920633.1_00175	MCV_MP1_RSIV_MT798582.1_00071
OG0000013	Chlor_IIV22_HF920633.1_00003	MCV_MP1_RSIV_MT798582.1_00042
OG0000014	Chlor_IIV22_HF920633.1_00094	MCV_MP1_RSIV_MT798582.1_00119
OG0000015	Chlor_IIV22_HF920633.1_00080	MCV_MP1_RSIV_MT798582.1_00075
OG0000016	Chlor_IIV22_HF920633.1_00001	MCV_MP1_RSIV_MT798582.1_00004
OG0000017	Chlor_IIV22_HF920633.1_00067	MCV_MP1_RSIV_MT798582.1_00049
OG0000018	Chlor_IIV22_HF920633.1_00138	MCV_MP1_RSIV_MT798582.1_00028
OG0000019	Chlor_IIV22_HF920633.1_00118	MCV_MP1_RSIV_MT798582.1_00100
OG0000020	Chlor_IIV22_HF920633.1_00058	MCV_MP1_RSIV_MT798582.1_00027
OG0000021	Chlor_IIV22_HF920633.1_00158	MCV_MP1_RSIV_MT798582.1_00073
OG0000022	Chlor_IIV22_HF920633.1_00097	MCV_MP1_RSIV_MT798582.1_00021
OG0000023	Chlor_IIV22_HF920633.1_00017	MCV_MP1_RSIV_MT798582.1_00062
OG0000024	Chlor_IIV22_HF920633.1_00062	MCV_MP1_RSIV_MT798582.1_00080
OG0000025	Chlor_IIV22_HF920633.1_00047	MCV_MP1_RSIV_MT798582.1_00099
