Orthogroup	AF303741	HF920637
OG0000000	AF303741.1_00079 DNA_polymerase_1	HF920637.1_00129_DNA_polymerase_1 HF920637.1 - DNA_polymerase_1
OG0000000	AF303741.1_00152 DNA_polymerase_2	HF920637.1_00164_DNA_polymerase_2 HF920637.1 - DNA_polymerase_2
OG0000001	AF303741.1_00047 hypothetical protein	HF920637.1_00059 HF920637.1 - hypothetical protein translation
OG0000002	AF303741.1_00035 hypothetical protein	HF920637.1_00159 HF920637.1 - hypothetical protein translation
OG0000003	AF303741.1_00165 hypothetical protein	HF920637.1 00176 HF920637.1 - hypothetical protein translation, HF920637.1_00175 HF920637.1 - hypothetical protein translation
OG0000004	AF303741.1_00158 hypothetical protein	HF920637.1_00041 HF920637.1 - hypothetical protein translation
OG0000005	AF303741.1_00125 Major capsid protein	HF920637.1_00143 HF920637.1 - Major capsid protein translation
OG0000006	AF303741.1_00011 hypothetical protein	HF920637.1_00001 HF920637.1 - hypothetical protein translation
OG0000007	AF303741.1_00156 hypothetical protein	HF920637.1_00031 HF920637.1 - hypothetical protein translation
OG0000008	AF303741.1_00063 hypothetical protein	HF920637.1_00073 HF920637.1 - hypothetical protein translation
OG0000009	AF303741.1_00189 DNA-directed RNA polymerase subunit 2	HF920637.1_00213 HF920637.1 - DNA-directed RNA polymerase subunit 2 translation
OG0000010	AF303741.1_00023 hypothetical protein	HF920637.1_00017 HF920637.1 - hypothetical protein translation
OG0000011	AF303741.1_00006 hypothetical protein	HF920637.1_00217 HF920637.1 - hypothetical protein translation
OG0000012	AF303741.1_00137 hypothetical protein	HF920637.1_00197 HF920637.1 - hypothetical protein translation
OG0000013	AF303741.1_00149 hypothetical protein	HF920637.1_00172 HF920637.1 - hypothetical protein translation
OG0000014	AF303741.1_00081 hypothetical protein	HF920637.1_00111 HF920637.1 - hypothetical protein translation
OG0000015	AF303741.1_00026 hypothetical protein	HF920637.1_00108 HF920637.1 - hypothetical protein translation
OG0000016	AF303741.1_00046 hypothetical protein	HF920637.1_00152 HF920637.1 - hypothetical protein translation
OG0000017	AF303741.1_00168 Ribonucleoside-diphosphate reductase small chain	HF920637.1_00061 HF920637.1 - Ribonucleoside-diphosphate reductase small chain translation
OG0000018	AF303741.1_00132 hypothetical protein	HF920637.1_00121 HF920637.1 - hypothetical protein translation
OG0000019	AF303741.1_00062 hypothetical protein	HF920637.1_00079 HF920637.1 - hypothetical protein translation
OG0000020	AF303741.1_00129 hypothetical protein	HF920637.1_00221 HF920637.1 - hypothetical protein translation
OG0000021	AF303741.1_00080 hypothetical protein	HF920637.1_00025 HF920637.1 - hypothetical protein translation
OG0000022	AF303741.1_00154 FAD-linked sulfhydryl oxidase	HF920637.1_00033 HF920637.1 - FAD-linked sulfhydryl oxidase translation
OG0000023	AF303741.1_00176 hypothetical protein	HF920637.1_00153 HF920637.1 - hypothetical protein translation
OG0000024	AF303741.1_00051 Dual specificity protein phosphatase H1	HF920637.1_00156 HF920637.1 - hypothetical protein translation
OG0000121	AF303741.1_00173 hypothetical protein	HF920637.1_00158 HF920637.1 - hypothetical protein translation, HF920637.1_00208 HF920637.1 - hypothetical protein translation, HF920637.1_00130 HF920637.1 - hypothetical protein translation
OG0000121	AF303741.1_00095 hypothetical protein	HF920637.1_00102 HF920637.1 - hypothetical protein translation
OG0000121	AF303741.1_00066 hypothetical protein, AF303741.1_00007 hypothetical protein	HF920637.1_00206 HF920637.1 - hypothetical protein translation, HF920637.1_00184 HF920637.1 - hypothetical protein translation, HF920637.1_00034 HF920637.1 - hypothetical protein translation
OG0000121	AF303741.1_00094 hypothetical protein, AF303741.1_00109 hypothetical protein	HF920637.1_00096 HF920637.1 - hypothetical protein translation
OG0000126	AF303741.1_00170 hypothetical protein	HF920637.1_00138 HF920637.1 - hypothetical protein translation
OG0000127	AF303741.1_00178 hypothetical protein	HF920637.1_00198 HF920637.1 - hypothetical protein translation
OG0000127	AF303741.1_00121 hypothetical protein	HF920637.1_00147 HF920637.1 - hypothetical protein translation, HF920637.1_00218 HF920637.1 - hypothetical protein translation
OG0000127	AF303741.1_00195 hypothetical protein	HF920637.1_00029 HF920637.1 - hypothetical protein translation
OG0000131	AF303741.1_00130 hypothetical protein	HF920637.1_00057 HF920637.1 - hypothetical protein translation
OG0000131	AF303741.1_00089 hypothetical protein	HF920637.1_00216 HF920637.1 - hypothetical protein translation
OG0000132	AF303741.1_00126 hypothetical protein	HF920637.1_00219 HF920637.1 - hypothetical protein translation
OG0000134	AF303741.1_00031 hypothetical protein	HF920637.1_00105 HF920637.1 - Ribonucleoside-diphosphate reductase large subunit translation
OG0000135	AF303741.1_00100 hypothetical protein, AF303741.1_00162 hypothetical protein	HF920637.1_00181 HF920637.1 - hypothetical protein translation
OG0000136	AF303741.1_00101 Thymidylate synthase	HF920637.1_00123 HF920637.1 - Thymidylate synthase translation
