Orthogroup	NC_005946	MT521409
OG0000000	NC_005946.1_00010 hypothetical protein	OM037668.1_00035 hypothetical protein
OG0000001	NC_005946.1_00053 hypothetical protein	OM037668.1_00056 hypothetical protein
OG0000002	NC_005946.1_00057 hypothetical protein	OM037668.1_00050 hypothetical protein
OG0000003	NC_005946.1_00095 hypothetical protein	SDDV_ORF038 Flap endonuclease
OG0000004	NC_005946.1_00092 hypothetical protein	OM037668.1_00077 hypothetical protein
OG0000005	NC_005946.1_00038 hypothetical protein	OM037668.1_00013 hypothetical protein
OG0000006	NC_005946.1_00091 Major capsid protein	OM037668.1_00057 Major capsid protein
OG0000007	NC_005946.1_00060 hypothetical protein	OM037668.1_00041 hypothetical protein
OG0000008	NC_005946.1_00083 hypothetical protein	OM037668.1_00123 hypothetical protein
OG0000009	FV3gorf62L DNA-dependent RNA polymerase II second largest subunit domain beta subunit	OM037668.1_00127 DNA-directed RNA polymerase subunit 2
OG0000010	NC_005946.1_00022 hypothetical protein	OM037668.1_00098 hypothetical protein
OG0000011	NC_005946.1_00011 hypothetical protein	OM037668.1_00009 hypothetical protein
OG0000012	NC_005946.1_00094 hypothetical protein	OM037668.1_00090 hypothetical protein
OG0000013	NC_005946.1_00002 hypothetical protein	OM037668.1_00084 hypothetical protein
OG0000014	NC_005946.1_00023 hypothetical protein	OM037668.1_00073 hypothetical protein
OG0000015	NC_005946.1_00016 hypothetical protein	OM037668.1_00078 hypothetical protein
OG0000016	NC_005946.1_00021 hypothetical protein	OM037668.1_00004 hypothetical protein
OG0000017	NC_005946.1_00067 hypothetical protein	OM037668.1_00064 Ribonucleoside-diphosphate reductase small chain
OG0000018	NC_005946.1_00087 hypothetical protein	OM037668.1_00124 hypothetical protein
OG0000019	NC_005946.1_00042 hypothetical protein	OM037668.1_00021 hypothetical protein
OG0000020	NC_005946.1_00082 hypothetical protein	OM037668.1_00089 hypothetical protein
OG0000021	NC_005946.1_00014 hypothetical protein	OM037668.1_00080 hypothetical protein
OG0000022	NC_005946.1_00028 hypothetical protein	OM037668.1_00076 hypothetical protein
OG0000024	NC_005946.1_00089 hypothetical protein	OM037668.1_00113 hypothetical protein
OG0000026	NC_005946.1_00049 hypothetical protein	OM037668.1_00087 hypothetical protein
OG0000027	NC_005946.1_00086 hypothetical protein	OM037668.1_00074 hypothetical protein
OG0000028	NC_005946.1_00085 hypothetical protein	OM037668.1_00110 hypothetical protein
OG0000149	NC_005946.1_00052 hypothetical protein	OM037668.1_00001 hypothetical protein
OG0000205	NC_005946.1_00007 hypothetical protein	OM037668.1_00063 hypothetical protein
