Orthogroup	LS484712.1	OL774653.1
OG0000000	LS484712.1_00114	OL774653.1_00051
OG0000001	LS484712.1_00142	OL774653.1_00025
OG0000003	LS484712.1_00095	OL774653.1_00026
OG0000004	LS484712.1_00187	OL774653.1_00032
OG0000005	LS484712.1_00248	OL774653.1_00050
OG0000006	LS484712.1_00040	OL774653.1_00094
OG0000007	LS484712.1_00234, LS484712.1_00050	OL774653.1_00108
OG0000009	LS484712.1_00130	OL774653.1_00008
OG0000010	LS484712.1_00096	OL774653.1_00023
OG0000011	LS484712.1_00200	OL774653.1_00039
OG0000012	LS484712.1_00188	OL774653.1_00052
OG0000013	LS484712.1_00240	OL774653.1_00054
OG0000014	LS484712.1_00194	OL774653.1_00056
OG0000015	LS484712.1_00143	OL774653.1_00076
OG0000016	LS484712.1_00203	OL774653.1_00082
OG0000017	LS484712.1_00192	OL774653.1_00104
OG0000018	LS484712.1_00048	OL774653.1_00105
OG0000019	LS484712.1_00053	OL774653.1_00001
OG0000020	LS484712.1_00202	OL774653.1_00016
OG0000021	LS484712.1_00135	OL774653.1_00017
OG0000022	LS484712.1_00117	OL774653.1_00065
OG0000068	LS484712.1_00002	OL774653.1_00086
