Orthogroup	MCV_Unclassified_OQ475017.1	MCV_Unlassified_OL310752.1
OG0000000	MCV_Unclassified_OQ475017.1_00030	MCV_Unlassified_OL310752.1_00113, MCV_Unlassified_OL310752.1_00108
OG0000001	MCV_Unclassified_OQ475017.1_00007	MCV_Unlassified_OL310752.1_00019
OG0000002	MCV_Unclassified_OQ475017.1_00008	MCV_Unlassified_OL310752.1_00018
OG0000003	MCV_Unclassified_OQ475017.1_00015	MCV_Unlassified_OL310752.1_00012
OG0000004	MCV_Unclassified_OQ475017.1_00110	MCV_Unlassified_OL310752.1_00060
OG0000005	MCV_Unclassified_OQ475017.1_00087	MCV_Unlassified_OL310752.1_00042
OG0000006	MCV_Unclassified_OQ475017.1_00029	MCV_Unlassified_OL310752.1_00107
OG0000007	MCV_Unclassified_OQ475017.1_00073	MCV_Unlassified_OL310752.1_00078
OG0000008	MCV_Unclassified_OQ475017.1_00112	MCV_Unlassified_OL310752.1_00116
OG0000009	MCV_Unclassified_OQ475017.1_00093	MCV_Unlassified_OL310752.1_00036
OG0000010	MCV_Unclassified_OQ475017.1_00074	MCV_Unlassified_OL310752.1_00077, MCV_Unlassified_OL310752.1_00120
OG0000011	MCV_Unclassified_OQ475017.1_00083	MCV_Unlassified_OL310752.1_00046
OG0000012	MCV_Unclassified_OQ475017.1_00035	MCV_Unlassified_OL310752.1_00083
OG0000013	MCV_Unclassified_OQ475017.1_00105	MCV_Unlassified_OL310752.1_00065
OG0000014	MCV_Unclassified_OQ475017.1_00084	MCV_Unlassified_OL310752.1_00045
OG0000015	MCV_Unclassified_OQ475017.1_00031	MCV_Unlassified_OL310752.1_00114
OG0000016	MCV_Unclassified_OQ475017.1_00022	MCV_Unlassified_OL310752.1_00004
OG0000017	MCV_Unclassified_OQ475017.1_00056	MCV_Unlassified_OL310752.1_00096
OG0000018	MCV_Unclassified_OQ475017.1_00120	MCV_Unlassified_OL310752.1_00071
OG0000019	MCV_Unclassified_OQ475017.1_00062	MCV_Unlassified_OL310752.1_00027
OG0000020	MCV_Unclassified_OQ475017.1_00121	MCV_Unlassified_OL310752.1_00072
OG0000021	MCV_Unclassified_OQ475017.1_00033	MCV_Unlassified_OL310752.1_00085
OG0000022	MCV_Unclassified_OQ475017.1_00005	MCV_Unlassified_OL310752.1_00021
OG0000023	MCV_Unclassified_OQ475017.1_00044	MCV_Unlassified_OL310752.1_00052
OG0000024	MCV_Unclassified_OQ475017.1_00027	MCV_Unlassified_OL310752.1_00104
OG0000025	MCV_Unclassified_OQ475017.1_00063	MCV_Unlassified_OL310752.1_00028
OG0000026	MCV_Unclassified_OQ475017.1_00108	MCV_Unlassified_OL310752.1_00062
OG0000027	MCV_Unclassified_OQ475017.1_00085	MCV_Unlassified_OL310752.1_00044
OG0000028	MCV_Unclassified_OQ475017.1_00047	MCV_Unlassified_OL310752.1_00087
OG0000029	MCV_Unclassified_OQ475017.1_00060	MCV_Unlassified_OL310752.1_00025
OG0000030	MCV_Unclassified_OQ475017.1_00006	MCV_Unlassified_OL310752.1_00020
OG0000031	MCV_Unclassified_OQ475017.1_00086	MCV_Unlassified_OL310752.1_00043
OG0000032	MCV_Unclassified_OQ475017.1_00001	MCV_Unlassified_OL310752.1_00074
OG0000033	MCV_Unclassified_OQ475017.1_00122	MCV_Unlassified_OL310752.1_00073
OG0000035	MCV_Unclassified_OQ475017.1_00057	MCV_Unlassified_OL310752.1_00022
