Orthogroup	MF599468	KF938901
OG0000000	MF599468.1 _DNA_polymerase_1 MF599468.1 - DNA_polymerase_1, MF599468.1_DNA_polymerase_2 MF599468.1 - DNA_polymerase_2	KF938901.1_00126 DNA-directed RNA polymerase subunit 1
OG0000001	MF599468.1_00011 MF599468.1 - hypothetical protein translation	KF938901.1_00005 hypothetical protein
OG0000002	MF599468.1_00163 MF599468.1 - hypothetical protein translation	KF938901.1_00080 hypothetical protein
OG0000003	MF599468.1_00030 MF599468.1 - hypothetical protein translation	KF938901.1_00067 hypothetical protein
OG0000004	MF599468.1_00075 MF599468.1 - hypothetical protein translation	KF938901.1_00114 hypothetical protein
OG0000005	MF599468.1_00149 MF599468.1 - hypothetical protein translation	KF938901.1_00092 hypothetical protein
OG0000006	MF599468.1_00112 MF599468.1 - hypothetical protein translation	KF938901.1_00054 hypothetical protein
OG0000007	MF599468.1_00033 MF599468.1 - hypothetical protein translation	KF938901.1_00060 hypothetical protein
OG0000008	MF599468.1_00122 MF599468.1 - hypothetical protein translation	KF938901.1_00074 hypothetical protein
OG0000009	MF599468.1_00009 MF599468.1 - hypothetical protein translation	KF938901.1_00095 hypothetical protein
OG0000010	MF599468.1_00035 MF599468.1 - hypothetical protein translation	KF938901.1_00123 hypothetical protein
OG0000011	MF599468.1_00117 MF599468.1 - hypothetical protein translation	KF938901.1_00025 hypothetical protein
OG0000012	MF599468.1_00152 MF599468.1 - Major capsid protein translation	KF938901.1_00044 Major capsid protein
OG0000013	MF599468.1_00106 MF599468.1 - hypothetical protein translation	KF938901.1_00012 hypothetical protein
OG0000014	MF599468.1_00174 MF599468.1 - hypothetical protein translation	KF938901.1_00053 hypothetical protein
OG0000015	MF599468.1_00090 MF599468.1 - hypothetical protein translation	KF938901.1_00047 hypothetical protein
OG0000016	MF599468.1_00116 MF599468.1 - hypothetical protein translation	KF938901.1_00124 hypothetical protein
OG0000017	MF599468.1_00071 MF599468.1 - DNA-directed RNA polymerase subunit 2 translation	KF938901.1_00023 DNA-directed RNA polymerase subunit 2
OG0000018	MF599468.1_00046 MF599468.1 - hypothetical protein translation	KF938901.1_00046 hypothetical protein
OG0000019	MF599468.1_00092 MF599468.1 - hypothetical protein translation	KF938901.1_00043 hypothetical protein
OG0000020	MF599468.1_00154 MF599468.1 - hypothetical protein translation	KF938901.1_00125 hypothetical protein
OG0000023	MF599468.1_00010 MF599468.1 - hypothetical protein translation	KF938901.1_00072 hypothetical protein
OG0000064	MF599468.1_00102 MF599468.1 - hypothetical protein translation, MF599468.1_00100 MF599468.1 - hypothetical protein translation, MF599468.1_00099 MF599468.1 - hypothetical protein translation, MF599468.1_00114 MF599468.1 - hypothetical protein translation	KF938901.1_00085 hypothetical protein, KF938901.1_00140 hypothetical protein
OG0000130	MF599468.1_00002 MF599468.1 - hypothetical protein translation	KF938901.1_00086 hypothetical protein
OG0000134	MF599468.1_00051 MF599468.1 - hypothetical protein translation	KF938901.1_00065 hypothetical protein
OG0000138	MF599468.1_00161 MF599468.1 - hypothetical protein translation	KF938901.1_00069 hypothetical protein
OG0000139	MF599468.1_00027 MF599468.1 - hypothetical protein translation	KF938901.1_00007 hypothetical protein
OG0000146	MF599468.1_00074 MF599468.1 - hypothetical protein translation	KF938901.1_00106 hypothetical protein
OG0000147	MF599468.1_00142 MF599468.1 - Deoxyuridine	KF938901.1_00118 Deoxyuridine
OG0000150	MF599468.1_00060 MF599468.1 - hypothetical protein translation	KF938901.1_00027 hypothetical protein
OG0000156	MF599468.1_00141 MF599468.1 - hypothetical protein translation	KF938901.1_00102 hypothetical protein
OG0000158	MF599468.1_00004 MF599468.1 - hypothetical protein translation	KF938901.1_00117 hypothetical protein
OG0000159	MF599468.1_00162 MF599468.1 - hypothetical protein translation	KF938901.1_00103 hypothetical protein
OG0000160	MF599468.1_00067 MF599468.1 - DNA ligase translation	KF938901.1_00128 DNA ligase
OG0000161	MF599468.1_00105 MF599468.1 - hypothetical protein translation	KF938901.1_00121 hypothetical protein
OG0000162	MF599468.1_00081 MF599468.1 - hypothetical protein translation	KF938901.1_00101 hypothetical protein
OG0000163	MF599468.1_00045 MF599468.1 - hypothetical protein translation	KF938901.1_00104 hypothetical protein
OG0000164	MF599468.1_00155 MF599468.1 - hypothetical protein translation	KF938901.1_00150 hypothetical protein
OG0000173	MF599468.1_00129 MF599468.1 - hypothetical protein translation	KF938901.1_00116 hypothetical protein
OG0000174	MF599468.1_00022 MF599468.1 - hypothetical protein translation	KF938901.1_00133 hypothetical protein
OG0000176	MF599468.1_00079 MF599468.1 - hypothetical protein translation	KF938901.1_00141 DNA topoisomerase 2
OG0000177	MF599468.1_00037 MF599468.1 - hypothetical protein translation	KF938901.1_00014 hypothetical protein
OG0000178	MF599468.1_00025 MF599468.1 - hypothetical protein translation	KF938901.1_00100 hypothetical protein
OG0000180	MF599468.1_00052 MF599468.1 - hypothetical protein translation, MF599468.1_00061 MF599468.1 - hypothetical protein translation	KF938901.1_00073 hypothetical protein
OG0000181	MF599468.1_00043 MF599468.1 - hypothetical protein translation	KF938901.1_00152 hypothetical protein
OG0000184	MF599468.1_00015 MF599468.1 - hypothetical protein translation	KF938901.1_00134 hypothetical protein
OG0000186	MF599468.1_00172 MF599468.1 - hypothetical protein translation	KF938901.1_00070 hypothetical protein
OG0000187	MF599468.1_00044 MF599468.1 - hypothetical protein translation	KF938901.1_00146 hypothetical protein
OG0000189	MF599468.1_00065 MF599468.1 - hypothetical protein translation	KF938901.1_00079 hypothetical protein
OG0000194	MF599468.1_00125 MF599468.1 - hypothetical protein translation	KF938901.1_00148 hypothetical protein
